;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
0;5;0;0.05556068;0.05512483;0.04840473;0.04977497;0.04301314;0.04472929;0.04371898;0.03537854;0.03118777;0.02356719;0.02100047;0.016147;0.0119325;0.01503767;0.01342049;0.01004153;0.005198976;0.004417609;0.005115478;0.001132596;0.002293523;0.0009631305;-0.002421895;-0.002543873;-0.005352179;-0.006410035;-0.007964334;-0.01074676;-0.01239215;-0.01606806;-0.01952699;-0.02220555;-0.02264173;-0.02207232;-0.02033109;-0.01490971;-0.01410745;-0.01509571;-0.01274282;-0.01528553;-0.02040135;-0.02351049;-0.02482573;-0.024356;-0.02528921;-0.02351453;-0.01848243;-0.01730019;-0.01922518;-0.02209267;-0.02442541;-0.02855689;-0.03300622;-0.02600015;-0.0178653;-0.02302448;-0.02613965;-0.02246608;-0.02384026;-0.02596191;-0.025649;-0.02645046;-0.02601143;-0.02651972;-0.02685954;-0.02509841;-0.02597534;-0.02619276;-0.02584064;-0.02632141;-0.02472722;-0.02471338;-0.02340456;-0.01992557;-0.01898631;-0.01853955;-0.01844216;-0.01773727;-0.01743881;-0.01881304;-0.01693978;-0.01448156;-0.01627775;-0.01730822;-0.01458218;-0.01445833;-0.01507422;-0.01201679;-0.01171715;-0.01142364;-0.009459552;-0.009971836;-0.01041719;-0.01438429;-0.01968247;-0.01958932;-0.01587042;-0.01274419;-0.01373885;-0.013018;-0.009259257;-0.00753524;-0.00754386;-0.01017443;-0.01093676;-0.0069656;-0.002073686;-0.0003726777;-0.003797477;-0.005405762;-0.003975261;-0.004314681;-0.004936360999999999;-0.004429086;-0.003492312;-0.003647089;-0.0029515490000000004;-0.0007014659;0.0003388346;-0.0008417305999999999;-0.005925807;-0.01006841;-0.008023282;-0.003412107;0.00035896239999999997;0.002647864;0.0023810570000000002;-0.0022697570000000003
3;5;0;0.001053255;0.001227295;-0.006004361999999999;-0.008042814;-0.006045211;-0.005614841;-0.00293945;-0.0013499620000000001;0.001680984;0.003860562;0.0007004927000000001;-0.001355933;-0.003865603;-0.0031004340000000004;0.002034798;0.00191186;-0.0002527149;-0.0022424710000000002;-0.004317535;-0.0071948509999999995;-0.01268424;-0.01146728;-0.00675649;-0.005141939;-0.002170144;-0.005914338000000001;-0.01268042;-0.01040767;-0.006662952;-0.003185698;-0.0005089494;-0.0028946759999999997;-0.006234218000000001;-0.01080015;-0.01102115;-0.005668005;-0.003917785;-0.001011636;0.00021672009999999998;-0.0025598279999999997;0.0004190649;0.000559708;-0.001983923;0.0007610699;-0.001848909;-0.007844772;-0.009795950999999999;-0.008854368;-0.004676575;-0.0024192320000000003;-0.0013748710000000002;-0.0010942039999999999;-0.007384435999999999;-0.01219319;-0.009649445999999999;-0.007768295;-0.01030535;-0.0126113;-0.01272897;-0.01320838;-0.01260342;-0.01144203;-0.0120302;-0.01278381;-0.01333336;-0.01494756;-0.01567863;-0.009798396;-0.004299102;-0.004327871;-0.003051223;-0.004402753;-0.0052669940000000005;-0.004967437;-0.008718724;-0.01068917;-0.01403569;-0.01036725;-0.000379592;-0.001602285;-0.002729778;-0.0021169360000000003;-0.007119986;-0.009632604;-0.00875597;-0.008067118;-0.01012461;-0.00958633;-0.008028755;-0.009118071;-0.004791155;-0.001709156;-0.003645468;-0.005548018;-0.007449106;-0.00578841;-0.004541142;-0.006060352;-0.005563816;-0.001605122;0.002886305;0.001925585;-0.0006791725;-0.001627006;-0.0036742059999999997;-0.005533498;-0.00892129;-0.01131816;-0.0079675;-0.003316441;-0.0006254572;0.00031521639999999997;-0.0004743121;-0.001904192;-0.0020799629999999998;0.001764932;0.006107054000000001;0.0042557229999999995;0.001266921;0.0005853462999999999;-0.002892971;-0.003828904;-0.001941031;-0.003551131;-0.002159595;-0.00039408910000000006;-0.0027937590000000003;-0.004580604
7;5;0;0.002373217;-0.004166122;-0.009559368;0.000495425;0.01226367;0.01219097;0.005855351999999999;-0.0018441929999999998;-0.008705112;-0.00122857;0.01330338;0.01336716;0.009187853000000001;0.003860236;-0.005103804;-0.002283083;0.0029002790000000004;0.001523316;0.002667857;0.002526913;0.0009434036999999999;0.001362186;0.001653491;0.00159997;0.0002116409;-0.0007585507000000001;-0.002145441;-0.0046156009999999996;-0.005528712;-0.006646292;-0.0037036779999999997;0.0003100498;-0.00333652;-0.004888588;-0.0009541755;0.0005992664;-0.0010247680000000001;-0.003900926;-0.006561544;-0.009057406;-0.0074059090000000005;-0.004334047;-0.007013449000000001;-0.007857408;-0.005614269;-0.005842396;-0.006093159;-0.007588381;-0.009292458;-0.008732271;-0.009950444000000001;-0.01446111;-0.01881881;-0.01754788;-0.01172156;-0.008020586;-0.006602335;-0.006283266;-0.006518645;-0.0051270529999999995;-0.004944368;-0.006828751;-0.009403116999999999;-0.01300563;-0.01063208;-0.004505436;-0.00531725;-0.008916809;-0.01239809;-0.01535907;-0.0152553;-0.01517392;-0.01414124;-0.01599075;-0.01970548;-0.01712305;-0.015299;-0.01483164;-0.0129403;-0.01306119;-0.01094027;-0.009279148000000001;-0.01040655;-0.01138894;-0.01233719;-0.008842961;-0.00362341;-0.004684814;-0.01013758;-0.01332945;-0.01387966;-0.01409409;-0.01195714;-0.01182789;-0.01316513;-0.008817152;-0.005353338000000001;-0.004299783;-0.003601465;-0.007106943;-0.008675503000000001;-0.007421815;-0.008248011;-0.008769173;-0.008265123000000001;-0.006476774;-0.003540238;-0.001404949;-0.001724332;-0.00347037;-0.003731849;-0.004300823;-0.004257386;-0.003145549;-0.003671238;-0.002440736;-0.001334304;-0.002739738;-0.0029505670000000003;-0.002666855;-0.002294199;-0.002563171;-0.004053244;-0.004997359;-0.004540712;-0.002525021;-0.0024004779999999997;-0.002895775
13;5;0;-0.0032579279999999998;-0.00035740980000000005;-0.002169074;-0.004546692;-0.00695195;-0.00945394;-0.006503298;-0.003444366;-0.004418007;-0.004202707;-0.0037373;-0.00250853;0.0028494279999999998;0.008432946;0.008819071;0.0036715209999999996;-0.0007209908;-0.003051902;-0.007605688;-0.008793663;-0.004294918;-0.0025751520000000003;-0.00385039;-0.003186821;-0.001474291;0.00018818119999999998;0.001514371;0.002909963;0.004899632;0.0045310559999999995;0.0018594120000000002;-0.0014890139999999999;-0.006401326999999999;-0.008410396;-0.004906192;-0.002677451;-0.0019727810000000003;0.001616008;0.001593029;-0.003089993;-0.003957078;0.0001447272;0.003398585;-0.0027565840000000003;-0.009371998000000001;-0.0023896729999999997;0.004106451;0.002913898;0.002289011;-0.001270803;-0.005122204;-0.0031081259999999997;-0.0012068439999999999;-0.0024023589999999997;-0.001181311;0.0026811490000000003;0.003276032;-0.0001070051;-0.003414733;-0.002536315;-0.0006339772;-0.0009178896000000001;0.001245148;0.0021299170000000003;0.002417158;0.006429288000000001;0.00545013;0.003330508;0.003360423;0.0007027869;0.004802061;0.0102795;0.006214164;0.002669334;0.002548196;0.003355013;0.006548321;0.005525628;-0.0008211742999999999;-0.003371281;-0.001395841;-0.0009749686999999999;-0.0009362447;-5.0275240000000006e-05;-0.002009473;-0.0026257570000000003;-5.79412e-05;-0.0002513371;8.316771000000001e-05;0.001586602;0.0005826826;0.0011314;0.0030105059999999996;0.004747378;0.004934686;0.0007527038;-0.0030077209999999997;-0.0038968229999999998;-0.0027093940000000004;0.0011126439999999999;0.004243754000000001;0.004762725;0.005613676999999999;0.007688886;0.00774129;0.007180133000000001;0.007003514000000001;0.0035145940000000002;-0.000135339;0.0005747672;0.004476455;0.0068236419999999996;0.0036221879999999997;-0.003398228;-0.007834168;-0.002166976;0.0065452340000000005;0.006185092;0.003091869;0.002514662;0.0018122939999999999;0.002293842;0.0028762429999999997;0.002933056;0.003551482;0.004297912;0.005113513;0.006556285
16;5;0;-0.005383813;-0.0029075259999999997;-0.003110812;-0.004041847;-0.005624132;-0.008197008;-0.01085772;-0.01221917;-0.01007806;-0.007783329;-0.003909124;0.001295777;-0.001405765;-0.00507006;-0.0028185059999999997;-0.004124248;-0.005997274;-0.00389327;-0.003914799;-0.00339857;0.0002526201;0.00185251;-0.0015031789999999999;-0.004382649000000001;-0.00301737;-0.0037008370000000002;-0.004383892;-0.0027954309999999997;-0.0028002120000000003;0.0011223630000000001;0.005050492;0.001414839;-0.001636782;-0.0001697603;-0.0008882095;-0.00456936;-0.006879272;-0.009801081;-0.01087952;-0.01045415;-0.01513151;-0.01479117;-0.009103842;-0.008345792;-0.008731145;-0.01210928;-0.01385531;-0.006215786;-8.736115e-05;-0.00173683;-0.004496328;-0.005381913;-0.009990505;-0.01234484;-0.008620984;-0.01066397;-0.01254457;-0.01195824;-0.01365923;-0.01165728;-0.01180585;-0.01133393;-0.008648488000000001;-0.01125847;-0.01097422;-0.01093382;-0.01514272;-0.01529079;-0.01093082;-0.005764265;-0.005416526;-0.00393908;0.00258136;0.002345516;-0.0016723229999999999;-0.0029571140000000003;-0.005681895;-0.007641942;-0.0051436979999999995;-0.0004078828;0.0013231279999999998;0.001115612;0.003531202;0.003302673;-0.0015073810000000001;-0.003798147;-0.00227498;-0.001101505;-0.0016312420000000002;-0.001708694;-0.001407926;-0.0006145502999999999;0.0007234642;-0.0008707697999999999;-0.0018189760000000001;9.725701e-05;0.0001120611;0.002594711;0.006868996;0.005397852;0.004476775;0.006206336999999999;0.005333873;0.0045130940000000005;0.0016248039999999999;-0.002485362;0.0007885616;0.006083633000000001;0.006290817;0.005888691;0.006115896;0.005979983;0.00663474;0.007888449;0.009293779;0.008100376;0.005001050999999999;0.004682587;0.005844721;0.0065250709999999995;0.006087227;0.0035797859999999997;0.0006126851;-0.0008192742;0.0007792519;0.001757776;0.00178611;0.004989148
17;5;0;-0.01097422;-0.01093382;-0.01514272;-0.01529079;-0.01093082;-0.005764265;-0.005416526;-0.00393908;0.00258136;0.002345516;-0.0016723229999999999;-0.0029571140000000003;-0.005681895;-0.007641942;-0.0051436979999999995;-0.0004078828;0.0013231279999999998;0.001115612;0.003531202;0.003302673;-0.0015073810000000001;-0.003798147;-0.00227498;-0.001101505;-0.0016312420000000002;-0.001708694;-0.001407926;-0.0006145502999999999;0.0007234642;-0.0008707697999999999;-0.0018189760000000001;9.725701e-05;0.0001120611;0.002594711;0.006868996;0.005397852;0.004476775;0.006206336999999999;0.005333873;0.0045130940000000005;0.0016248039999999999;-0.002485362;0.0007885616;0.006083633000000001;0.006290817;0.005888691;0.006115896;0.005979983;0.00663474;0.007888449;0.009293779;0.008100376;0.005001050999999999;0.004682587;0.005844721;0.0065250709999999995;0.006087227;0.0035797859999999997;0.0006126851;-0.0008192742;0.0007792519;0.001757776;0.00178611;0.004989148;0.004763720999999999;0.0002225918;-0.001074587;0.002534013;0.01069401;0.01411927;0.007063138;-0.0008728483000000001;-0.003509822;-0.00189104;0.001074607;0.003485307;0.003314299;0.0015179710000000001;0.0019743770000000002;0.0009428603999999999;-0.0008060192;-0.0008766532000000001;-0.0020366;0.000580055;0.003912585;0.0031704809999999997;0.003228522;0.001601956;-0.0006019937999999999;-0.0003094634;-0.001517572;-0.0032103009999999996;-0.004192732;-0.003482352;0.0004140709;0.001552961;-0.004131962;-0.008810594;-0.005484961;-0.001586432;0.0003154863;0.0051931090000000004;0.004798177;0.000241534;0.001199627;0.0011511289999999999;0.00048517629999999997;0.002455987;0.002087312;0.001387821;-0.002104064;-0.006591056999999999;-0.004738234;-0.003150747;-0.0036181409999999996;-0.0020359970000000003;-9.789161e-05;0.0013496889999999998;0.001634047;0.001890398;0.002143395;0.0008705844;0.0002503526;0.0006512414;0.0009443126;0.003009303;0.0071102859999999995;0.008383084
21;5;0;0.0005510812;0.005044855;0.004402865;0.002722371;0.0008355625;-0.0027507779999999997;-6.034272e-05;0.002025152;0.00342157;0.0047363959999999995;0.002884463;0.003139402;0.0019376629999999998;4.481845e-05;-0.0002958838;-0.001063437;-0.0005171752;-0.002932072;-0.004106637;0.0018516670000000002;0.004871063;-0.0016044170000000001;-0.0068769619999999995;0.001480621;0.009195374000000001;0.002829279;-0.002121717;-0.002680145;-0.005013644;-0.0032741190000000002;-0.00182036;-0.002650638;0.0008873736;0.005092702;0.008219435;0.01172435;0.009659225;0.003706736;0.00186568;0.0002995602;-0.0022467;0.0015864370000000002;0.006236055;0.004557999;0.0016855770000000002;0.00197135;0.002731523;-0.0004480734;-0.002892154;-0.001483301;-0.0015819439999999998;-0.002397603;-0.003475663;-0.005247607;-0.004289868;-0.0009223575999999999;0.0036673;0.005804887;0.00224693;-0.0004922976;0.001838861;0.002950752;0.001070833;-0.0005560078;-0.002703927;-0.0009542597;0.0076121259999999994;0.01317547;0.007769951;-3.396355e-05;0.001448597;0.0033409790000000004;0.0005325751999999999;0.0009745378999999999;-0.001179191;-0.003105074;0.001934581;0.003680927;0.0005107525;-0.0022222879999999998;-0.0008699041;0.002585848;0.003239755;0.004350840999999999;0.004294977;0.003175486;0.0020603170000000003;-0.003016477;-0.0063430119999999994;-0.00373044;0.001270108;0.002058694;-0.001331648;-0.002514169;-0.0031031329999999997;-0.001983562;-0.0007376880999999999;-0.002018336;-0.0015019739999999999;-0.00131129;0.0007945124000000001;0.002419826;-0.0019502360000000002;-0.001995133;0.001197935;0.001443429;0.0032670259999999997;0.0027165920000000003;0.0005632731999999999;0.001629749;0.0008500349;0.001101463;0.0035283140000000003;0.002838272;-0.00017251130000000002;-0.004531778;-0.003111729;-0.0001490283;-0.004570173;-0.005457757;-0.004610486;-0.006250044000000001;-0.004555105;-0.0016631570000000002;0.002718742;0.0017475420000000001;-0.00374591;-0.00323011
27;4;0;0.2920406;0.2845418;0.2828897;0.2825882;0.2867103;0.2844555;0.276019;0.2676075;0.2533847;0.2447389;0.2354686;0.2236109;0.2286178;0.2333675;0.2276274;0.2259423;0.2228192;0.2162147;0.2118328;0.2065559;0.1987462;0.1871772;0.173806;0.1647587;0.159137;0.1537944;0.1494293;0.1470733;0.1501231;0.1543094;0.1470234;0.1342354;0.1256883;0.1177973;0.1123351;0.1061757;0.1006187;0.1022796;0.1000901;0.09366024;0.08817848;0.08172481;0.07844867;0.07426658;0.06859152;0.06254794;0.05498425;0.05355867;0.05319507;0.05028614;0.05042727;0.04894534;0.04476658;0.03780893;0.02812326;0.02440959;0.02128672;0.01336619;0.01439409;0.01643479;0.007003093;0.001565543;0.001116284;-0.002740883;-0.006332069;-0.009862064;-0.01226995;-0.01087404;-0.008147155;-0.009547492;-0.01109082;-0.006887043000000001;-0.005060608;-0.008460511;-0.01544451;-0.0211412;-0.01897858;-0.01790021;-0.02010363;-0.02220031;-0.02421816;-0.02336971;-0.02501562;-0.02697036;-0.02774648;-0.03054256;-0.03011794;-0.03326025;-0.03687977;-0.03432853;-0.0363623;-0.03596592;-0.03334029;-0.03592975;-0.03103962;-0.02667255;-0.03112491;-0.03214041;-0.03071361;-0.02922747;-0.02799382;-0.0299168;-0.03198014;-0.03208623;-0.0308219;-0.03088013;-0.03026429;-0.02659718;-0.02350612;-0.02359338;-0.02794458;-0.02887097;-0.02330545;-0.02131394;-0.0252791;-0.02912082;-0.02688632;-0.0235016;-0.02280163;-0.01898517;-0.01814226;-0.02074207;-0.02005142;-0.01972169;-0.01870489;-0.01782094;-0.01795095;-0.01618454
30;4;0;-0.002619236;-0.00586442;-0.0028415370000000003;-0.0011160669999999999;0.002332489;0.004641537;0.004830778;0.00705596;0.007011144;0.006817568;0.006712907;0.005168474;0.005274993;0.001854625;-0.00017586830000000003;0.005432966;0.008350363000000001;0.005579455;0.0030636870000000003;0.004638022;0.00669052;0.005484915999999999;0.001969069;-0.0028336159999999997;0.001532468;0.01026963;0.009105746;0.005951825;0.001642048;-0.002408607;0.002369475;0.00693523;0.008064419;0.00850603;0.007652091;0.009695351;0.0100271;0.0045022529999999995;-0.0001709552;-0.001986532;-0.002526788;-0.002587232;-0.003891593;-0.003431408;-0.00034970650000000004;0.001850676;0.003660301;0.005593224;0.007655611999999999;0.007861943;0.007657958;0.009057849;0.0026769040000000003;-0.0050114040000000006;-0.0019296920000000002;-0.0005327341999999999;-0.0031955559999999996;-0.001547716;0.000877188;0.0049143270000000005;0.00836076;0.0029356259999999998;-0.001861235;0.002327684;0.004256605;0.002122528;0.0030801870000000003;0.004783933;0.00509821;0.0029768890000000004;-0.0002878775;-9.359286e-05;0.0001076807;-0.0011732910000000001;-0.000632655;-0.002160616;-0.004987897;-0.007777831;-0.01716982;-0.02594596;-0.0288869;-0.04082679;-0.05247241;-0.04181526;-0.03071628;-0.03240142;-0.01766837;0.008828148000000001;0.01604704;0.006909162;0.0011469610000000002;-0.0025105979999999997;-0.02057956;-0.04957215;-0.08527841;-0.1229749;-0.1433416;-0.1727112;-0.2134469;-0.2098979;-0.193034;-0.1932005;-0.1656072;-0.1503586;-0.1845659;-0.2079488;-0.2008879;-0.1713803;-0.1217984;-0.07676247;-0.04223874;-0.01181959;0.02326537;0.06219134;0.08265259;0.08259643;0.08467555;0.09354484;0.09694308;0.111013;0.1405123;0.1658398;0.188189;0.1933591;0.1907793;0.2056023;0.2127235;0.2108357
35;4;0;0.004211455;0.005431956;0.008504191;0.00772549;0.008624517;0.00948851;0.008941469;0.008689849;0.0025468870000000003;-0.003008929;0.0001928078;0.003095643;0.002759585;0.007196799;0.01168064;0.008639502;0.005945381;0.00579128;0.004186311;0.004928829;0.006041933;0.004471038;0.001874477;-0.00141547;-0.0015706539999999999;-0.0004633126;-0.002041359;-0.001820241;-0.002119301;-0.003876047;-0.001113538;0.0007030634;-0.0009105425;0.0006169117;0.003638035;0.005632283;0.0056738430000000005;0.0032534770000000003;0.003315319;0.004766944;0.0072672940000000005;0.01153733;0.008508822;0.0030144509999999996;0.001914224;-0.0001109393;0.002164201;0.005929612;0.004076882;0.005177152;0.007682136;0.00481882;0.0009797668;-0.0004260622;0.0006343259999999999;0.0012181660000000001;-0.0009472379;-0.00218725;-0.002297113;-0.00242638;-0.0003175566;0.001783946;0.002601135;0.0030639459999999997;0.002592888;0.0020968189999999998;-0.00040989790000000003;-0.0047473640000000004;-0.007050280999999999;-0.007601986999999999;-0.006069901999999999;-0.0002168525;0.004633383;-0.001031064;-0.007431528000000001;-0.0006296483;0.005345961;0.001597246;-0.0015284139999999999;-0.003316968;-0.005030212;-0.005359409;-0.004644424;-0.001341143;0.0008706405000000001;-0.001177462;-0.003237797;-0.0008673182;0.001539212;-0.0005635986;-0.001866205;-0.002551748;-0.003276057;-0.002300075;-0.00451744;-0.005871259;-0.0030745440000000002;-0.0009707627;-1.169692e-05;-0.0006658528;-0.001380969;-0.000975478;-0.00024411110000000001;0.0006985382;0.0002521773;0.000176535;0.0005456702;-0.0001465336;-0.00130368;-0.002920378;-0.002779976;-0.002695194;-0.004432946;-0.004652285;-0.004871737;-0.0050595959999999995;-0.003044647;-0.002301345;-0.002894162;-0.00206803;-0.001485429;-0.001545747;-0.001232716;-0.002264902;-0.003819148;-0.003392069;-0.002904415;-0.002977145
