;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
0;5;0;0.06601362;0.04269897;0.07485018;0.05731974;0.05234284;0.06917394;0.0498667;0.05675081;0.05818872;0.04319882;0.05577766;0.04765018;0.04950402;0.05151212;0.03705788;0.0527994;0.05284313;0.05009809;0.05729133;0.05279203;0.05280419;0.04361139;0.04668125;0.05079353;0.03991168;0.04022029;0.03499555;0.03389096;0.03897223;0.03509487;0.03188229;0.02679002;0.02586305;0.02576626;0.02624088;0.03086369;0.02776856;0.02680273;0.02901573;0.02779686;0.02835536;0.02949975;0.03039095;0.02523661;0.01934972;0.02338269;0.02551467;0.01951382;0.01576721;0.01682286;0.01638477;0.01485117;0.01521754;0.0163432;0.01907281;0.02131422;0.02026724;0.02050372;0.02248609;0.02122213;0.01993555;0.01940925;0.01228776;0.0046103920000000005;0.006122796999999999;0.009710357;0.01032192;0.01341607;0.01685763;0.01593049;0.01353088;0.0117392;0.0115503;0.01049437;0.007872243000000001;0.008399571;0.00848392;0.007177490999999999;0.005249930999999999;0.0031837190000000002;0.005777743;0.006040836999999999;0.006527122;0.009679867;0.004460567;0.001063257;0.004586615;0.006931871;0.0071989590000000004;0.003840993;0.003656627;0.007268424;0.008982496;0.01067894;0.009521739;0.007313028;0.006596726999999999;0.003339415;0.0008215767;0.0023259220000000002;0.004577473;0.00461956;0.003402756;0.002954428;0.002540035;0.002452076;0.0023737479999999997;0.001153177;-0.0006854830000000001;-0.005259755;-0.009021585;-0.006504263000000001;-0.00410332;-0.00399123;-0.004002698;-0.005715448000000001;-0.00393037;-0.00122575;-0.002877947;-0.0029453340000000004;-0.003434303;-0.005050563;-0.00498768;-0.0051657909999999994;-0.0012984819999999999;0.001909445;-7.982483e-05;-3.7718e-05
3;5;0;-0.01288632;-0.01691822;-0.01618518;-0.0120633;-0.006651224;-0.01244035;-0.01869854;-0.01729011;-0.02039631;-0.02332382;-0.01974539;-0.01199548;-0.006423145999999999;-0.01238612;-0.01877187;-0.01485568;-0.01444504;-0.01711497;-0.01448319;-0.01300332;-0.01070677;-0.009098077;-0.01102559;-0.009340873000000001;-0.008213288000000001;-0.008560041;-0.007383578000000001;-0.007872981;-0.007756098;-0.009637307;-0.01420584;-0.01359462;-0.008229862;-0.004519803;-0.005202828;-0.006868841999999999;-0.008104835999999999;-0.01058811;-0.00976624;-0.0068672640000000005;-0.008822331999999999;-0.01431289;-0.02243559;-0.02933957;-0.03298886;-0.03750257;-0.02818941;-0.01122052;-0.01459084;-0.01725376;-0.009329368000000001;-0.01277453;-0.01366365;-0.009464953;-0.009236177;-0.005055375;-0.007446832;-0.01227895;-0.008943227;-0.01019227;-0.01218098;-0.01005391;-0.009717281;-0.008831462;-0.008612378;-0.008146719;-0.00537662;-0.003738178;-0.00321001;-0.0041330740000000005;-0.005087663;-0.0033213640000000003;-0.0022787;-0.003340397;-0.0037754579999999998;-0.003317613;-0.0035655490000000003;-0.005201733;-0.005150277;-0.001729117;0.00030932560000000004;-0.0004354718;-0.0017670479999999998;-0.004178556;-0.004274501;-0.003949423;-0.01058227;-0.01614002;-0.01383519;-0.01039578;-0.008157137;-0.00628399;-0.004692428;-0.002031867;0.002810945;0.007471593;0.0077784230000000005;0.0053857259999999995;0.003951252;0.004750221;0.005176377;0.002716288;0.0001182932;-0.001981912;-0.003256389;-0.002614697;-0.002094315;-0.002412418;-0.0034965870000000002;-0.005415161999999999;-0.008068159;-0.009002269;-0.004780998;-0.0005397305;-0.002132619;-0.003882146;-0.002370161;-0.002988493;-0.003030841;0.00186859;0.0047104;0.0033125740000000004;0.002958553;0.00337228;0.002577072;0.001401018;0.0004472376;0.001950985
7;5;0;-0.006969374;-0.0014834079999999999;0.00802562;0.006393155;0.0004471028;0.0006672730999999999;-0.01115769;-0.02064755;-0.01736934;-0.02027082;-0.0197387;-0.01143077;-0.0063098730000000006;-0.001196145;0.003680395;0.002935715;0.0002778998;0.004545536;0.007564377;0.002237645;0.0002313455;0.0003567169;-0.004696776;-0.01091765;-0.01119709;-0.00760753;-0.008976145999999999;-0.009575984000000001;-0.007662975;-0.0057796390000000005;-0.0001641584;0.00013621;-0.001979742;0.0002506608;-0.0002188071;-0.0006735809;-0.0033380659999999998;-0.006175496999999999;0.0008448115;0.005202207;-0.004444243;-0.01317551;-0.007357130999999999;-0.002693965;-0.00875245;-0.01372039;-0.02320717;-0.03342406;-0.03166961;-0.0294172;-0.02556148;-0.01837933;-0.01998257;-0.02171161;-0.01763738;-0.01599178;-0.01635909;-0.01878424;-0.02380771;-0.02569535;-0.02525513;-0.02519416;-0.01933155;-0.007570004;-0.0006373676;-0.002161241;-0.003777881;-0.00240331;-0.003765449;-0.0074459719999999995;-0.009764341;-0.00737739;-0.002666833;-0.003244763;-0.001346195;0.00483047;0.0048800829999999995;0.005771695;0.01100488;0.0152342;0.01732484;0.01501207;0.01414599;0.01639041;0.01568536;0.01254499;0.009165583;0.009980103;0.01120719;0.006558688000000001;0.004059760999999999;0.005797546;0.007584766999999999;0.00993749;0.01095327;0.009947578;0.007486499000000001;0.005270785;0.006118501;0.007304805;0.006414088;0.006083873;0.006611864;0.005978919;0.004645141;0.002340054;0.00120004;0.004524495;0.007825145;0.008702775;0.009806432;0.0102067;0.009694391;0.00960718;0.008047837;0.005186103;0.005479421999999999;0.0069385390000000005;0.006205238;0.004895796;0.001796609;0.0002047862;0.003911866;0.007950298;0.009623788000000001;0.0105823;0.01388685;0.01756218
13;5;0;0.002477364;0.001642569;-0.00034439489999999996;-0.0041082620000000005;-0.008803018000000001;-0.0059004009999999996;0.00018228580000000002;0.0015204220000000002;0.0018983;0.002317695;0.0026993990000000003;0.002587481;-0.0015347079999999999;-0.004089954;-0.002753935;-0.002030567;-0.001074319;0.0008781702;0.002318251;0.0012296030000000001;-3.462495e-05;-0.0004951088;-0.0016059770000000002;-0.001157232;-0.0018286079999999998;-0.003176032;-0.002921581;-0.001559275;0.001508666;0.0008858803;-0.0004953402;0.0006776927;-0.00038263120000000004;0.001626276;0.005455705;0.0049946209999999994;0.003124433;0.001414777;0.001827928;0.0034765390000000003;0.005729621;0.009498893000000001;0.008688075;0.004298201;0.001971519;0.002103811;0.005990025;0.0077585219999999995;0.005386494;0.006047928;0.005301709;0.002351655;0.001989965;0.002311699;0.00540092;0.006893434;0.005863007;0.007544431999999999;0.004040689;-0.0019523160000000002;-0.0007290361999999999;0.002820155;0.0037647109999999996;0.003828749;0.0029588920000000003;0.002254239;0.007461685;0.01228363;0.009274137;0.002122959;-0.003803487;-0.0015050329999999998;0.001698225;0.002126989;0.004009655;0.0009539489;0.001233133;0.004358469;0.00208262;0.0030004159999999997;0.0007815382000000001;-0.004108756;-0.001997045;-0.0005681948;0.0001387544;0.00265429;0.0036258759999999997;0.003821263;0.00252597;0.00016129030000000002;-0.0005051888;0.0005961235;0.0031362729999999998;0.006696993;0.005467682;0.0003507497;-0.000707521;-0.0008462463;-0.002472315;-0.004471289;-0.0065554;-0.006772635999999999;-0.0076519909999999995;-0.006237441;-0.002688034;-0.001096481;0.0005168994;0.0009413599000000001;0.003987315999999999;0.005368296999999999;0.002408719;0.005268203000000001;0.005115054;0.002712349;0.005030006;0.00272774;0.0001648185;-0.001630051;-0.001991166;0.0017793370000000002;-0.001771107;-0.007180373;-0.006180413;-0.004820113;-0.004343457;-0.001689666;0.0008610221000000001;-0.003470821
16;5;0;0.04087497;0.04001887;0.04201069;0.04378801;0.04300586;0.04382491;0.04627664;0.04454501;0.04379931;0.04488225;0.04180711;0.03698467;0.0319553;0.02852447;0.03014953;0.03237573;0.03248831;0.03179221;0.02944037;0.02796362;0.02816519;0.02720391;0.02416802;0.01841888;0.01536451;0.01991005;0.02417412;0.02226019;0.01768919;0.01318423;0.01363356;0.02043899;0.0219614;0.01465608;0.009321795;0.01298676;0.02000756;0.01908699;0.01383152;0.0112808;0.01347246;0.02159618;0.02426166;0.02209958;0.02335986;0.02274724;0.01878048;0.0129534;0.01133903;0.01171809;0.007202916;0.00538516;0.005060319000000001;0.006680035;0.01200839;0.01266796;0.01444463;0.01720668;0.01348282;0.01118459;0.01243447;0.01321372;0.01411459;0.01502719;0.01923004;0.02448806;0.02304002;0.02173598;0.02423772;0.02063567;0.0168197;0.02027829;0.02149125;0.01906948;0.0177381;0.01892221;0.02336069;0.02335591;0.01977906;0.01900693;0.01197803;0.003095712;0.004176122;0.00516574;0.002606018;0.0006830339;-0.0029197629999999997;-0.0037775459999999997;-0.0028524740000000002;-0.004356943;-0.003425068;-0.0002553325;0.0009937183;-0.0003074477;-0.0016649120000000002;-0.0008922233;-0.00021687880000000002;-0.0006807613000000001;-0.00277822;-0.00479496;-0.006521473000000001;-0.01316993;-0.0180936;-0.01680195;-0.01346155;-0.00585184;-0.00037797410000000003;0.0006800409;0.001751971;-3.092083e-05;-0.001995572;-0.003400484;-0.002340386;0.0001458813;-0.0015512710000000001;-0.0010721;-0.0006285358;-0.003216531;-0.00478572;-0.007426388000000001;-0.007519595;-0.008216602;-0.01413217;-0.0169727;-0.01252134;-0.005660037;-0.005826184;-0.008174101999999999
17;5;0;0.01923004;0.02448806;0.02304002;0.02173598;0.02423772;0.02063567;0.0168197;0.02027829;0.02149125;0.01906948;0.0177381;0.01892221;0.02336069;0.02335591;0.01977906;0.01900693;0.01197803;0.003095712;0.004176122;0.00516574;0.002606018;0.0006830339;-0.0029197629999999997;-0.0037775459999999997;-0.0028524740000000002;-0.004356943;-0.003425068;-0.0002553325;0.0009937183;-0.0003074477;-0.0016649120000000002;-0.0008922233;-0.00021687880000000002;-0.0006807613000000001;-0.00277822;-0.00479496;-0.006521473000000001;-0.01316993;-0.0180936;-0.01680195;-0.01346155;-0.00585184;-0.00037797410000000003;0.0006800409;0.001751971;-3.092083e-05;-0.001995572;-0.003400484;-0.002340386;0.0001458813;-0.0015512710000000001;-0.0010721;-0.0006285358;-0.003216531;-0.00478572;-0.007426388000000001;-0.007519595;-0.008216602;-0.01413217;-0.0169727;-0.01252134;-0.005660037;-0.005826184;-0.008174101999999999;-0.00387567;-0.003137383;-0.00645401;-0.00595796;-0.005675711;-0.005225897;-0.002697848;-0.0013528120000000001;-0.00204084;-0.004460296;-0.005419855;-0.00361951;-0.003382693;-0.004354116;-0.005264372;-0.006905279;-0.006306752;-0.004267935;-0.0034327109999999997;-0.002859852;-0.002734619;-0.0026213129999999997;-0.0027698590000000004;-0.0037579209999999996;-0.0034121840000000004;-0.001063431;-0.00032997809999999996;-0.004322582;-0.006754761;-0.0030428309999999997;-0.001410871;-0.006472660999999999;-0.01121194;-0.00901153;-0.004672499;-0.00334144;-0.001942179;-0.001223819;-0.0021399229999999997;-0.004973465;-0.008823385;-0.008846753;-0.01076944;-0.01561289;-0.01566451;-0.01723039;-0.02052372;-0.01459089;-0.004207929;0.0004344186;0.00164031;0.002966135;0.0007738355999999999;-0.005728254;-0.008857702;-0.007437819;-0.009697158;-0.01218812;-0.007617528;-0.002285434;-0.002582561;-0.0061686630000000004;-0.008518529;-0.008115694
21;5;0;-0.001407794;0.0014831220000000001;0.0025289410000000003;0.0026685259999999996;0.0008334105;0.0008755072;0.001312605;6.550692e-05;0.0013624660000000001;0.0019876679999999997;0.00155279;0.00011077440000000001;-0.0036090090000000003;-0.0015800970000000001;0.002875276;0.0032628;0.002141029;0.0009927787;0.002914515;0.002451549;-0.0030443909999999996;-0.0064963059999999994;-0.00699155;-0.005445064;-0.005974989;-0.005924246;-0.002253279;-0.0018021329999999998;-0.0009186189;-0.0006988397000000001;-0.0037453129999999997;-0.00369593;-0.002525843;0.001617873;0.005208994000000001;9.147121e-05;-0.004838333;-0.0032973779999999997;-0.000540794;-0.0001938693;-0.0003992249;-0.0017766029999999999;-0.00404439;-0.0041248579999999995;-0.004230975;-0.002101819;-0.0003630479;-0.002726401;-0.003351696;-0.005658801999999999;-0.006343283000000001;-0.001711917;-0.0001835589;0.001034374;-0.00039026230000000005;-0.0045514629999999995;-0.002293915;-0.001196027;-0.002196801;-0.00148998;-0.004676173;-0.005989026999999999;-0.004456123;-0.004262577;-0.0013989710000000002;-0.0002235532;-0.002423139;-0.0046886440000000005;-0.007274745;-0.00437038;-0.0004949395;-0.001206778;0.001016377;0.001042618;-0.003141331;-0.003630905;-0.001957013;0.001951134;0.003978613;-0.0004944028;-0.004951307;-0.005513756999999999;-0.003249348;-0.00377046;-0.008081442;-0.009756219;-0.007909007;-0.002914579;0.001060428;0.0005344971;-0.0001085282;-0.002845362;-0.007809557;-0.007642813;-0.005042285;-0.0049120890000000006;-0.003462185;-0.0025223;-0.004386981;-0.00411677;-0.004640619;-0.005851188;-0.0031376159999999998;-0.002123753;-0.00244944;-0.0014160239999999999;-0.001807791;-0.001314759;-0.0005642686;-0.002040667;-0.005993909;-0.01086651;-0.009474161;-0.004890131;-0.00463157;-0.003954525;-0.00256056;-0.001563827;-0.0007482146000000001;-0.004319165;-0.00546512;-0.003870503;-0.004468148;0.00010710030000000001;0.0018833460000000002;-0.003390529;-0.003212462;-0.00174726
27;4;0;0.03468009;0.0124743;-0.03566388;-0.05789922;-0.05619055;-0.05508235;-0.04673737;-0.07116467;-0.1082469;-0.1048854;-0.08746221;-0.07583633;-0.078837;-0.09809904;-0.1151039;-0.1257337;-0.1173453;-0.1015888;-0.09702509;-0.09224169;-0.1105116;-0.150392;-0.164254;-0.1477369;-0.1212442;-0.1067104;-0.1091141;-0.1073789;-0.09426936;-0.08042909;-0.07782423;-0.08166124;-0.08467091;-0.08578238;-0.08202958;-0.08193265;-0.08823122;-0.09640867;-0.1014071;-0.1032723;-0.1071854;-0.1065886;-0.1080798;-0.1132053;-0.1141475;-0.1159832;-0.1131168;-0.1108056;-0.1096699;-0.1041584;-0.1071624;-0.1092151;-0.1074621;-0.1092536;-0.1061495;-0.1041846;-0.1056271;-0.1097346;-0.1160057;-0.1147086;-0.1120561;-0.1110245;-0.1083748;-0.1126554;-0.1199051;-0.119436;-0.1155251;-0.1117097;-0.1051332;-0.1001955;-0.09979312;-0.0997834;-0.09944562;-0.09924835;-0.09657545;-0.09144226;-0.09027102;-0.09422583;-0.09646488;-0.09568645;-0.0963494;-0.0991124;-0.0994567;-0.09995318;-0.1029779;-0.1013615;-0.09736846;-0.09592735;-0.0947864;-0.0943925;-0.09544507;-0.09668168;-0.09447024;-0.09036353;-0.08961643;-0.0922678;-0.09690729;-0.09784806;-0.09549157;-0.09522396;-0.09309071;-0.09022569;-0.09003928;-0.08963966;-0.0884362;-0.08675889;-0.08592561;-0.08663134;-0.08733422;-0.08566771;-0.07977873;-0.0754135;-0.07800876;-0.08042161;-0.07846226;-0.07998735;-0.08231055;-0.07687862;-0.07207394;-0.07326536;-0.07424376;-0.07704799;-0.08256213;-0.08273864;-0.07999337;-0.08136982;-0.08218273;-0.08171389
30;4;0;-0.03998181;-0.03405659;-0.03380593;-0.03716841;-0.03541621;-0.03653206;-0.03800548;-0.03563092;-0.0381339;-0.0378445;-0.03405271;-0.03318676;-0.03158229;-0.03388397;-0.03438584;-0.03213107;-0.03459826;-0.03243557;-0.02809918;-0.02585967;-0.02480984;-0.0282291;-0.02843761;-0.02828663;-0.03083762;-0.02886738;-0.02761604;-0.02786436;-0.02696569;-0.02737449;-0.02734423;-0.02711899;-0.02681116;-0.02636004;-0.02567173;-0.02331478;-0.02393666;-0.02726071;-0.02569524;-0.02328392;-0.02524248;-0.02407094;-0.0204716;-0.01839281;-0.01534156;-0.01912912;-0.02530523;-0.02209273;-0.01923897;-0.01855468;-0.01521618;-0.01520053;-0.01821256;-0.01923393;-0.01684889;-0.01496626;-0.01768471;-0.02132567;-0.02136638;-0.0194237;-0.01749116;-0.01559792;-0.01627931;-0.01789486;-0.01678678;-0.0155172;-0.01297544;-0.008813356999999999;-0.008441263000000001;-0.007644853;-0.0038522409999999997;-0.0048716309999999995;-0.006634694;-0.004287654;-0.0042182;-0.004328152;0.0007882236;0.01082464;0.002586967;-0.0691717;-0.1928232;-0.3041832;-0.3870726;-0.4735759;-0.5906781;-0.7013294;-0.750772;-0.792184;-0.8132629;-0.7162111;-0.5713092;-0.4297576;-0.2706473;-0.2071117;-0.3268898;-0.5106719;-0.5215921;-0.3315123;-0.0961315;0.1139095;0.2756756;0.3769741;0.3922669;0.4808071;0.7428287;0.9091856;0.9927525;1.105596;1.134195;1.1155979999999999;1.052383;0.978539;0.9576417;0.9745735;0.9983394;0.882531;0.6909281;0.5269352;0.3841056;0.3606407;0.3630528;0.3253711;0.3041192;0.2240039;0.07306327;-0.06118755;-0.1369361;-0.1903041
35;4;0;-0.01117119;-0.01288145;-0.01476708;-0.01168871;-0.01287156;-0.01365763;-0.01192725;-0.01443106;-0.01199399;-0.007944505;-0.008986062;-0.01225878;-0.01721325;-0.0183094;-0.01441797;-0.008032992;-0.005354691;-0.008661348000000001;-0.01151794;-0.01536996;-0.01773879;-0.01442515;-0.01023611;-0.00926535;-0.009771194;-0.00832999;-0.008342279000000001;-0.009623533;-0.01044297;-0.01260772;-0.01285546;-0.01280406;-0.01333256;-0.01184028;-0.01217787;-0.01394175;-0.01144945;-0.001249139;0.00757058;-0.0029061729999999997;-0.01935364;-0.01691698;-0.01167067;-0.01337384;-0.00978107;-0.008801618;-0.010071;-0.009431251;-0.01373768;-0.01593955;-0.01284339;-0.009033061;-0.008666456;-0.01205283;-0.01215512;-0.00820331;-0.003083833;-0.004216907;-0.009467025;-0.008347495;-0.005697291;-0.003953641;-0.0059838009999999995;-0.01042185;-0.007427803;-0.005242244;-0.006558296;-0.006858096;-0.008159739000000001;-0.008190557;-0.01186061;-0.01513362;-0.01025596;-0.007506024;-0.008489653;-0.00839699;-0.008591138;-0.008775851999999999;-0.008918104;-0.009156635;-0.01050458;-0.01182102;-0.01240403;-0.01371167;-0.01077936;0.0026740609999999997;0.01453529;0.0005700633;-0.01745321;-0.007336016999999999;-0.00253221;-0.01103006;-0.005721306;-0.003599245;-0.0037516629999999997;0.0007467742;-0.004035955;-0.008201650999999999;-0.01199306;-0.0130925;-0.007481675;-0.009408975;-0.00747936;-0.00149268;-0.001666259;-5.139575e-05;-0.0004329252;0.0007867680000000001;0.002502817;-0.002028223;-0.003850829;-0.0031676459999999997;-0.00021124029999999998;0.002457405;0.001180942;0.0016237860000000001;0.0016579729999999999;0.002321057;0.005368025;0.005599364;-0.0029325270000000003;-0.01317455;-0.006737;0.0016544079999999998;-0.0015174329999999999;0.002702049;0.01082751;0.01140752
