;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
0;5;0;0.02285864;0.01031572;0.01324969;0.01775121;0.002553367;0.007724708;0.004324535;0.01061698;0.01718869;0.0105107;0.01509803;0.01157841;0.0132005;0.01635518;0.01317292;0.01640941;0.01151064;0.009523455;0.008297546;0.005482304;0.005960526;-0.0003668142;0.005606801;0.01295289;0.009089979;0.01051749;0.008128106;0.005713947;0.007487914;0.007528194;0.01188285;0.01483568;0.0138678;0.01452139;0.0150046;0.01457854;0.01579341;0.01629297;0.01396439;0.01248284;0.008985471;0.004736059;0.004896194;0.005153667;0.0113213;0.02079463;0.01748272;0.01374343;0.01814381;0.01794942;0.01797547;0.02099681;0.02094493;0.0183996;0.01098771;0.004335124;0.004312245;0.0063448540000000005;0.00852602;0.008615965;0.006999244;0.0072098169999999994;0.00812294;0.009048121999999999;0.01226815;0.01614958;0.01589471;0.01267118;0.008774044;0.005685091;0.006092831999999999;0.008383453;0.01113997;0.01240639;0.0119422;0.01425919;0.01532931;0.01358108;0.01666432;0.0195562;0.01841148;0.01835649;0.01396835;0.008665903;0.01096347;0.01193223;0.009651963000000001;0.009057493;0.008856516;0.01126824;0.01425713;0.01478594;0.0141587;0.008383668;0.001907059;0.0041322929999999996;0.007871423;0.007842663;0.008190243;0.007085829;0.00553753;0.005446472;0.004285669000000001;0.0035599090000000004;0.002001571;-1.681245e-05;0.002037589;0.003736043;0.003147507;0.0052141390000000004;0.0078021;0.006516378000000001;0.004947088;0.006478854;0.006763766;0.006273074;0.00576341;-2.357261e-05;-0.006041726;-0.006890512;-0.004902893;0.0013539329999999999;0.008032537;0.007355378;0.0026686179999999998;-0.002170124;-0.005642633;-0.0014460060000000001
3;5;0;-0.0008727416;-0.00548197;-0.00467823;-0.00022103459999999999;0.001587686;0.009021307;0.02095275;0.02821217;0.02860941;0.02445626;0.01841538;0.01196289;0.0131306;0.01762248;0.01398782;0.01319211;0.01480165;0.01071687;0.007661086;0.003065528;0.0025892479999999997;0.01033914;0.01147186;0.0028174740000000004;-0.007158472;-0.005931069000000001;-2.550833e-05;-0.002707846;-0.002539594;-0.003190793;-0.007055314;-0.0053171;-0.006089144;-0.002328616;0.003785776;-0.001736605;-0.0055355859999999995;-0.003725289;-0.004714060999999999;-0.006092199;-0.0040156029999999995;0.002861788;0.01124546;0.0137158;0.01044578;0.01081324;0.01043909;0.006563466;0.007487823;0.004233493;-0.002323247;-0.002383047;-0.0036744990000000003;-0.004933494;-0.003350959;-0.002691199;-0.0002831523;0.0004036654;-0.0015562689999999999;-0.001239235;-0.00303179;-0.005566286;-0.003701625;-0.002644745;-0.00157401;0.0002007077;-0.0009700938;-0.0006730903;-0.0006928183999999999;-0.002041379;-0.0002646857;-0.00021663529999999998;-0.001553926;-0.0008952386;-0.001405698;-0.0011957860000000001;-0.0005789687;-0.002825694;-0.003764462;-0.0015796060000000001;-0.0007348377;-0.004878707;-0.008576417;-0.0029057009999999997;0.0028523209999999997;0.0006593508;0.001587809;0.004387022;0.001890948;0.00132264;0.001530382;-0.002582179;-0.00466437;-0.004718089;-0.006202821;-0.008205194;-0.01125805;-0.01130158;-0.01043999;-0.0120877;-0.00978944;-0.008615691;-0.00883228;-0.001895873;0.0018731210000000002;-0.0013334220000000001;-0.002343538;-0.001664854;-0.0013459210000000001;-0.0016974370000000002;-0.0037758009999999996;-0.005683045;-0.004501593;-0.002337768;-0.00222691;-0.0029692209999999998;-0.005609581999999999;-0.00860554;-0.009408765;-0.01120791;-0.01322325;-0.01312072;-0.01211442;-0.009982768000000001;-0.00753362;-0.00840847;-0.01115822;-0.01298664
7;5;0;0.01717108;0.008784918000000001;0.009499295999999999;0.006485306999999999;0.0067520209999999995;0.01147948;0.01078584;0.01328375;0.01852152;0.0222029;0.02426765;0.01916318;0.01363604;0.008801375;0.0006960388;-0.0017365979999999998;-0.00393155;-0.008984179;-0.0050601959999999994;-0.0002233861;-0.0007045036;0.00465805;0.01276354;0.01644279;0.01862089;0.01992989;0.01998195;0.01706205;0.01143786;0.004149555;-0.0034005090000000003;-0.002126091;-1.086912e-05;-0.004732973;-0.001516849;0.005002697;0.01002278;0.01726496;0.01410072;0.01039958;0.01641572;0.01758241;0.01837607;0.02494207;0.02840155;0.02672264;0.02473779;0.02544684;0.02184515;0.01436542;0.01087515;0.005679814;-0.002906415;-0.008681843;-0.008456960999999999;-0.00302626;0.004782759;0.01430687;0.01708304;0.01420169;0.01851859;0.02647146;0.02952505;0.02225426;0.01483507;0.01945103;0.02030669;0.01691746;0.01727777;0.01436432;0.01368558;0.01394609;0.01255551;0.01292368;0.01019114;0.0067715430000000005;0.002934576;-0.00133221;-0.007281912;-0.01486549;-0.01033261;-0.00496436;-0.00979723;-0.007852583;-0.001982238;-0.0005270194999999999;-0.004488859;-0.01255709;-0.01279847;-0.01180942;-0.01255013;-0.006274493000000001;-0.006202748;-0.01098303;-0.01134307;-0.0130813;-0.01210377;-0.01045009;-0.01138947;-0.01211441;-0.01435155;-0.01307756;-0.01072937;-0.0093471;-0.006004031;-0.007275435;-0.008670717;-0.007159934000000001;-0.008852311;-0.01028482;-0.01086122;-0.01080635;-0.008917811;-0.009198747;-0.009024544;-0.0059283190000000005;-0.002696768;0.0006404236;0.0002597726;-0.0027766509999999998;-0.002351095;-0.004271518;-0.009719146;-0.01230961;-0.01351743;-0.0137475;-0.01119056;-0.007536175
13;5;0;0.0005507859999999999;-0.004258256;-0.004679636;-0.001751804;0.002191989;0.004272813;0.0008044152;0.0013135970000000001;-8.165014e-06;-0.0052369159999999994;-0.004779649;-0.0025371729999999998;-0.0006850233;-0.00101654;-0.002489256;-0.001325727;-0.0007444421;-0.0008658072;-0.0035174;-0.006894779;-0.0044639120000000004;-0.002012956;-0.003433685;-0.0022020860000000002;0.001015206;0.002758173;0.005387743;0.005619277;0.002927849;0.003253358;0.002139176;-0.0012555510000000001;-0.000824972;-0.0007599642;-0.003258175;-0.0038692609999999997;-0.002364409;-0.002440704;-0.005910508;-0.00800214;-0.006496668000000001;-0.0051583290000000006;-0.0051676429999999995;-0.005957279;-0.006337508;-0.00767325;-0.01031546;-0.00982224;-0.008246401;-0.007561443;-0.006076579;-0.0061485540000000005;-0.005204938;-0.001516335;-0.0006826985000000001;-0.00404923;-0.007551829;-0.006234488000000001;-0.0005533576;0.0013209810000000002;-0.0026601809999999997;-0.0032502240000000003;0.002388124;0.006101551;0.0039557640000000005;-0.00029050209999999997;-0.004145026;-0.007864438;-0.005289021999999999;0.001485833;0.0007274393;-0.0005914337000000001;0.0003773635;-0.002082335;-0.002009234;-0.002895452;-0.0048388;-0.0029433790000000003;-0.001049787;0.0016741520000000001;0.0004420163;-0.0049485779999999995;-0.0066676209999999994;-0.005431711999999999;-0.001514655;0.001059095;0.0002945345;0.001626201;0.0032937879999999998;0.0016861170000000002;-0.0014997429999999998;-0.00549526;-0.008593347;-0.005080446;-0.00106666;-0.0015242670000000002;0.001620701;0.00273539;-0.0002354391;0.0006972896;0.00348519;0.007004473000000001;0.006983654000000001;0.003718445;0.00367764;0.003555327;0.0029983429999999997;0.002163126;0.0003547951;0.00042359989999999996;0.000287335;-1.539721e-05;-8.185644e-05;-0.0013436020000000002;-0.004215969;-0.008247074;-0.0062231380000000005;0.0011062210000000001;0.004436087;0.002285394;-0.0007020913000000001;0.0023769620000000003;0.005860729;0.00373355;0.004719195;0.007148675;0.006642057;0.004901045
16;5;0;-0.05081937;-0.04982679;-0.04879981;-0.04262063;-0.03689378;-0.03759462;-0.03896261;-0.03781007;-0.04051241;-0.04329538;-0.03728124;-0.03082192;-0.0298742;-0.02832956;-0.02553714;-0.02363131;-0.02272904;-0.02173701;-0.02022118;-0.02061765;-0.02182388;-0.02048663;-0.01878603;-0.01784652;-0.01537943;-0.01338884;-0.01241958;-0.01159639;-0.01209888;-0.01175818;-0.0103161;-0.008373410999999999;-0.006625848;-0.0075717119999999995;-0.00697082;-0.005976633;-0.01141841;-0.01649405;-0.01565906;-0.01525026;-0.01738477;-0.017921;-0.01626865;-0.01489915;-0.01336299;-0.01273849;-0.01484699;-0.01532225;-0.0138872;-0.01649192;-0.0183799;-0.01403981;-0.01168902;-0.01049245;-0.007523521;-0.009505933000000001;-0.01077158;-0.01063217;-0.01308373;-0.0141135;-0.01463353;-0.01269865;-0.01375677;-0.01758165;-0.01542923;-0.01567681;-0.01785656;-0.01926261;-0.02078861;-0.01776478;-0.01936219;-0.02612895;-0.02788981;-0.02426571;-0.01999978;-0.02107289;-0.02237834;-0.01900923;-0.01584203;-0.01245056;-0.01001724;-0.007805814;-0.003109829;-0.003161522;-0.00288265;0.001720489;0.0007588402000000001;0.0005554652;0.002402456;0.0009161102;0.001189858;-0.0008640411;-0.00399577;-0.00295636;-0.0026524409999999997;-0.005430928000000001;-0.00913904;-0.008312903;-0.0058967180000000004;-0.002997895;0.009177944;0.01828532;0.01349998;0.01223172;0.01597641;0.01105599;0.004276825;0.0009220548;0.001414291;0.0061803330000000005;0.005155656;0.004240843;0.005979538;0.003098195;0.003945995999999999;0.004875609;0.006924696;0.01248866;0.008639513;0.005651029;0.008654067;0.008443934;0.009642004000000001;0.01207475;0.01130237;0.006832263000000001;0.0033078079999999998;0.003860263
17;5;0;-0.01542923;-0.01567681;-0.01785656;-0.01926261;-0.02078861;-0.01776478;-0.01936219;-0.02612895;-0.02788981;-0.02426571;-0.01999978;-0.02107289;-0.02237834;-0.01900923;-0.01584203;-0.01245056;-0.01001724;-0.007805814;-0.003109829;-0.003161522;-0.00288265;0.001720489;0.0007588402000000001;0.0005554652;0.002402456;0.0009161102;0.001189858;-0.0008640411;-0.00399577;-0.00295636;-0.0026524409999999997;-0.005430928000000001;-0.00913904;-0.008312903;-0.0058967180000000004;-0.002997895;0.009177944;0.01828532;0.01349998;0.01223172;0.01597641;0.01105599;0.004276825;0.0009220548;0.001414291;0.0061803330000000005;0.005155656;0.004240843;0.005979538;0.003098195;0.003945995999999999;0.004875609;0.006924696;0.01248866;0.008639513;0.005651029;0.008654067;0.008443934;0.009642004000000001;0.01207475;0.01130237;0.006832263000000001;0.0033078079999999998;0.003860263;0.0033702579999999997;0.001722695;0.001359982;0.004126309;0.008255227;0.007650558000000001;0.008709594000000001;0.01325796;0.01184956;0.01135764;0.01630531;0.01775561;0.01512479;0.009506394;0.004816221;0.007793284;0.01166029;0.01100485;0.01064003;0.009318429;0.006494019;0.0064270130000000005;0.005316896999999999;0.004104929;0.005668679;0.005657005;0.0105291;0.01632713;0.01021892;0.00212531;0.001364715;0.007136164;0.01268624;0.009126351;0.004745837;0.005131673;0.003962011;0.0032776890000000003;0.003714013;0.0032094209999999996;0.007132596999999999;0.01262037;0.01514056;0.02052474;0.02390865;0.02020835;0.01747025;0.01557516;0.01312226;0.01129007;0.0075295019999999995;0.00833619;0.01041244;0.005768700999999999;0.005365241999999999;0.008564097;0.01187909;0.01753581;0.01549951;0.01258497;0.01432188;0.01251101;0.01174773;0.00975529
21;5;0;0.005867073;0.006075458000000001;0.004559996;0.001967863;-0.0029416990000000003;-0.004894007;0.00033022769999999996;0.001529221;-0.0017021620000000001;0.0014112089999999999;0.004124393;0.0057719519999999995;0.008913485;0.005906444;0.003739298;0.003483987;0.001101077;0.0005229399;-0.0013636879999999998;0.001529136;0.005771757;0.00355042;0.0049811429999999995;0.0038134790000000003;0.00040474879999999997;0.002652947;0.003072802;0.005517095;0.006089381;0.0008358246000000001;0.0003973072;0.005250135;0.01026233;0.005415718000000001;-0.0008580353;0.005395103;0.008959539;0.007617718000000001;0.006079256;0.001446571;0.002471579;0.0045048679999999995;0.0026423690000000003;0.0023849120000000003;0.0007688821000000001;0.0005251401;0.002135494;0.001855967;0.0031553790000000003;0.003489194;0.002358943;0.002459792;0.001959592;0.0036654229999999997;0.005340933000000001;0.004054734;0.004566882;0.00567887;0.00508001;0.0029424359999999997;0.001470358;0.002297579;0.001413259;0.0008546072;0.0017104420000000002;0.002923093;0.006090563;0.00493688;0.002098037;0.002919834;0.002709247;0.0029898909999999997;0.001521073;-0.001613786;-6.355725e-05;0.0015316639999999999;0.00190645;0.003184502;0.005759350999999999;0.0105672;0.01075317;0.008172475;0.008954868000000001;0.008774936;0.008305014;0.006662281;0.00428319;0.0061038080000000005;0.004114187;0.001759749;0.008517559000000001;0.01249668;0.009519088;0.007059586;0.00685495;0.007650351999999999;0.008159296;0.007238493;0.002906331;-0.0008955483999999999;-0.00299314;-0.002575785;0.001129615;0.00017287580000000002;0.001029763;0.004791043;0.0055003840000000005;0.008620963;0.005134416;0.0009927305;0.006755496;0.008210526999999999;0.006083049;0.005489174;0.005886063;0.006098949;0.0004913642;-0.005267949;-0.004007812;0.0028101959999999996;0.00479625;0.001387424;0.003347727;0.003356608;0.0005176735;0.001804816;0.003844513;0.006883065
27;4;0;-0.1154221;-0.1179507;-0.1149668;-0.1091884;-0.08274761;-0.0360355;-0.01370252;-0.01065256;-0.005398075;-0.00676885;-0.001356078;0.007705059;0.01026476;0.02437837;0.03847124;0.04503298;0.05455395;0.05516275;0.0532951;0.05934507;0.06425681;0.0749265;0.08873834;0.08580723;0.07523433;0.06961913;0.06257339;0.05879582;0.05827022;0.05589187;0.05279182;0.04842976;0.05309343;0.05974001;0.05673003;0.05646152;0.05570261;0.05470943;0.05935106;0.06017797;0.06238337;0.06675731;0.06796508;0.06870414;0.06419685;0.06101166;0.06576488;0.06967446;0.0708856;0.0701241;0.06708973;0.06693304;0.07017744;0.07038576;0.07052947;0.07287329;0.07072196;0.07199926;0.0791788;0.08276913;0.08323098;0.08010763;0.07534177;0.07188905;0.07455908;0.08021577;0.07878126;0.08250732;0.08428541;0.0769235;0.08012752;0.08436684;0.08776653;0.09185907;0.08701045;0.08618577;0.0852309;0.08672336;0.09425011;0.0924686;0.09290065;0.09380829;0.09126704;0.09443355;0.09357179;0.09311316;0.09417448;0.09164284;0.09056073;0.08678687;0.08447351;0.08507236;0.08378362;0.084628;0.08734777;0.09078901;0.0918951;0.09081349;0.09070868;0.08716872;0.08337347;0.08365463;0.08304562;0.08161247;0.08283827;0.08428986;0.08349775;0.08249254;0.08061974;0.07700191;0.07486246;0.07618273;0.0794614;0.08189168;0.08276424;0.08084821;0.07826635;0.0797457;0.08366142;0.08658234;0.082557;0.0762441;0.07868348;0.07932766;0.07700118;0.08242889;0.08572907;0.08287536
30;4;0;0.04012275;0.03933687;0.03976965;0.03866088;0.03807819;0.03652309;0.0331284;0.03388423;0.03343683;0.03232654;0.03668735;0.04023525;0.03915547;0.03789723;0.03822274;0.03518323;0.03140609;0.0318821;0.03159548;0.030651;0.03000398;0.02884721;0.02866567;0.02856249;0.030077;0.02985491;0.02853154;0.0307061;0.02995441;0.02665747;0.0239034;0.0237767;0.02826333;0.02988654;0.02973579;0.02889337;0.02487031;0.02123048;0.01889623;0.02127004;0.02259968;0.01926462;0.01967992;0.02262144;0.02703907;0.02908015;0.02731157;0.02759403;0.02562293;0.02297287;0.02144372;0.01896576;0.01999212;0.02163039;0.02374605;0.02575598;0.02149743;0.0180447;0.01985988;0.0205026;0.02013325;0.02196279;0.02159246;0.01659753;0.01434587;0.01585058;0.01562837;0.0136294;0.009825604;0.006826262;0.007625998;0.00851883;0.007941914;0.007450198000000001;0.008029313;0.007301116999999999;0.0010180439999999999;-0.006981006;-0.01582347;-0.04116715;-0.08643222;-0.1308273;-0.1841934;-0.262545;-0.3374508;-0.4124307;-0.4921801;-0.5434912;-0.5680432;-0.5512497;-0.4966346;-0.4428417;-0.4119307;-0.4647695;-0.5481533;-0.5526947;-0.4939796;-0.3650035;-0.2223642;-0.1513321;-0.09544437;-0.02945067;0.02811642;0.07096974;0.089289;0.09760003;0.09593039;0.06892485;0.03908152;0.06287214;0.1244769;0.1899066;0.2681157;0.3355047;0.3995482;0.4546769;0.4877995;0.5143666;0.4959382;0.461159;0.421648;0.3465484;0.301022;0.249809;0.1338317;0.0005784577;-0.1149707;-0.1881515
35;4;0;0.029872;0.03012107;0.02933042;0.02888968;0.02859828;0.0283556;0.03111531;0.0346931;0.03153864;0.02805619;0.02890784;0.02548522;0.02382206;0.02630346;0.02472052;0.02468753;0.02506074;0.02352731;0.02487985;0.0246554;0.02388374;0.0229229;0.0206663;0.02093989;0.0203888;0.02206915;0.02421391;0.01829902;0.01391648;0.01726956;0.01930256;0.01533329;0.01287933;0.01540793;0.01567514;0.01408363;0.01292161;0.01070997;0.009116118000000001;0.008730662;0.009956992;0.01364866;0.01965004;0.02196274;0.01832112;0.01637515;0.01558135;0.01650038;0.01984502;0.01846443;0.01842042;0.02135572;0.01953974;0.0178806;0.0170523;0.01491538;0.0143173;0.01271149;0.0107842;0.01068211;0.01211536;0.01595635;0.01742971;0.01588613;0.01703834;0.01891969;0.01850882;0.01513573;0.01115543;0.01259694;0.01476209;0.01353993;0.01465759;0.01572323;0.01453331;0.01425621;0.01422649;0.0155565;0.01693309;0.015403;0.01177141;0.008444433000000001;0.009106608;0.009046601;0.0051499779999999995;0.0037218570000000003;0.00429851;0.004717932;0.004546038;0.00487153;0.008481488;0.01031315;0.008385238;0.007288735;0.008952463;0.01177596;0.01278734;0.0119161;0.008139953;0.004941723;0.0067158240000000004;0.00810868;0.008114304000000001;0.008537181999999999;0.009165332;0.01044381;0.008771161;0.005604647;0.004700241;0.00536832;0.006858629000000001;0.006222501;0.0029639370000000003;0.0009938711;0.004021426;0.008372248;0.0057870890000000005;0.0007449721;-0.0008830263000000001;-0.001401377;-0.001668728;-0.002584716;0.0014324070000000001;0.0064925830000000006;-0.001178064;-0.007972494;-0.002984102;-0.0007297034
