;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
0;5;0;1.012817;1.022833;1.0220280000000002;1.0178770000000001;1.02368;1.016974;1.0177459999999998;1.019263;1.016417;1.020745;1.018643;1.019521;1.02026;1.018041;1.020829;1.018644;1.019398;1.020399;1.0192219999999999;1.022093;1.020433;1.020534;1.021503;1.019931;1.0204799999999998;1.018945;1.0192379999999999;1.019989;1.018917;1.019762;1.019021;1.017887;1.0181360000000002;1.019543;1.020242;1.018757;1.019534;1.019862;1.01906;1.020717;1.0210549999999998;1.020178;1.018108;1.0147760000000001;1.015374;1.018429;1.019895;1.0186469999999999;1.0163870000000002;1.017053;1.019572;1.021097;1.019488;1.017218;1.019876;1.022022;1.0205739999999999;1.021588;1.022298;1.019369;1.01698;1.016774;1.0160790000000002;1.015292;1.018851;1.0223799999999998;1.020781;1.020218;1.021344;1.020522;1.01979;1.019216;1.018307;1.017996;1.017932;1.0181209999999998;1.018305;1.018458;1.018201;1.0171290000000002;1.017814;1.0188;1.017601;1.01797;1.018489;1.017787;1.019167;1.0197889999999998;1.019462;1.020433;1.021189;1.021903;1.021936;1.02055;1.0188780000000002;1.018548;1.0173889999999999;1.015021;1.01931;1.024606;1.021863;1.020201;1.020573;1.018729;1.01936;1.019954;1.018969;1.019633;1.0195530000000002;1.019179;1.019695;1.019145;1.018516;1.017926;1.01778;1.018917;1.020606;1.022583;1.020981;1.018065;1.0196379999999998;1.020017;1.018766;1.019815;1.01929;1.018445;1.019372;1.0211709999999998
3;5;0;1.017682;1.018149;1.019854;1.01988;1.019121;1.0204790000000001;1.0205950000000001;1.01634;1.0106110000000001;1.009013;1.015016;1.024026;1.027664;1.022425;1.015007;1.014774;1.017851;1.019387;1.021093;1.022092;1.024232;1.025311;1.022033;1.020125;1.02158;1.022957;1.022148;1.021799;1.022725;1.02178;1.0209030000000001;1.019081;1.017221;1.019547;1.02177;1.022134;1.020713;1.0184870000000001;1.0203309999999999;1.024399;1.0267680000000001;1.0237040000000002;1.016694;1.0148549999999998;1.0175450000000001;1.022063;1.026897;1.0252569999999999;1.022442;1.022451;1.0201040000000001;1.02014;1.020892;1.018699;1.020304;1.021516;1.019417;1.019312;1.019448;1.019434;1.019916;1.021041;1.022935;1.022019;1.019952;1.019616;1.020933;1.023061;1.022242;1.020867;1.021939;1.0223;1.022302;1.022254;1.021854;1.02155;1.0204520000000001;1.020845;1.022117;1.02201;1.0213450000000002;1.019568;1.018964;1.019953;1.020229;1.0210549999999998;1.0210709999999998;1.020661;1.021936;1.022134;1.0204090000000001;1.018856;1.0193969999999999;1.0208270000000002;1.020824;1.020529;1.0191059999999998;1.017155;1.01749;1.018337;1.018905;1.018994;1.01826;1.018166;1.018076;1.0190540000000001;1.020879;1.020772;1.019931;1.019357;1.020142;1.021285;1.0196399999999999;1.018241;1.0188620000000002;1.019617;1.019715;1.019507;1.021295;1.022934;1.022183;1.0216370000000001;1.020598;1.018887;1.019161;1.019916;1.0196020000000001;1.020735
7;5;0;1.023996;1.024485;1.02512;1.023884;1.021244;1.019876;1.018095;1.016068;1.016961;1.020785;1.0231709999999998;1.0218610000000001;1.019083;1.017954;1.020559;1.023772;1.024165;1.024125;1.022127;1.017759;1.0181639999999998;1.019983;1.018756;1.0197559999999999;1.0197559999999999;1.018933;1.021144;1.021757;1.0223959999999999;1.022788;1.022324;1.023615;1.0226959999999998;1.022405;1.021916;1.016982;1.014804;1.017978;1.02257;1.023087;1.020983;1.020867;1.019158;1.019881;1.0229190000000001;1.021859;1.020885;1.0190569999999999;1.01704;1.01835;1.0182360000000001;1.017752;1.018462;1.01938;1.022407;1.024753;1.024566;1.024441;1.023631;1.0215040000000002;1.021849;1.023488;1.0244540000000002;1.027167;1.026736;1.023176;1.02186;1.020367;1.0213729999999999;1.023305;1.021698;1.022153;1.022636;1.021395;1.0207549999999999;1.018996;1.019993;1.0217690000000001;1.020489;1.0210540000000001;1.022932;1.023723;1.023038;1.0206680000000001;1.017759;1.014837;1.0170290000000002;1.021478;1.019325;1.018399;1.020553;1.018936;1.019081;1.019148;1.0171629999999998;1.0183010000000001;1.0184540000000002;1.0190860000000002;1.022756;1.024152;1.02286;1.021539;1.0219260000000001;1.020828;1.018435;1.019487;1.019893;1.0189979999999998;1.0196610000000002;1.019461;1.0193020000000002;1.01978;1.020237;1.0209540000000001;1.0200770000000001;1.0185540000000002;1.017701;1.016524;1.017306;1.019716;1.019323;1.0173510000000001;1.01671;1.01814;1.02037;1.019584;1.0187899999999999;1.019997
13;5;0;1.0207700000000002;1.0215610000000002;1.021268;1.022727;1.022307;1.021894;1.022508;1.0217370000000001;1.020421;1.0195239999999999;1.021811;1.024737;1.022451;1.0194459999999999;1.019363;1.019323;1.019683;1.020637;1.021779;1.0225959999999998;1.021199;1.020342;1.021051;1.0208139999999999;1.0207760000000001;1.020728;1.019867;1.019596;1.021074;1.022817;1.02146;1.02023;1.0220049999999998;1.02263;1.022053;1.022225;1.022259;1.0222069999999999;1.022394;1.022944;1.022642;1.020247;1.018788;1.020597;1.022175;1.021183;1.01968;1.0188959999999998;1.018581;1.017991;1.018265;1.0210290000000002;1.0230059999999999;1.022349;1.0215020000000001;1.020571;1.019036;1.019362;1.021775;1.022605;1.0221879999999999;1.0222209999999998;1.0221200000000001;1.0221799999999999;1.021283;1.020644;1.021809;1.02234;1.021423;1.020351;1.020804;1.021512;1.021947;1.0225090000000001;1.020385;1.0191219999999999;1.020713;1.0226520000000001;1.026011;1.024944;1.019079;1.016448;1.016421;1.019036;1.022174;1.022153;1.021564;1.02054;1.0215100000000001;1.0230860000000002;1.0219799999999999;1.022925;1.0232620000000001;1.02135;1.0202309999999999;1.018171;1.017668;1.019247;1.019735;1.019413;1.0193219999999998;1.019927;1.021181;1.0225540000000002;1.0214530000000002;1.0191540000000001;1.0193379999999999;1.019965;1.0210780000000002;1.022883;1.022382;1.02179;1.0224950000000002;1.021508;1.0184790000000001;1.016118;1.017932;1.020801;1.019344;1.018934;1.021253;1.0216690000000002;1.022459;1.022543;1.021152;1.019922;1.017543;1.019463
16;5;0;1.010334;1.0083790000000001;1.008078;1.009918;1.012846;1.014341;1.0129629999999998;1.010247;1.010894;1.012533;1.011668;1.011269;1.00987;1.006409;1.004966;1.006429;1.007549;1.006832;1.007261;1.009703;1.011092;1.01063;1.010948;1.0125170000000001;1.012812;1.013414;1.0152459999999999;1.0155049999999999;1.014138;1.009917;1.005449;1.007283;1.009773;1.007846;1.008292;1.0109920000000001;1.012082;1.012486;1.0098200000000002;1.007097;1.008312;1.007819;1.006464;1.008274;1.010591;1.011414;1.010074;1.007958;1.006335;1.005093;1.00573;1.0078719999999999;1.0096100000000001;1.009945;1.008543;1.007005;1.0071350000000001;1.008737;1.009954;1.008161;1.00591;1.007193;1.0084870000000001;1.009021;1.010311;1.009875;1.010281;1.011755;1.010484;1.008202;1.006932;1.0091430000000001;1.012576;1.0106600000000001;1.007583;1.007041;1.0072969999999999;1.008979;1.008405;1.006559;1.006543;1.006267;1.009559;1.014518;1.015463;1.013865;1.011463;1.01233;1.013331;1.011382;1.010993;1.0094040000000002;1.0091780000000001;1.011352;1.01001;1.009458;1.009883;1.009499;1.010001;1.0095180000000001;1.009741;1.009897;1.009622;1.010869;1.011259;1.0113590000000001;1.01196;1.012667;1.012281;1.009425;1.00786;1.009563;1.01301;1.01461;1.0119479999999998;1.007555;1.0050059999999998;1.0087059999999999;1.0131620000000001;1.0107979999999999;1.0091370000000002;1.0094290000000001;1.00781;1.009119;1.0105469999999999;1.009307;1.009906;1.011016
17;5;0;1.010311;1.009875;1.010281;1.011755;1.010484;1.008202;1.006932;1.0091430000000001;1.012576;1.0106600000000001;1.007583;1.007041;1.0072969999999999;1.008979;1.008405;1.006559;1.006543;1.006267;1.009559;1.014518;1.015463;1.013865;1.011463;1.01233;1.013331;1.011382;1.010993;1.0094040000000002;1.0091780000000001;1.011352;1.01001;1.009458;1.009883;1.009499;1.010001;1.0095180000000001;1.009741;1.009897;1.009622;1.010869;1.011259;1.0113590000000001;1.01196;1.012667;1.012281;1.009425;1.00786;1.009563;1.01301;1.01461;1.0119479999999998;1.007555;1.0050059999999998;1.0087059999999999;1.0131620000000001;1.0107979999999999;1.0091370000000002;1.0094290000000001;1.00781;1.009119;1.0105469999999999;1.009307;1.009906;1.011016;1.01201;1.0130700000000001;1.011622;1.008409;1.0043360000000001;1.00334;1.006653;1.0075370000000001;1.006679;1.0077399999999999;1.01047;1.013625;1.012944;1.011582;1.0130370000000002;1.012553;1.011906;1.011868;1.00936;1.007517;1.0070780000000001;1.008721;1.0125;1.013098;1.011778;1.010823;1.009189;1.009818;1.0119790000000002;1.012246;1.01001;1.007644;1.009816;1.012451;1.010813;1.0105;1.010804;1.009097;1.0092729999999999;1.00837;1.006718;1.010471;1.014069;1.012535;1.011778;1.013028;1.012472;1.011996;1.011984;1.010641;1.010775;1.01065;1.00909;1.0100959999999999;1.011819;1.012544;1.011995;1.010415;1.010933;1.010634;1.00902;1.009817;1.009991;1.0094
21;5;0;1.009773;1.009734;1.009686;1.009592;1.008416;1.006333;1.00539;1.008254;1.010685;1.008865;1.007701;1.010044;1.012866;1.013932;1.011383;1.0076370000000001;1.00884;1.0114370000000001;1.012901;1.015896;1.0142520000000002;1.010633;1.01197;1.011235;1.009155;1.00906;1.006928;1.007157;1.011009;1.012928;1.011218;1.008465;1.009687;1.010537;1.008371;1.007385;1.005467;1.0074040000000002;1.011863;1.010334;1.010621;1.012312;1.01126;1.01292;1.0127620000000002;1.010714;1.0104440000000001;1.009241;1.009603;1.010174;1.009295;1.0099129999999998;1.009794;1.009488;1.010333;1.011348;1.012889;1.0115610000000002;1.008481;1.008204;1.0092290000000002;1.010069;1.009859;1.0093809999999999;1.0101440000000002;1.0105959999999998;1.011044;1.010543;1.009262;1.010648;1.0115299999999998;1.009616;1.007462;1.005517;1.0051709999999998;1.006357;1.008178;1.010468;1.010147;1.009025;1.010055;1.009858;1.0098799999999999;1.012736;1.0142309999999999;1.012139;1.0092780000000001;1.00968;1.012054;1.012546;1.0116379999999998;1.009952;1.010124;1.011799;1.010852;1.009965;1.009759;1.0093969999999999;1.010375;1.0114299999999998;1.012019;1.008481;1.003571;1.0056770000000002;1.0088540000000001;1.009802;1.011652;1.0095299999999998;1.0070290000000002;1.008938;1.009106;1.0081040000000001;1.0084879999999998;1.008973;1.009642;1.0098280000000002;1.011291;1.011673;1.009476;1.009318;1.008114;1.005742;1.005974;1.0070629999999998;1.008953;1.008424;1.005763;1.005666
27;4;0;0.9068317;0.9093641;0.9083683;0.9111495;0.9243649;0.9251153;0.9199071;0.9117922;0.9024631;0.916602;0.9366371;0.9336245;0.9234674;0.9193153;0.9172326;0.9187327;0.9209825;0.9240969;0.928405;0.925521;0.921774;0.920958;0.9218246;0.9324262;0.9403026;0.9343821;0.9265591;0.9252885;0.9271957;0.9270915;0.9274125;0.9255208;0.9221578;0.9243114;0.9267687;0.9280925;0.9283824;0.9270705;0.9278919;0.9270468;0.925012;0.9230702;0.9199491;0.9211733;0.9236196;0.9229228;0.9246113;0.9270128;0.9270826;0.9279035;0.9271637;0.9256156;0.926642;0.9263602;0.925012;0.9241044;0.9229106;0.9226435;0.9212592;0.9208851;0.925241;0.9302099;0.9310599;0.9275577;0.9256148;0.9286822;0.9318461;0.9323784;0.9318425;0.9312789;0.9294211;0.9270672;0.9286819;0.9319282;0.9314977;0.9282974;0.9253317;0.9258697;0.9273355;0.9255636;0.9244003;0.9245327;0.9273334;0.9325468;0.9301455;0.9245892;0.9239178;0.9258844;0.9305557;0.9300747;0.926914;0.9298895;0.9295273;0.9269971;0.9264035;0.9242862;0.9268209;0.9326644;0.9358822;0.9352361;0.9327435;0.9334815;0.9336071;0.9327889;0.9336647;0.9316835;0.9288573;0.9270486;0.9267196;0.9286857;0.9294077;0.9302951;0.9308357;0.9301238;0.9295665;0.926932;0.9260766;0.9283882;0.9297057;0.9292312;0.9275973;0.9268686;0.9263205;0.9275332;0.9312305;0.9321599;0.9303032;0.9283487
30;4;0;0.9291934;0.9275548;0.9272357;0.9285834;0.9281897;0.9284649;0.9275581;0.9257261;0.9267106;0.9280775;0.9282669;0.9282847;0.9283949;0.9279578;0.927025;0.9272018;0.9262841;0.9258037;0.9270602;0.9260861;0.926222;0.926851;0.9262643;0.9286332;0.9306138;0.9309785;0.9314772;0.9319309;0.9321866;0.9303442;0.9285077;0.9274212;0.9273728;0.9287374;0.9288999;0.9293689;0.9285679;0.9276599;0.9293831;0.9291803;0.9303112;0.9330751;0.9321647;0.9274486;0.9214067;0.9231137;0.9273053;0.9257001;0.9269781;0.9286004;0.9288942;0.9297654;0.9266494;0.9258599;0.9267779;0.9260044;0.9267563;0.9261866;0.9263159;0.9270671;0.9277551;0.9296898;0.9274756;0.9258401;0.9293461;0.9315546;0.9304854;0.9289204;0.9285483;0.9281632;0.9281222;0.927213;0.9254334;0.9266514;0.9267545;0.9261471;0.9286369;0.9276121;0.9193808;0.90814;0.8991767;0.8915449;0.8900645;0.8938406;0.8830987;0.8745633;0.8895147;0.9041706;0.9178303;0.9523555;0.9907662;0.9899707;0.9698239;0.9713756;0.9518923;0.9231002;0.9476637;1.008766;1.069117;1.068734;1.031107;1.024973;0.9846557;0.9539213;1.0095290000000001;1.03683;1.006967;0.9711366;0.9248494;0.887129;0.8782788;0.8874284;0.8879131;0.898795;0.9172977;0.8890845;0.8334353;0.7805059;0.7611046;0.7915521;0.8032852;0.7882579;0.7815199;0.7588909;0.7186269;0.6960658;0.70179;0.7297977
35;4;0;0.7778759;0.7756545;0.7745566;0.7760563;0.777901;0.7778388;0.7779824;0.778797;0.7801571;0.7801023;0.7787034;0.778671;0.7780593;0.7777916;0.7812776;0.7827161;0.7785417;0.7758356;0.7763418;0.7766487;0.7776654;0.7797722;0.7808611;0.7786712;0.7759036;0.7762505;0.776633;0.7763904;0.7773692;0.7780299;0.777509;0.7758227;0.7746883;0.7757641;0.7769319;0.7767595;0.7778613;0.779093;0.7748562;0.7706567;0.7738998;0.7766785;0.7752276;0.7756068;0.7764795;0.7768748;0.7783065;0.7769588;0.7755532;0.7768431;0.7765386;0.7770384;0.7785585;0.7785141;0.7793449;0.7794241;0.7788389;0.7793473;0.778981;0.7783601;0.7785035;0.7792646;0.7795026;0.7788668;0.7792068;0.779341;0.7787623;0.7784109;0.777508;0.7775601;0.7781284;0.7775736;0.7777595;0.7775889;0.7757975;0.7745761;0.7747741;0.7751607;0.7740157;0.7733379;0.7746735;0.7752928;0.7755501;0.7779312;0.7814295;0.7811247;0.7778962;0.7780294;0.7784521;0.7779851;0.779594;0.778515;0.7768943;0.7783417;0.7787341;0.7791631;0.7795547;0.7786116;0.7785821;0.778698;0.7799821;0.7811832;0.7793586;0.7788918;0.7805136;0.7814342;0.781624;0.7811144;0.7819298;0.7821374;0.7796918;0.7787127;0.7790038;0.7783538;0.7780772;0.7802147;0.7830879;0.7817975;0.7793855;0.7792048;0.7788438;0.779313;0.7795346;0.7793289;0.7797116;0.7786795;0.7785671;0.7771719
