Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
5;0;0.1029341;0.1056872;0.1021025;0.1065527;0.1028135;0.1074931;0.1093857;0.1038862;0.1024732;0.0975659;0.09764665;0.09537356;0.09367106;0.09921876;0.09997368;0.09889572;0.0962825;0.09765831;0.1004408;0.09846986;0.1015699;0.1021059;0.1005147;0.1021144;0.100956;0.1014768;0.1014304;0.1000858;0.09980876;0.09743248;0.09520512;0.09369074;0.09435198;0.09595278;0.0986602;0.1049836;0.1066249;0.1064143;0.109485;0.107602;0.1030893;0.1005282;0.09970745;0.1006193;0.1000773;0.1021935;0.107519;0.108948;0.107225;0.1045164;0.102301;0.09824694;0.09383632;0.1008436;0.1089435;0.1037146;0.1004966;0.1040357;0.1024968;0.1001817;0.1002736;0.09922501;0.09939194;0.0985878;0.09792958;0.09935086;0.09811381;0.09751712;0.0974719;0.09657678;0.09774064;0.09730921;0.09815882;0.1011657;0.1016211;0.1015734;0.1011669;0.1013595;0.1011384;0.09923839;0.1005806;0.1025034;0.1001684;0.09859667;0.1007798;0.1003598;0.09920002;0.1017142;0.101472;0.1012259;0.1026532;0.1016078;0.1006335;0.09614245;0.09032558;0.0899055;0.0931167;0.09574084;0.09424991;0.09448054;0.09775536;0.09900205;0.09852306;0.09542946;0.0942117;0.09773522;0.1021875;0.1034573;0.09961019;0.09758879;0.09861568;0.09788232;0.09687653;0.09700962;0.09758221;0.09707332;0.09742485;0.0993411;0.1000578;0.09856404;0.09317716;0.08874205;0.09050464;0.09484291;0.09835045;0.1003852;0.09987355;0.09498741
5;0;0.0951518;0.09541539;0.08827355;0.08632477;0.08841135;0.08892948;0.09169096;0.09336454;0.09647738;0.09873661;0.09565399;0.09367285;0.09123625;0.09207211;0.09727551;0.09721817;0.09511668;0.09318756;0.09117061;0.08834874;0.08291186;0.08417797;0.08893409;0.09058986;0.09359861;0.08988711;0.08314939;0.08544598;0.08920975;0.09270112;0.09538713;0.09300598;0.08966654;0.0850963;0.08486652;0.09020624;0.09193836;0.09482185;0.09602326;0.09321579;0.09616013;0.09626289;0.0936784;0.09637986;0.09372395;0.08767998;0.08567856;0.08656764;0.09069055;0.09289061;0.0938754;0.09409445;0.08774074;0.08286672;0.08534326;0.08715508;0.08454642;0.08216647;0.08197219;0.08141334;0.08193577;0.08301135;0.08233391;0.08148748;0.0808414;0.07912684;0.07829138;0.08406305;0.08944957;0.08930405;0.09046032;0.08898517;0.08799444;0.08816496;0.08428234;0.08217843;0.07869633;0.08222699;0.09207467;0.09071004;0.08943905;0.08990725;0.08475873;0.08210002;0.08282999;0.0833716;0.08116628;0.08155611;0.08296459;0.08172553;0.08590207;0.0888332;0.08674576;0.08469208;0.08264005;0.08415007;0.085247;0.0835779;0.08392508;0.08773506;0.09207862;0.09097123;0.08822138;0.08713036;0.08494207;0.08294387;0.07941934;0.07688773;0.08010541;0.08462501;0.08718603;0.08799834;0.08708227;0.08552785;0.08522969;0.08895445;0.09317888;0.09121262;0.08811196;0.08732186;0.08373844;0.0827008;0.08449026;0.08278491;0.08408426;0.08576054;0.08327454;0.08140418
5;0;0.08833936;0.08184867;0.07650382;0.08660638;0.09842158;0.09839518;0.09210567;0.08445234;0.0776377;0.08516029;0.09973782;0.09984689;0.09571305;0.09043149;0.08151422;0.08438227;0.08961326;0.08828405;0.08947643;0.08938337;0.08784779;0.0883145;0.08865366;0.08864789;0.08730715;0.0863843;0.08504438;0.08262065;0.08175314;0.08068004;0.08366568;0.08772072;0.08411364;0.08259914;0.08656909;0.08815594;0.08656321;0.08371628;0.08108275;0.07861166;0.08028532;0.08337648;0.08071335;0.07988247;0.08213536;0.08191352;0.0816655;0.08016942;0.07846077;0.07901254;0.07778195;0.07325466;0.06887585;0.07012072;0.07591562;0.07957953;0.08095504;0.08122584;0.08093684;0.08226968;0.08238871;0.08043603;0.07778891;0.07410929;0.07640137;0.08244215;0.08154024;0.07784658;0.07426736;0.07120461;0.07120263;0.07117411;0.07209255;0.0701243;0.0662862;0.06874041;0.07043117;0.07076005;0.0725077;0.07223797;0.074205;0.07570737;0.0744166;0.07326648;0.07214635;0.07546475;0.08050477;0.07926054;0.07362213;0.07024209;0.06950133;0.06909397;0.07103561;0.0709672;0.06943003;0.07357591;0.07683562;0.07768339;0.07817467;0.0744613;0.07268436;0.07372939;0.07269446;0.07196462;0.07226021;0.07384044;0.07656938;0.07849786;0.07797282;0.07602266;0.0755589;0.07478972;0.07463523;0.07555159;0.07483302;0.07587342;0.07679268;0.0752032;0.07481162;0.07491799;0.0751168;0.07467759;0.07302094;0.07191392;0.0722113;0.0740713;0.07404372;0.07339988
5;0;0.07348688;0.0763496;0.07449944;0.07208269;0.06963762;0.06709502;0.07000403;0.07302011;0.07200233;0.07217219;0.07259087;0.07377165;0.07908044;0.08461387;0.08494946;0.07975146;0.07530902;0.07292888;0.06832657;0.06709058;0.07154154;0.07321356;0.07189052;0.0725062;0.07417073;0.0757851;0.07706321;0.07841091;0.0803531;0.07993776;0.07722035;0.07382737;0.06887172;0.06682038;0.07028309;0.07247085;0.07313492;0.07668345;0.07662064;0.07189831;0.07099247;0.07505602;0.07827211;0.07207976;0.06542775;0.07237392;0.07883415;0.07760605;0.07694617;0.07335209;0.0694672;0.07144846;0.07331747;0.07209015;0.07327981;0.07711129;0.0776757;0.07426284;0.07092604;0.0717761;0.07365069;0.07333959;0.07547599;0.07633473;0.07659664;0.0805843;0.07958175;0.07744008;0.07744948;0.07477298;0.07885509;0.08431721;0.08023861;0.07668285;0.07655323;0.07735401;0.08054375;0.07952002;0.07317479;0.07062878;0.07261059;0.07303982;0.07308866;0.07398628;0.0720401;0.07143801;0.07402096;0.07384348;0.07419456;0.07571513;0.07472886;0.07529571;0.0771934;0.07894934;0.0791563;0.07499469;0.07125534;0.07038789;0.0715973;0.07544141;0.0785946;0.07913572;0.08000902;0.082107;0.08218283;0.08164603;0.08149495;0.07803293;0.07441135;0.07515119;0.07908386;0.08146325;0.0782953;0.07130969;0.06690968;0.07261354;0.08136282;0.0810401;0.07798477;0.07744603;0.07678272;0.07730387;0.07792641;0.07802386;0.07868343;0.07947153;0.08032938;0.08181507
5;0;-0.01043167;-0.008080581;-0.008412775;-0.009475985;-0.01119331;-0.01390376;-0.0167044;-0.01820806;-0.01621144;-0.01406347;-0.0103382;-0.0052841;-0.008137885;-0.0119554;-0.00985769;-0.01131762;-0.01334493;-0.01139513;-0.0115706;-0.01120786;-0.007709485;-0.0062614409999999995;-0.009767652;-0.01279603;-0.01157786;-0.01240656;-0.01323288;-0.01178568;-0.01192964;-0.008144076;-0.00435058;-0.008118185;-0.01129879;-0.009957613;-0.01079869;-0.01459921;-0.01702529;-0.02006027;-0.02124921;-0.02093209;-0.02571587;-0.02548063;-0.01989761;-0.01924344;-0.01973249;-0.02321434;-0.02506436;-0.01752939;-0.01150624;-0.01326156;-0.01612729;-0.0171193;-0.02183448;-0.02429567;-0.02067914;-0.02283015;-0.02481964;-0.0243433;-0.02615563;-0.02426661;-0.02452993;-0.02417474;-0.02160812;-0.02433908;-0.02417802;-0.02426306;-0.02859974;-0.02887809;-0.0246511;-0.01962029;-0.01941095;-0.01807431;-0.01169671;-0.01207694;-0.01624015;-0.01767081;-0.02054163;-0.02264771;-0.02029541;-0.01570532;-0.0141196;-0.01447161;-0.01219931;-0.0125695;-0.01751919;-0.01994729;-0.01855906;-0.01751804;-0.01817769;-0.01838241;-0.01820619;-0.01753458;-0.01631545;-0.01802559;-0.01908665;-0.01728016;-0.01737197;-0.01499272;-0.01081848;-0.01238607;-0.01339969;-0.01175853;-0.01271505;-0.01361533;-0.01657844;-0.02075875;-0.01755042;-0.01231652;-0.01216608;-0.01262042;-0.01244077;-0.01261946;-0.01200262;-0.0107819;-0.0094045;-0.01062065;-0.01373742;-0.01406803;-0.01291282;-0.01223424;-0.01266878;-0.0151679;-0.01812182;-0.01953602;-0.0179155;-0.01691111;-0.01685334;-0.01361752
5;0;-0.02417802;-0.02426306;-0.02859974;-0.02887809;-0.0246511;-0.01962029;-0.01941095;-0.01807431;-0.01169671;-0.01207694;-0.01624015;-0.01767081;-0.02054163;-0.02264771;-0.02029541;-0.01570532;-0.0141196;-0.01447161;-0.01219931;-0.0125695;-0.01751919;-0.01994729;-0.01855906;-0.01751804;-0.01817769;-0.01838241;-0.01820619;-0.01753458;-0.01631545;-0.01802559;-0.01908665;-0.01728016;-0.01737197;-0.01499272;-0.01081848;-0.01238607;-0.01339969;-0.01175853;-0.01271505;-0.01361533;-0.01657844;-0.02075875;-0.01755042;-0.01231652;-0.01216608;-0.01262042;-0.01244077;-0.01261946;-0.01200262;-0.0107819;-0.0094045;-0.01062065;-0.01373742;-0.01406803;-0.01291282;-0.01223424;-0.01266878;-0.0151679;-0.01812182;-0.01953602;-0.0179155;-0.01691111;-0.01685334;-0.01361752;-0.01380698;-0.01830908;-0.01956439;-0.01591136;-0.007704593000000001;-0.00423016;-0.0112345;-0.01911593;-0.02169574;-0.02001759;-0.0169908;-0.01451748;-0.01462458;-0.01635584;-0.01583333;-0.01679787;-0.01847909;-0.0184816;-0.01957322;-0.0168883;-0.01348775;-0.01416216;-0.01403675;-0.01559627;-0.01773355;-0.01737484;-0.01851743;-0.02014548;-0.02106431;-0.02029169;-0.01633462;-0.0151368;-0.02076456;-0.02538793;-0.02200922;-0.01806011;-0.01611024;-0.01118727;-0.01153927;-0.01605513;-0.01505824;-0.0150698;-0.01570061;-0.01369635;-0.01403316;-0.01470224;-0.01816509;-0.02262443;-0.02074552;-0.0191337;-0.01957869;-0.01797616;-0.01601973;-0.01455584;-0.01425707;-0.01398803;-0.01372388;-0.01498691;-0.01559859;-0.01519026;-0.01489078;-0.0128203;-0.008714567;-0.007437463
5;0;-0.01784095;-0.01335079;-0.01399525;-0.01567692;-0.01756355;-0.02114835;-0.01845516;-0.01636581;-0.0149645;-0.01364369;-0.01548845;-0.01522507;-0.01641705;-0.01829883;-0.01862722;-0.01938135;-0.01882069;-0.02122039;-0.02237914;-0.01640463;-0.01336874;-0.01982741;-0.02508287;-0.01670811;-0.008976204;-0.01532503;-0.02025847;-0.02079907;-0.02311464;-0.02135732;-0.01988615;-0.02069955;-0.0171453;-0.0129244;-0.009782595;-0.006262775999999999;-0.008312708;-0.01424929;-0.01607348;-0.01762171;-0.02014913;-0.01629634;-0.01162634;-0.01328322;-0.01613357;-0.01582478;-0.01504064;-0.01819538;-0.0206138;-0.01917866;-0.01925061;-0.02003937;-0.02109051;-0.02283576;-0.02185182;-0.01845885;-0.01384459;-0.01168321;-0.015218;-0.01793452;-0.01558107;-0.01444726;-0.01630558;-0.01791109;-0.02003797;-0.01826766;-0.009681075;-0.004097803;-0.009483259;-0.01726658;-0.01576275;-0.01384843;-0.01663423;-0.01616904;-0.01829896;-0.0202006;-0.01513641;-0.01336535;-0.01651061;-0.01921855;-0.01784096;-0.01436002;-0.01368098;-0.01254473;-0.01257529;-0.01366921;-0.01475843;-0.01980891;-0.02310887;-0.02046978;-0.01544302;-0.01462867;-0.01799369;-0.01915136;-0.01971608;-0.018573;-0.0173045;-0.01856348;-0.01802647;-0.01781623;-0.015692;-0.01404936;-0.01840311;-0.0184327;-0.01522533;-0.01496654;-0.01313055;-0.01366935;-0.01581164;-0.01473463;-0.01550424;-0.01524306;-0.01280675;-0.01348752;-0.01648909;-0.02083919;-0.01941013;-0.01643873;-0.02085162;-0.02173153;-0.02087737;-0.02251105;-0.02081145;-0.01791625;-0.01353254;-0.01450329;-0.01999748;-0.01948357
4;0;0.3950031;0.3911455;0.3932516;0.3968214;0.4049236;0.4067535;0.4025024;0.3983726;0.388523;0.3843367;0.3796067;0.3723641;0.3820549;0.3915511;0.3906145;0.3937843;0.3955626;0.3939003;0.3944965;0.3942283;0.3914528;0.3849383;0.3766364;0.3726678;0.3721281;0.3718652;0.3725719;0.3752742;0.3833637;0.3925663;0.3902692;0.3824383;0.3788128;0.3758036;0.3751792;0.3738097;0.3729905;0.3793334;0.3817665;0.3798967;0.3789095;0.3768821;0.3779612;0.3780605;0.3765908;0.374674;0.3711565;0.3736942;0.3772091;0.378092;0.3819371;0.38407;0.383416;0.3798925;0.3735494;0.3730861;0.3731206;0.3682636;0.3722606;0.3771755;0.3705228;0.3677689;0.3699079;0.3685434;0.3673494;0.3661213;0.3659201;0.3694279;0.3741724;0.3746963;0.3749847;0.380929;0.3844061;0.3825688;0.3770609;0.3727554;0.3762259;0.3785303;0.3774726;0.376443;0.3754154;0.3771789;0.3763745;0.3751896;0.3751134;0.372949;0.3739389;0.371297;0.3681149;0.371042;0.3693243;0.3699784;0.3728053;0.3703623;0.3753459;0.3797554;0.3752964;0.3742273;0.3755554;0.3768998;0.3779506;0.3758057;0.3734831;0.3730825;0.3740186;0.3736003;0.3738259;0.3770742;0.3797197;0.379162;0.3743174;0.3728761;0.377907;0.3793456;0.374811;0.3703847;0.3720209;0.3747947;0.3748726;0.3780571;0.3782595;0.375012;0.375049;0.3747205;0.3750754;0.375295;0.3744992;0.3755994
4;0;0.3670588;0.3638358;0.3668865;0.368645;0.3721309;0.3744815;0.3747162;0.3769904;0.3769983;0.3768609;0.3768159;0.3753345;0.3755074;0.3721566;0.3701985;0.3758822;0.378877;0.3761856;0.3737516;0.3754099;0.3775481;0.3764302;0.3730037;0.3682919;0.37275;0.3815802;0.3805102;0.3774511;0.3732371;0.3692832;0.3741585;0.3788218;0.3800488;0.3805886;0.3798332;0.3819756;0.3824072;0.3769831;0.3724114;0.370698;0.3702603;0.3703022;0.3690997;0.3696608;0.3728421;0.3751405;0.3770465;0.3790741;0.3812296;0.3815276;0.3814142;0.3829037;0.3766117;0.3690117;0.3721808;0.3736641;0.3710861;0.3728173;0.3753236;0.3794403;0.3829644;0.3776154;0.3728931;0.3771551;0.3791556;0.3770916;0.3781179;0.379889;0.3802694;0.3782131;0.3750123;0.3752696;0.3755328;0.3743125;0.3749125;0.3734425;0.3706716;0.3679362;0.3585966;0.34987;0.3469748;0.3350754;0.3234636;0.3341459;0.3452597;0.3435779;0.3583019;0.3847768;0.3919623;0.3827805;0.3769652;0.3732466;0.3551092;0.3260407;0.29025;0.2524577;0.2319797;0.202478;0.1615828;0.1649377;0.1815654;0.1811138;0.2083677;0.2232182;0.1885507;0.1646428;0.1711098;0.1999512;0.2487924;0.2930129;0.3266491;0.356113;0.3901812;0.4280365;0.4473821;0.4461751;0.4470781;0.4547553;0.4569547;0.4698276;0.4981404;0.522301;0.5435126;0.5475842;0.5439551;0.5577871;0.5639844;0.5612482
4;0;0.4529741;0.4540624;0.4570135;0.4561246;0.4569242;0.4576994;0.4570743;0.4567552;0.4505551;0.4449522;0.4481164;0.4509905;0.4506342;0.4550591;0.4595384;0.4565003;0.4538168;0.4536806;0.4521007;0.452875;0.4540264;0.4524999;0.4499535;0.4467192;0.4466245;0.4477967;0.4462873;0.4465802;0.4463557;0.4446757;0.4475167;0.449413;0.44788;0.4494886;0.4525913;0.4546674;0.4547909;0.4524528;0.4525971;0.4541313;0.4567145;0.4610676;0.4581225;0.4527123;0.4516969;0.4497571;0.4521179;0.4559692;0.4542024;0.4553888;0.45798;0.4552031;0.4514507;0.4501316;0.4512786;0.4519489;0.4498694;0.4487146;0.448689;0.4486428;0.4508333;0.4530148;0.4539103;0.4544497;0.4540537;0.453631;0.4511961;0.4469289;0.4446944;0.4442089;0.4458046;0.4517185;0.4566266;0.4510172;0.444669;0.4515203;0.4575424;0.4538375;0.450753;0.4490031;0.447326;0.4470303;0.447776;0.4511071;0.4533437;0.4513177;0.4492767;0.4516638;0.4540845;0.4519933;0.4507;0.4500216;0.4493023;0.450281;0.4480642;0.4467088;0.4495016;0.4515992;0.4525497;0.451885;0.4511574;0.4515485;0.4522638;0.4531888;0.4527235;0.4526276;0.4529754;0.452261;0.4510809;0.4494405;0.4495565;0.4496161;0.4478525;0.4476065;0.4473595;0.4471431;0.4491283;0.4498408;0.4492161;0.4500092;0.4505577;0.4504624;0.4507395;0.4496706;0.4480789;0.4484678;0.4489165;0.4488041
