;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
4;5;1;-0.008612378;-0.008146719;-0.00537662;-0.003738178;-0.00321001;-0.0041330740000000005;-0.005087663;-0.0033213640000000003;-0.0022787;-0.003340397;-0.0037754579999999998;-0.003317613;-0.0035655490000000003;-0.005201733;-0.005150277;-0.001729117;0.00030932560000000004;-0.0004354718;-0.0017670479999999998;-0.004178556;-0.004274501;-0.003949423;-0.01058227;-0.01614002;-0.01383519;-0.01039578;-0.008157137;-0.00628399;-0.004692428;-0.002031867;0.002810945;0.007471593;0.0077784230000000005;0.0053857259999999995;0.003951252;0.004750221;0.005176377;0.002716288;0.0001182932;-0.001981912;-0.003256389;-0.002614697;-0.002094315;-0.002412418;-0.0034965870000000002;-0.005415161999999999;-0.008068159;-0.009002269;-0.004780998;-0.0005397305;-0.002132619;-0.003882146;-0.002370161;-0.002988493;-0.003030841;0.00186859;0.0047104;0.0033125740000000004;0.002958553;0.00337228;0.002577072;0.001401018;0.0004472376;0.001950985;0.005577377;0.005155942;0.0009489842999999999;-0.0005949478;0.005061965999999999;0.01216234;0.009037424;0.003781956;0.0032798690000000004;-0.0001028602;-0.002405344;-0.003579837;-0.005693897;-0.005884579;-0.007790285;-0.0068518;-0.003077834;-0.0006855852;0.003932562;0.006569513000000001;0.0063112509999999995;0.0057265580000000005;0.00442962;0.005392627;0.01079469;0.01744664;0.01653347;0.01377279;0.01430543;0.009461706;0.008412698;0.01433464;0.01565493;0.01301636;0.008911536999999999;0.008616129;0.01319447;0.01611117;0.01567606;0.01151008;0.01016189;0.009859228000000001;0.0002990359;-0.009437556;-0.01183287;-0.01511101;-0.02058165;-0.01830683;-0.01239785;-0.0139191;-0.01000595;-0.00317421;-0.009964275;-0.01340007;-0.005312117;-0.0011347010000000001;-0.00481264;-0.006486921;0.002018838;0.007382888000000001;-0.0005364669000000001;-0.005571703000000001;0.0034179370000000002;0.01079681
8;5;1;-0.0006373676;-0.002161241;-0.003777881;-0.00240331;-0.003765449;-0.0074459719999999995;-0.009764341;-0.00737739;-0.002666833;-0.003244763;-0.001346195;0.00483047;0.0048800829999999995;0.005771695;0.01100488;0.0152342;0.01732484;0.01501207;0.01414599;0.01639041;0.01568536;0.01254499;0.009165583;0.009980103;0.01120719;0.006558688000000001;0.004059760999999999;0.005797546;0.007584766999999999;0.00993749;0.01095327;0.009947578;0.007486499000000001;0.005270785;0.006118501;0.007304805;0.006414088;0.006083873;0.006611864;0.005978919;0.004645141;0.002340054;0.00120004;0.004524495;0.007825145;0.008702775;0.009806432;0.0102067;0.009694391;0.00960718;0.008047837;0.005186103;0.005479421999999999;0.0069385390000000005;0.006205238;0.004895796;0.001796609;0.0002047862;0.003911866;0.007950298;0.009623788000000001;0.0105823;0.01388685;0.01756218;0.01496756;0.009419482;0.006544515;0.0052271390000000004;0.00420605;0.001955286;-0.0005581371;-0.0018038129999999998;-0.002210574;-6.082892e-05;0.002060114;0.0027126840000000004;0.007471255;0.01308155;0.01040666;0.004211843;0.002836737;0.002765027;0.0049600420000000004;0.009093364;0.007965531999999999;0.006880239;0.006343572;0.004953895;0.0065280419999999995;0.003496865;0.001211069;0.004549582;0.003055308;0.00197193;0.0013265220000000001;-0.003572948;-0.002642061;-0.001156072;-0.0065721569999999995;-0.01296688;-0.01899799;-0.01755796;-0.008292663;0.0005356161;0.008865755999999999;0.009216937;0.006319824;0.007730468000000001;0.002018952;-0.002516936;-0.0029298740000000003;-0.008646128000000001;-0.009471778;-0.005783737;-0.0007927019;0.003650053;0.002104372;0.0027230320000000002;0.0032189420000000002;0.002019075;0.002561332;-0.0001976504;0.0002599164;0.004473163;0.006613676999999999;0.0026823759999999998;-0.01425158;-0.0309996
10;5;1;-0.03243686;-0.02676116;-0.02694071;-0.02629066;-0.01145644;0.008611489;0.02297385;0.03106761;0.03113045;0.0207642;0.004916794;-0.004939498;-0.01055117;-0.0109023;-0.008445425;-0.01681845;-0.02169092;-0.01626256;-0.0128954;-0.01034539;-0.009472793;-0.004959672;0.003855103;0.007928456;0.01604438;0.02821586;0.02785058;0.01841031;0.01481022;0.01742608;0.02056185;0.01972512;0.01655617;0.01168205;0.002986885;0.003925336;0.008089433;0.003795268;0.008047130999999999;0.01428903;0.01461238;0.0157077;0.01193905;0.008566311;0.002985732;-0.007321871999999999;-0.01143232;-0.01210268;-0.01017052;-0.006380945;-0.00277057;0.0028100390000000003;0.007499864;0.009796891;0.006426918;0.0007373503;-0.004149946;-0.00708934;-0.001770857;0.001444072;0.002143786;0.004250539;-0.0014258370000000001;-0.002730476;0.0016040879999999998;0.001817781;0.00325619;0.003239345;0.0027021;0.004302379;0.007385319;0.01255283;0.01376448;0.01182099;0.008592069;0.001980836;-0.003154652;-0.001273577;0.002954574;0.001023756;-0.0050419770000000004;-0.01030576;-0.009070096;-0.0008539753999999999;0.007756481;0.01458686;0.01205513;0.007886929;0.01031585;0.00129294;-0.008174103;-0.002444156;0.002021739;0.002894293;0.0041787809999999995;0.006061353;0.009420345;0.0068409690000000006;0.002235885;0.00415105;0.006843831;0.006112271999999999;0.006006346;0.0069238519999999994;0.00664083;0.004989197;0.002384868;0.0009367783;0.0004017914;0.0001023108;0.001404705;0.002350113;0.0031888479999999998;0.005186617;0.005899982;0.006509076;0.007168734;0.005266685;0.0018457010000000002;-0.003061318;-0.004763332;-0.001139937;-0.0011135160000000002;-0.002365029;-0.002238833;-0.005567113;-0.005993914;-0.0011257539999999999
14;5;1;0.2190629;0.2195132;0.238885;0.2322319;0.2161485;0.2111208;0.1989688;0.1996131;0.1913854;0.1792769;0.1749032;0.1659072;0.1738675;0.1834749;0.1836836;0.1803531;0.1710313;0.1736455;0.1720797;0.1574849;0.1503802;0.1459101;0.1337688;0.1173017;0.117385;0.1206423;0.109901;0.119711;0.1333206;0.1267492;0.123931;0.1166214;0.1082974;0.1057957;0.09983329;0.1057852;0.1127732;0.1088058;0.1117665;0.1236099;0.1343981;0.1366475;0.1359767;0.1330234;0.1217896;0.1166891;0.1169876;0.1156988;0.1200668;0.118621;0.1162714;0.1256388;0.1270692;0.116728;0.1073869;0.1071226;0.1097625;0.1013508;0.09589103;0.09375935;0.08803939;0.08988071;0.08968511;0.08869199;0.09385273;0.09551107;0.09228726;0.08771608;0.09036579;0.09432451;0.09241593;0.09255743;0.09233914;0.09576825;0.09940157;0.09153817;0.08547554;0.08829528;0.08917329;0.08484656;0.08315882;0.08598333;0.08636756;0.08368298;0.08016832;0.07906119;0.07729781;0.06973005;0.06446826;0.06462212;0.06423462;0.06097563;0.06113274;0.06867285;0.07204107;0.06535485;0.05795356;0.05880207;0.06075162;0.05817764;0.06067273;0.06120929;0.05796551;0.0600267;0.05956688;0.05818704;0.05649986;0.05437514;0.05640632;0.05399183;0.05372252;0.05769576;0.05884654;0.06334485;0.0629348;0.05729933;0.05485276;0.05343783;0.05564194;0.05574778;0.05523304;0.05851763;0.05579983;0.05178085;0.04960959;0.04640822;0.04681158;0.04532233
18;5;1;-0.00387567;-0.003137383;-0.00645401;-0.00595796;-0.005675711;-0.005225897;-0.002697848;-0.0013528120000000001;-0.00204084;-0.004460296;-0.005419855;-0.00361951;-0.003382693;-0.004354116;-0.005264372;-0.006905279;-0.006306752;-0.004267935;-0.0034327109999999997;-0.002859852;-0.002734619;-0.0026213129999999997;-0.0027698590000000004;-0.0037579209999999996;-0.0034121840000000004;-0.001063431;-0.00032997809999999996;-0.004322582;-0.006754761;-0.0030428309999999997;-0.001410871;-0.006472660999999999;-0.01121194;-0.00901153;-0.004672499;-0.00334144;-0.001942179;-0.001223819;-0.0021399229999999997;-0.004973465;-0.008823385;-0.008846753;-0.01076944;-0.01561289;-0.01566451;-0.01723039;-0.02052372;-0.01459089;-0.004207929;0.0004344186;0.00164031;0.002966135;0.0007738355999999999;-0.005728254;-0.008857702;-0.007437819;-0.009697158;-0.01218812;-0.007617528;-0.002285434;-0.002582561;-0.0061686630000000004;-0.008518529;-0.008115694;-0.005611756;-0.0038270759999999996;-0.005403328000000001;-0.008071625;-0.009937392;-0.01014403;-0.00906705;-0.008461558000000001;-0.007475145;-0.0075375680000000006;-0.008219292;-0.006637703000000001;-0.004857925;-0.0038011140000000004;-0.003700601;-0.00448356;-0.004435975;-0.004755504;-0.0041263509999999995;-0.003057873;-0.004810419;-0.007121528;-0.009342803;-0.009529084;-0.008153476;-0.009021018;-0.006333799;-0.002978025;-0.004920907;-0.0058951459999999995;-0.006437345;-0.00819594;-0.01076416;-0.01399862;-0.01217017;-0.007878635;-0.004600268;-0.0009904250999999999;-0.0022778670000000003;-0.00570426;-0.005510064;-0.005933159;-0.00609326;-0.0058074369999999995;-0.007069166;-0.007705804;-0.01026135;-0.01125214;-0.009298624;-0.009782081;-0.008610434;-0.007244115;-0.007971388000000001;-0.008141634;-0.009481011999999999;-0.00916966;-0.00757847;-0.006136381;-0.003351688;-0.001850106;-0.0016878120000000001;-0.002642897;-0.003046253;-0.0034610070000000003
22;5;1;-0.0013989710000000002;-0.0002235532;-0.002423139;-0.0046886440000000005;-0.007274745;-0.00437038;-0.0004949395;-0.001206778;0.001016377;0.001042618;-0.003141331;-0.003630905;-0.001957013;0.001951134;0.003978613;-0.0004944028;-0.004951307;-0.005513756999999999;-0.003249348;-0.00377046;-0.008081442;-0.009756219;-0.007909007;-0.002914579;0.001060428;0.0005344971;-0.0001085282;-0.002845362;-0.007809557;-0.007642813;-0.005042285;-0.0049120890000000006;-0.003462185;-0.0025223;-0.004386981;-0.00411677;-0.004640619;-0.005851188;-0.0031376159999999998;-0.002123753;-0.00244944;-0.0014160239999999999;-0.001807791;-0.001314759;-0.0005642686;-0.002040667;-0.005993909;-0.01086651;-0.009474161;-0.004890131;-0.00463157;-0.003954525;-0.00256056;-0.001563827;-0.0007482146000000001;-0.004319165;-0.00546512;-0.003870503;-0.004468148;0.00010710030000000001;0.0018833460000000002;-0.003390529;-0.003212462;-0.00174726;-0.0019919770000000002;-0.001307312;-0.002893282;-0.003203115;-0.003184087;-0.004237834;-0.002933587;-0.0009582853999999999;0.0015998260000000002;0.0027547440000000004;0.003325625;0.004562018;0.0004993981;-0.002531859;0.001364287;0.003831162;0.0027117879999999997;0.002898955;0.004584996;0.004054925;0.003312598;0.004546144;0.005684719;0.006323743000000001;0.002103226;-0.003071044;-0.000985281;0.00017870990000000002;-0.00170184;-0.0007524261;-0.0009338158999999999;-0.001997665;-0.0005383438;0.001988199;0.004662554;0.0051840259999999996;0.005219139;0.006050461;0.0013226070000000002;-0.003837042;-0.0030491259999999997;-0.002889043;-0.002304299;0.001015837;0.004708384;0.006360597;0.002727825;0.0003813335;0.0018164670000000002;0.004261808;0.007734328;0.005714922;0.0029750429999999997;0.004782674000000001;0.0029183909999999998;0.0007143882000000001;0.002024722;0.001978521;0.0013310420000000002;0.00250292;0.004448989;0.004226619;0.002939776;0.003359074
26;5;1;0.001333867;-0.0003959606;0.0006631791;-9.860144e-05;-0.005277165;-0.009147393;-0.009841199;-0.007957641;-0.00498576;-0.0011733689999999998;-0.0005292811;-0.0055151209999999996;-0.006902293;-0.005217165;-0.003232976;0.0003905106;-0.001120447;-0.00324461;-0.0027808570000000003;-0.003642409;-0.00346406;-0.006144040999999999;-0.008567422;-0.0042002129999999995;-0.0007914117;-0.0031838609999999996;-0.004181762;0.0016216720000000002;0.00488564;-0.001149623;-0.007242798000000001;-0.007338171;-0.0056118109999999995;-0.0018231929999999999;0.004327087;0.001809324;-0.003278512;0.0009418913;0.002299317;0.0024144870000000003;0.004644191;0.0003609503;-0.0012203239999999998;0.0001323917;0.001566451;0.008178333000000001;0.0104444;0.00742897;0.006680255;0.00733852;0.006991964;0.005408629;0.00498979;0.0037511909999999996;0.002031146;0.002994257;0.00448677;0.004796913;0.0017550929999999999;-0.001791808;-0.0004948408;0.001642803;0.002196029;0.004283078;0.00555978;0.002064232;-0.002738307;-0.002561027;0.0034593479999999997;0.0070607740000000006;0.000768951;-0.0057515840000000006;-0.0030112240000000003;-0.001535921;-0.004159624000000001;-0.000204996;0.006507959000000001;0.009070106999999999;0.0057575180000000005;0.0001036775;0.001678559;4.286143e-05;-0.006003591;-0.000539172;0.003311205;-0.00035328730000000003;-0.0005357445;-0.000437716;0.000270359;0.00043866550000000004;-0.001046544;0.0001388075;-0.0002510425;-0.0020912870000000003;-0.002476108;-0.0032142940000000004;-0.003071813;-0.002249298;9.998815e-05;0.003436115;0.0030125459999999996;0.001231826;-0.0008680204;-0.00297394;-5.2437049999999996e-05;0.0005710406;-0.002422288;-0.0006558407000000001;-0.0010568980000000001;-0.00116524;0.002312423;0.000190273;0.0005704559;0.0040462829999999995;0.003485624;0.001826097;-0.002349075;-0.002465286;-0.0017217110000000001;-0.004287593;-8.162841e-05;0.0001487158;-0.004397455;-0.0031302509999999997;-0.003057793;-0.001648289;0.00196835;0.003051607
28;4;1;-0.1199051;-0.119436;-0.1155251;-0.1117097;-0.1051332;-0.1001955;-0.09979312;-0.0997834;-0.09944562;-0.09924835;-0.09657545;-0.09144226;-0.09027102;-0.09422583;-0.09646488;-0.09568645;-0.0963494;-0.0991124;-0.0994567;-0.09995318;-0.1029779;-0.1013615;-0.09736846;-0.09592735;-0.0947864;-0.0943925;-0.09544507;-0.09668168;-0.09447024;-0.09036353;-0.08961643;-0.0922678;-0.09690729;-0.09784806;-0.09549157;-0.09522396;-0.09309071;-0.09022569;-0.09003928;-0.08963966;-0.0884362;-0.08675889;-0.08592561;-0.08663134;-0.08733422;-0.08566771;-0.07977873;-0.0754135;-0.07800876;-0.08042161;-0.07846226;-0.07998735;-0.08231055;-0.07687862;-0.07207394;-0.07326536;-0.07424376;-0.07704799;-0.08256213;-0.08273864;-0.07999337;-0.08136982;-0.08218273;-0.08171389;-0.08078861;-0.07699499;-0.07691047;-0.07836188;-0.07723382;-0.07698127;-0.07301643;-0.07030691;-0.07528432;-0.07984003;-0.07846552;-0.07094911;-0.06507675;-0.06732429;-0.07111055;-0.07128981;-0.07012645;-0.06930092;-0.06803198;-0.06638762;-0.0632108;-0.06012528;-0.06097934;-0.06317749;-0.06335704;-0.06011951;-0.05616277;-0.05380083;-0.05103929;-0.05158453;-0.05351653;-0.05375503;-0.05757907;-0.05906456;-0.05568009;-0.0540832;-0.05195435;-0.051567;-0.05333017;-0.0521813;-0.05240788;-0.05192419;-0.04898746;-0.04846921;-0.04682879;-0.04540761;-0.04724247;-0.04908528;-0.04834061;-0.04368195;-0.0425088;-0.04623013;-0.04721433;-0.04736736;-0.04737702;-0.04651329;-0.0464006;-0.04551611;-0.04400698;-0.03876498;-0.03109279;-0.03048957;-0.03611222;-0.04091758
32;4;1;-0.1482116;-0.01833013;-8.215198000000001e-05;-0.04757201;-0.07931905;-0.09323585;-0.04207196;-0.0171895;-0.03470897;-0.04881394;-0.0687361;-0.07359969;-0.06789897;-0.009210274000000001;0.09100489;0.1375858;0.1106088;0.08068182;0.1071995;0.1547479;0.2338991;0.2714462;0.1950067;0.1586764;0.159501;0.1451346;0.1525157;0.1213784;0.07585261;0.04679382;0.03473871;0.02742667;-0.0167615;-0.03228165;-0.03908977;-0.07331819;-0.07679474;-0.0721188;-0.06959821;-0.07641775;-0.09922953;-0.1227838;-0.1532963;-0.1454064;-0.0996462;-0.05226018;-0.0299784;-0.05702902;-0.0758568;-0.09822495;-0.1391343;-0.1270139;-0.1149064;-0.1361686;-0.1444494;-0.1728562;-0.1983637;-0.1764923;-0.1459147;-0.1136376;-0.1009429;-0.1268794;-0.1361399;-0.1337361;-0.1373512;-0.1223119;-0.09707434;-0.05814356;-0.04143468;-0.06343682;-0.0608617;-0.05501078;-0.05776612;-0.04333617;-0.04662931;-0.04791927;-0.03595584;-0.03809097;-0.0345062;-0.02752843;-0.0194365;-0.008979519;-0.02440209;-0.05196455;-0.05936603;-0.05204443;-0.04937649;-0.05228754;-0.05043146;-0.04458505;-0.03529621;-0.027802;-0.03269584;-0.04095143;-0.04737355;-0.05396206;-0.04604906;-0.03270206;-0.03538363;-0.04336191;-0.04957719;-0.0507407;-0.04552903;-0.04779823;-0.05255093;-0.05496316;-0.05668106;-0.05674636;-0.06372821;-0.06456893;-0.0539468;-0.04381109;-0.03182609;-0.02983985;-0.03568422;-0.03489348;-0.03485944;-0.0342482;-0.03348283;-0.03458763;-0.0338765;-0.03406856;-0.03173629;-0.03140402;-0.03556259;-0.03636782;-0.03576484;-0.03333171
36;4;1;-0.007427803;-0.005242244;-0.006558296;-0.006858096;-0.008159739000000001;-0.008190557;-0.01186061;-0.01513362;-0.01025596;-0.007506024;-0.008489653;-0.00839699;-0.008591138;-0.008775851999999999;-0.008918104;-0.009156635;-0.01050458;-0.01182102;-0.01240403;-0.01371167;-0.01077936;0.0026740609999999997;0.01453529;0.0005700633;-0.01745321;-0.007336016999999999;-0.00253221;-0.01103006;-0.005721306;-0.003599245;-0.0037516629999999997;0.0007467742;-0.004035955;-0.008201650999999999;-0.01199306;-0.0130925;-0.007481675;-0.009408975;-0.00747936;-0.00149268;-0.001666259;-5.139575e-05;-0.0004329252;0.0007867680000000001;0.002502817;-0.002028223;-0.003850829;-0.0031676459999999997;-0.00021124029999999998;0.002457405;0.001180942;0.0016237860000000001;0.0016579729999999999;0.002321057;0.005368025;0.005599364;-0.0029325270000000003;-0.01317455;-0.006737;0.0016544079999999998;-0.0015174329999999999;0.002702049;0.01082751;0.01140752;0.0069546669999999994;0.0021470729999999998;0.006796005999999999;0.01149111;0.007264395999999999;0.0066567580000000005;0.007310929;0.004065663;0.0002609105;-0.006073065;-0.007774431;-0.002053548;0.0020135120000000003;0.003623854;0.003052579;0.0006431674;0.0003074791;0.00014221440000000002;-0.001435224;-0.0016751539999999999;0.003478925;0.01131342;0.01101842;0.006457841;0.0052866219999999995;0.004129112;0.006972862;0.01117857;0.01025267;0.01054266;0.008995396999999999;0.0040163;0.00376941;0.004253344;0.00313463;0.003598016;0.001448955;-0.002158432;8.146056e-06;0.0108277;0.02285444;0.02062952;0.008891486;0.004481405999999999;0.0044051820000000005;0.00402247;0.004061419;0.004543035999999999;0.008791628000000001;0.01063332;0.0038312159999999997;-0.005586267;-0.007086899;-0.000316596;0.002965104;0.003305898;0.00513665;0.005071079;0.003798748;0.001253708;-0.001443395;-0.0014138870000000002;-0.0002781593;-0.000798488
