;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
4;5;1;1.019952;1.019616;1.020933;1.023061;1.022242;1.020867;1.021939;1.0223;1.022302;1.022254;1.021854;1.02155;1.0204520000000001;1.020845;1.022117;1.02201;1.0213450000000002;1.019568;1.018964;1.019953;1.020229;1.0210549999999998;1.0210709999999998;1.020661;1.021936;1.022134;1.0204090000000001;1.018856;1.0193969999999999;1.0208270000000002;1.020824;1.020529;1.0191059999999998;1.017155;1.01749;1.018337;1.018905;1.018994;1.01826;1.018166;1.018076;1.0190540000000001;1.020879;1.020772;1.019931;1.019357;1.020142;1.021285;1.0196399999999999;1.018241;1.0188620000000002;1.019617;1.019715;1.019507;1.021295;1.022934;1.022183;1.0216370000000001;1.020598;1.018887;1.019161;1.019916;1.0196020000000001;1.020735;1.0212780000000001;1.0188780000000002;1.019219;1.021986;1.022246;1.02124;1.019609;1.0189469999999998;1.019762;1.019384;1.019324;1.019633;1.019283;1.019523;1.020173;1.022936;1.026194;1.025169;1.022234;1.01841;1.0136450000000001;1.014617;1.0178639999999999;1.017225;1.019428;1.022263;1.021587;1.020767;1.0178049999999998;1.017798;1.021836;1.0233780000000001;1.024073;1.022197;1.020102;1.0212459999999999;1.022246;1.022881;1.021635;1.020924;1.019791;1.01609;1.016643;1.018899;1.020067;1.021257;1.020614;1.019587;1.0173370000000002;1.016364;1.0187709999999999;1.020942;1.021323;1.020792;1.0226870000000001;1.02367;1.019899;1.0173809999999999;1.020389;1.023884;1.0217530000000001;1.019425;1.0188959999999998;1.016787
8;5;1;1.026736;1.023176;1.02186;1.020367;1.0213729999999999;1.023305;1.021698;1.022153;1.022636;1.021395;1.0207549999999999;1.018996;1.019993;1.0217690000000001;1.020489;1.0210540000000001;1.022932;1.023723;1.023038;1.0206680000000001;1.017759;1.014837;1.0170290000000002;1.021478;1.019325;1.018399;1.020553;1.018936;1.019081;1.019148;1.0171629999999998;1.0183010000000001;1.0184540000000002;1.0190860000000002;1.022756;1.024152;1.02286;1.021539;1.0219260000000001;1.020828;1.018435;1.019487;1.019893;1.0189979999999998;1.0196610000000002;1.019461;1.0193020000000002;1.01978;1.020237;1.0209540000000001;1.0200770000000001;1.0185540000000002;1.017701;1.016524;1.017306;1.019716;1.019323;1.0173510000000001;1.01671;1.01814;1.02037;1.019584;1.0187899999999999;1.019997;1.019289;1.019233;1.019822;1.019299;1.020475;1.020996;1.0198459999999998;1.019367;1.020357;1.022286;1.022278;1.021153;1.020673;1.020645;1.021089;1.020556;1.019839;1.0197399999999999;1.02093;1.023064;1.0223719999999998;1.0216370000000001;1.022514;1.021025;1.019498;1.019352;1.019667;1.0214290000000001;1.022677;1.0221959999999999;1.021249;1.0215020000000001;1.0225520000000001;1.021966;1.01988;1.01722;1.016617;1.020583;1.024263;1.02278;1.019566;1.019212;1.020475;1.021108;1.0205870000000001;1.018627;1.0169190000000001;1.017141;1.018809;1.0206680000000001;1.023582;1.02593;1.02284;1.019177;1.019385;1.0197260000000001;1.021275;1.022888;1.02237;1.022934;1.023982;1.0240989999999999;1.0251350000000001;1.027036
10;5;1;1.0254729999999999;1.019491;1.015506;1.0184520000000001;1.024693;1.0256100000000001;1.0227;1.022235;1.023739;1.025894;1.023959;1.0179690000000001;1.01388;1.013391;1.0152139999999998;1.0162149999999999;1.021132;1.026166;1.0229780000000002;1.023444;1.027358;1.027447;1.0266030000000002;1.023803;1.023801;1.0243149999999999;1.022278;1.022375;1.0203879999999999;1.020063;1.021539;1.0175239999999999;1.013031;1.0116100000000001;1.018623;1.02821;1.025535;1.02326;1.027313;1.0258450000000001;1.022879;1.0202440000000002;1.018097;1.0200209999999998;1.019525;1.01789;1.018561;1.018752;1.021253;1.0241280000000001;1.025298;1.025407;1.023292;1.022227;1.02025;1.0175319999999999;1.018646;1.020794;1.022905;1.0227540000000002;1.0210059999999999;1.020917;1.0189780000000002;1.018788;1.020709;1.020728;1.022704;1.022694;1.020416;1.0216129999999999;1.023455;1.025244;1.023925;1.02034;1.020684;1.018993;1.0157399999999999;1.0157450000000001;1.016651;1.019938;1.021153;1.020318;1.022209;1.021228;1.019447;1.019458;1.019467;1.021617;1.022265;1.020469;1.018873;1.019398;1.021952;1.0225309999999999;1.0232290000000002;1.023935;1.022857;1.021136;1.0184799999999998;1.019117;1.020255;1.019201;1.021377;1.0229840000000001;1.022081;1.0217459999999998;1.020504;1.018777;1.018234;1.018429;1.0186819999999999;1.020081;1.021598;1.022055;1.0216530000000001;1.019333;1.018934;1.020357;1.020879;1.0224739999999999;1.020838;1.0181639999999998;1.019736;1.0199559999999999;1.019887;1.021387;1.020704;1.0196450000000001
14;5;1;1.005814;1.006548;1.003347;1.0021360000000001;0.9974581;1.001599;1.0065549999999999;1.002259;1.00016;1.0000950000000002;0.9996227;1.0009649999999999;1.003606;1.006615;1.007074;1.006325;1.007551;1.0081360000000001;1.008999;1.010597;1.008534;1.004979;1.0019559999999998;1.002656;1.0084959999999998;1.010667;1.010108;1.011752;1.0145879999999998;1.015949;1.0113889999999999;1.006077;1.0030459999999999;1.002666;1.0082440000000001;1.012824;1.013015;1.011139;1.0094299999999998;1.009221;1.009002;1.011783;1.013041;1.008938;1.005788;1.004846;1.005757;1.005857;1.005074;1.005918;1.006348;1.009875;1.013252;1.0082950000000002;1.0038479999999999;1.008202;1.011495;1.007515;1.0040069999999999;1.00239;1.003408;1.0107899999999999;1.015496;1.012337;1.008712;1.00952;1.0104959999999998;1.0088700000000002;1.009009;1.008574;1.008522;1.010732;1.009681;1.01005;1.011277;1.010125;1.0121879999999999;1.012545;1.008494;1.0059209999999998;1.006617;1.00768;1.0065629999999999;1.0068;1.007568;1.007413;1.0087959999999998;1.008523;1.008581;1.012292;1.013591;1.007973;1.001638;1.0039719999999999;1.008062;1.008254;1.011422;1.011617;1.008251;1.00847;1.008043;1.008332;1.008748;1.007735;1.0089620000000001;1.0091370000000002;1.009722;1.010297;1.009077;1.010053;1.009449;1.007562;1.006842;1.0067709999999999;1.0092379999999999;1.0101879999999999;1.009601;1.009799;1.009552;1.0100870000000002;1.010546;1.0111;1.010557;1.0091729999999999;1.01094;1.012528;1.012525;1.0123030000000002
18;5;1;1.01201;1.0130700000000001;1.011622;1.008409;1.0043360000000001;1.00334;1.006653;1.0075370000000001;1.006679;1.0077399999999999;1.01047;1.013625;1.012944;1.011582;1.0130370000000002;1.012553;1.011906;1.011868;1.00936;1.007517;1.0070780000000001;1.008721;1.0125;1.013098;1.011778;1.010823;1.009189;1.009818;1.0119790000000002;1.012246;1.01001;1.007644;1.009816;1.012451;1.010813;1.0105;1.010804;1.009097;1.0092729999999999;1.00837;1.006718;1.010471;1.014069;1.012535;1.011778;1.013028;1.012472;1.011996;1.011984;1.010641;1.010775;1.01065;1.00909;1.0100959999999999;1.011819;1.012544;1.011995;1.010415;1.010933;1.010634;1.00902;1.009817;1.009991;1.0094;1.009916;1.0096969999999998;1.009629;1.0089629999999998;1.00515;1.002174;1.005831;1.010413;1.0084879999999998;1.008497;1.012793;1.012815;1.0120069999999999;1.011917;1.0105469999999999;1.011543;1.013109;1.013794;1.0121879999999999;1.008241;1.007788;1.008519;1.0071139999999998;1.0058209999999999;1.0051700000000001;1.0061719999999998;1.008393;1.0106760000000001;1.01163;1.010768;1.010541;1.010975;1.011218;1.01025;1.009126;1.009951;1.009997;1.01035;1.0120209999999998;1.012465;1.012473;1.010988;1.010337;1.0119799999999999;1.01169;1.011364;1.010533;1.008804;1.010158;1.011121;1.011742;1.012925;1.010504;1.008909;1.009592;1.0080049999999998;1.006674;1.008529;1.0106979999999999;1.009932;1.009863;1.011025;1.009367;1.009425
22;5;1;1.0101440000000002;1.0105959999999998;1.011044;1.010543;1.009262;1.010648;1.0115299999999998;1.009616;1.007462;1.005517;1.0051709999999998;1.006357;1.008178;1.010468;1.010147;1.009025;1.010055;1.009858;1.0098799999999999;1.012736;1.0142309999999999;1.012139;1.0092780000000001;1.00968;1.012054;1.012546;1.0116379999999998;1.009952;1.010124;1.011799;1.010852;1.009965;1.009759;1.0093969999999999;1.010375;1.0114299999999998;1.012019;1.008481;1.003571;1.0056770000000002;1.0088540000000001;1.009802;1.011652;1.0095299999999998;1.0070290000000002;1.008938;1.009106;1.0081040000000001;1.0084879999999998;1.008973;1.009642;1.0098280000000002;1.011291;1.011673;1.009476;1.009318;1.008114;1.005742;1.005974;1.0070629999999998;1.008953;1.008424;1.005763;1.005666;1.006267;1.007601;1.009091;1.009688;1.010297;1.009334;1.0096;1.010213;1.009206;1.01016;1.010882;1.011759;1.012564;1.010998;1.010828;1.0097909999999999;1.008851;1.009915;1.006905;1.00473;1.00755;1.009121;1.008867;1.010641;1.013226;1.010891;1.007403;1.008617;1.009508;1.0099690000000001;1.0115610000000002;1.0112729999999999;1.010888;1.010815;1.009723;1.009021;1.008877;1.007408;1.006497;1.009098;1.010248;1.008593;1.008263;1.009462;1.0120120000000001;1.012725;1.010202;1.007364;1.006181;1.00756;1.008909;1.0099280000000002;1.009686;1.00614;1.003127;1.003019;1.007259;1.0115290000000001;1.0099790000000002;1.0099280000000002;1.012941;1.012392;1.010357;1.0097690000000001
26;5;1;1.011041;1.008621;1.010326;1.01176;1.0126870000000001;1.012625;1.009627;1.006729;1.00465;1.005868;1.0089620000000001;1.009808;1.0092510000000001;1.007711;1.008484;1.010584;1.0105709999999999;1.0116100000000001;1.01275;1.0127059999999999;1.0120850000000001;1.010471;1.009871;1.011126;1.0131729999999999;1.0119340000000001;1.0103469999999999;1.01344;1.014173;1.01167;1.0096;1.0082;1.0090649999999999;1.010839;1.013255;1.0127709999999999;1.0097049999999999;1.009926;1.010673;1.012157;1.013279;1.011586;1.010869;1.00937;1.009486;1.0123010000000001;1.012432;1.011584;1.009915;1.0091;1.010203;1.0095379999999998;1.0098129999999998;1.0108700000000002;1.011095;1.011249;1.0099420000000001;1.009836;1.011606;1.0126030000000001;1.011053;1.008648;1.009742;1.0103010000000001;1.009132;1.009998;1.0097969999999998;1.009439;1.010029;1.009708;1.010823;1.012384;1.012355;1.0107620000000002;1.0091709999999998;1.010716;1.012515;1.011844;1.011166;1.0099989999999999;1.007802;1.0079209999999998;1.0098799999999999;1.009676;1.008608;1.008312;1.008048;1.008564;1.009257;1.012546;1.0162280000000001;1.012062;1.007571;1.010166;1.01124;1.009679;1.009846;1.009627;1.009596;1.009654;1.0080360000000002;1.008616;1.0119719999999999;1.013075;1.010529;1.008783;1.010155;1.0108409999999999;1.0110270000000001;1.011305;1.009911;1.0095040000000002;1.010147;1.011452;1.012979;1.01152;1.009587;1.0095889999999998;1.009785;1.010094;1.011113;1.0112860000000001;1.00939;1.009069;1.010558;1.010458;1.010735;1.0098639999999999
28;4;1;0.9256148;0.9286822;0.9318461;0.9323784;0.9318425;0.9312789;0.9294211;0.9270672;0.9286819;0.9319282;0.9314977;0.9282974;0.9253317;0.9258697;0.9273355;0.9255636;0.9244003;0.9245327;0.9273334;0.9325468;0.9301455;0.9245892;0.9239178;0.9258844;0.9305557;0.9300747;0.926914;0.9298895;0.9295273;0.9269971;0.9264035;0.9242862;0.9268209;0.9326644;0.9358822;0.9352361;0.9327435;0.9334815;0.9336071;0.9327889;0.9336647;0.9316835;0.9288573;0.9270486;0.9267196;0.9286857;0.9294077;0.9302951;0.9308357;0.9301238;0.9295665;0.926932;0.9260766;0.9283882;0.9297057;0.9292312;0.9275973;0.9268686;0.9263205;0.9275332;0.9312305;0.9321599;0.9303032;0.9283487;0.9289349;0.9297154;0.9275199;0.9267255;0.9263129;0.9260095;0.926893;0.9260877;0.9261826;0.9261376;0.9265039;0.9304567;0.9325093;0.932701;0.9333237;0.9312631;0.9280156;0.927319;0.9288873;0.9295643;0.9292366;0.9299948;0.9300115;0.9261816;0.9230763;0.9285748;0.9346583;0.9317486;0.9297432;0.9314112;0.9301548;0.9301578;0.9302459;0.9283439;0.9294749;0.9304007;0.9300006;0.9290488;0.9261867;0.9264486;0.9271905;0.9260014;0.9279754;0.9284521;0.9261052;0.9263029;0.9262385;0.9243525;0.9237921;0.9262036;0.9296342;0.9286563;0.9258526;0.9267711;0.9283339;0.9292867;0.9287412;0.9272728;0.9296986;0.9314896;0.9295458;0.9269009;0.9244171;0.926267
32;4;1;0.791946;0.8516093;0.8441189;0.803984;0.7901217;0.8057328;0.8343014;0.8524711;0.863091;0.8571776;0.8260138;0.8164652;0.8339383;0.8574377;0.874014;0.8487889;0.8056898;0.7878997;0.8023935;0.8261406;0.8177763;0.7906339;0.7608973;0.747371;0.7666948;0.7713694;0.7676095;0.7636279;0.7335827;0.7132586;0.705209;0.7075164;0.7219236;0.7181341;0.7264331;0.7415759;0.7374748;0.7490573;0.7671012;0.7719264;0.7634516;0.7521111;0.7643231;0.7801468;0.7866777;0.7873457;0.768578;0.7515247;0.7504976;0.7523516;0.7533446;0.7566473;0.761096;0.7536572;0.7409619;0.7389059;0.7508273;0.7756605;0.7878979;0.7787361;0.7720674;0.7723684;0.7735264;0.7771575;0.7827733;0.7854019;0.7856816;0.7849668;0.7786674;0.7719811;0.7723207;0.7741417;0.7715772;0.7714227;0.774023;0.7748094;0.7809285;0.7853063;0.7839298;0.7847569;0.7806671;0.7748599;0.7717698;0.7676861;0.7678894;0.769691;0.7715372;0.7752625;0.7772036;0.7784045;0.778828;0.7781287;0.7751283;0.7709299;0.7738053;0.7788033;0.7786267;0.7790285;0.7783896;0.7751554;0.7748309;0.7761203;0.7775649;0.7782648;0.7773009;0.7769396;0.7764137;0.7769777;0.778446;0.7778474;0.7787906;0.7815221;0.7815192;0.7775217;0.7739241;0.7772874;0.7812585;0.7795149;0.7790943;0.7789236;0.7767622;0.7780968;0.7791863;0.7789537;0.7805825;0.7805962;0.780303;0.7798872
36;4;1;0.7792068;0.779341;0.7787623;0.7784109;0.777508;0.7775601;0.7781284;0.7775736;0.7777595;0.7775889;0.7757975;0.7745761;0.7747741;0.7751607;0.7740157;0.7733379;0.7746735;0.7752928;0.7755501;0.7779312;0.7814295;0.7811247;0.7778962;0.7780294;0.7784521;0.7779851;0.779594;0.778515;0.7768943;0.7783417;0.7787341;0.7791631;0.7795547;0.7786116;0.7785821;0.778698;0.7799821;0.7811832;0.7793586;0.7788918;0.7805136;0.7814342;0.781624;0.7811144;0.7819298;0.7821374;0.7796918;0.7787127;0.7790038;0.7783538;0.7780772;0.7802147;0.7830879;0.7817975;0.7793855;0.7792048;0.7788438;0.779313;0.7795346;0.7793289;0.7797116;0.7786795;0.7785671;0.7771719;0.7741638;0.775717;0.7780194;0.7792037;0.7789426;0.775775;0.7761727;0.7773414;0.7775392;0.7806522;0.7820179;0.783101;0.7823248;0.7781921;0.7794776;0.782537;0.7827881;0.7800709;0.7742754;0.7746274;0.7787438;0.779744;0.7809621;0.7804014;0.7787144;0.7793407;0.7811093;0.7822342;0.7801546;0.7783172;0.779253;0.7794173;0.778988;0.7791515;0.7791108;0.7781806;0.7774898;0.7779622;0.7787383;0.779429;0.7786974;0.7763076;0.7748473;0.7773198;0.7805853;0.7785132;0.774801;0.7732096;0.7731562;0.7751062;0.7752731;0.7746086;0.7759089;0.7774741;0.7799417;0.7795612;0.7773219;0.7780626;0.7775413;0.7766343;0.7765452;0.7757241;0.7758611;0.7745494
