;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
4;5;1;-0.1287306;-0.1278461;-0.12823;-0.1298541;-0.1327524;-0.1339906;-0.1311592;-0.1299701;-0.1318892;-0.1332979;-0.1345662;-0.1345454;-0.1327403;-0.1305122;-0.1299787;-0.1310084;-0.1304504;-0.1309109;-0.1335309;-0.134933;-0.1333701;-0.1308107;-0.1317208;-0.1317594;-0.1295996;-0.1307231;-0.1309249;-0.130051;-0.1323367;-0.1376059;-0.1435455;-0.1415072;-0.1359702;-0.1356582;-0.1323452;-0.1286947;-0.129707;-0.1296935;-0.1313971;-0.1338985;-0.1356536;-0.1372654;-0.1353187;-0.1344627;-0.1325045;-0.1288813;-0.1308347;-0.1311539;-0.1297853;-0.1308924;-0.1293406;-0.1280308;-0.1283974;-0.1283714;-0.1278936;-0.1276289;-0.1298882;-0.1308192;-0.1284513;-0.126481;-0.1275068;-0.1319863;-0.1345073;-0.1333157;-0.1327355;-0.1326756;-0.131761;-0.1319502;-0.134115;-0.1344598;-0.1311532;-0.1281725;-0.1295836;-0.1317978;-0.1301619;-0.1301412;-0.1316379;-0.1317867;-0.1342005;-0.1346883;-0.1341317;-0.1347348;-0.1306302;-0.1270172;-0.1273701;-0.1273091;-0.1274314;-0.1296548;-0.1326851;-0.1330224;-0.132084;-0.128511;-0.1229166;-0.1249864;-0.1295362;-0.1303909;-0.1305909;-0.1260802;-0.1231668;-0.1262211;-0.1268935;-0.1277444;-0.1289315;-0.1284659;-0.1295346;-0.1277364;-0.1266287;-0.1288373;-0.1274818;-0.1284242;-0.1338588;-0.1368123;-0.1344476;-0.1276174;-0.1240074;-0.1232476;-0.122098;-0.1226953;-0.1218514;-0.1220874;-0.1233369;-0.124236;-0.1276007;-0.1267521;-0.1248237;-0.1245585;-0.1214556;-0.123494
8;5;1;-0.1508084;-0.1495573;-0.1441922;-0.1439265;-0.1420675;-0.1371993;-0.1368006;-0.1427302;-0.1495131;-0.1440441;-0.1375944;-0.1411849;-0.1406597;-0.1393835;-0.1410746;-0.1398758;-0.1402652;-0.1402023;-0.138135;-0.1375858;-0.1389575;-0.1411977;-0.1404289;-0.1397909;-0.1420907;-0.1435559;-0.1449044;-0.1455204;-0.147395;-0.150936;-0.1475942;-0.1429756;-0.144636;-0.1448829;-0.1439115;-0.1447761;-0.1440279;-0.1419849;-0.1382919;-0.1345144;-0.1346973;-0.1374591;-0.1415534;-0.144364;-0.1430633;-0.1411873;-0.1372998;-0.1318656;-0.1352211;-0.1407973;-0.1371371;-0.1337564;-0.1336311;-0.1334434;-0.1355881;-0.1347079;-0.1332084;-0.1344091;-0.1327017;-0.1316008;-0.1324194;-0.1345625;-0.1370743;-0.1351569;-0.1343615;-0.1368448;-0.1378271;-0.1364286;-0.1336307;-0.1329225;-0.1334015;-0.1329982;-0.1316229;-0.1307386;-0.1349475;-0.1389019;-0.1359318;-0.1332384;-0.1350833;-0.1352253;-0.1340301;-0.1351119;-0.135311;-0.1368622;-0.1392355;-0.1372785;-0.1366139;-0.1371326;-0.1346817;-0.1342002;-0.1354846;-0.1372655;-0.1424436;-0.1452771;-0.1399752;-0.1348094;-0.1343764;-0.1307789;-0.1272049;-0.1298506;-0.1328447;-0.1407934;-0.1520718;-0.1488794;-0.1401926;-0.1384521;-0.1360577;-0.1355849;-0.1352365;-0.1337373;-0.1379883;-0.1407599;-0.1420509;-0.1436789;-0.14311;-0.1440494;-0.1382577;-0.1311455;-0.1341974;-0.136168;-0.1360271;-0.1379848;-0.1386169;-0.1406263;-0.1434727;-0.140222;-0.1352114;-0.137993
10;5;1;-0.1416741;-0.1458623;-0.1511128;-0.1417079;-0.1296369;-0.1333071;-0.1428482;-0.1490614;-0.1436716;-0.1290586;-0.1219308;-0.1231212;-0.1256091;-0.1282016;-0.1331546;-0.1385105;-0.1370421;-0.1358616;-0.1389018;-0.1387655;-0.1383109;-0.1343107;-0.1248722;-0.1191788;-0.1184379;-0.1198457;-0.1187403;-0.1191027;-0.1284056;-0.13571;-0.1316126;-0.1274859;-0.1349903;-0.1397203;-0.1329384;-0.1308424;-0.1344606;-0.1368473;-0.1366205;-0.1337244;-0.1318295;-0.1280978;-0.1259594;-0.1260074;-0.1225498;-0.1233867;-0.1268501;-0.1286992;-0.1337923;-0.1371924;-0.136862;-0.1343127;-0.1294664;-0.125784;-0.1212887;-0.1189347;-0.1223993;-0.1241663;-0.1280073;-0.1367354;-0.1397633;-0.1361446;-0.1301731;-0.1273727;-0.1273855;-0.1257962;-0.1287001;-0.1320567;-0.1318489;-0.1329653;-0.1343542;-0.1376889;-0.1374183;-0.1338175;-0.1344246;-0.1321616;-0.1293866;-0.1306764;-0.1308048;-0.1304382;-0.1304634;-0.1310555;-0.1323134;-0.1337431;-0.1337798;-0.1330652;-0.1350545;-0.1346623;-0.1306264;-0.1290735;-0.1298015;-0.1302645;-0.1301608;-0.1324492;-0.1353246;-0.1345892;-0.1325213;-0.1279284;-0.1238283;-0.1283634;-0.1337142;-0.1322808;-0.1329406;-0.1360193;-0.1348214;-0.135025;-0.1370054;-0.135731;-0.1349648;-0.1348126;-0.1343617;-0.1350083;-0.1346809;-0.1340223;-0.1322737;-0.1297478;-0.1311699;-0.1323793;-0.1289342;-0.1267465;-0.1278463;-0.1288429;-0.1310908;-0.1342545;-0.1328444;-0.1296054;-0.1297571;-0.1292091
14;5;1;-0.2470505;-0.2507073;-0.2594846;-0.263405;-0.2633062;-0.2653898;-0.2649107;-0.2631354;-0.2591204;-0.2572489;-0.2595957;-0.2635568;-0.2701364;-0.270837;-0.2616982;-0.252889;-0.2528865;-0.2554874;-0.2537439;-0.253803;-0.2544551;-0.2518973;-0.2511477;-0.252254;-0.2527882;-0.2506323;-0.246367;-0.2456169;-0.2486104;-0.2495813;-0.2429006;-0.2350935;-0.236857;-0.2392484;-0.2382952;-0.2445413;-0.252555;-0.2548514;-0.2553128;-0.2554766;-0.2557394;-0.2552077;-0.253364;-0.2516186;-0.2500336;-0.2480786;-0.2449502;-0.2458635;-0.2515009;-0.2536041;-0.2533756;-0.2542681;-0.2557446;-0.2546739;-0.2494643;-0.2476978;-0.2491336;-0.2502253;-0.2512143;-0.2496602;-0.249632;-0.2508829;-0.2514263;-0.2534452;-0.2528722;-0.2513164;-0.2514933;-0.2513984;-0.2519909;-0.2513408;-0.2492376;-0.2488043;-0.24828;-0.2456279;-0.2442394;-0.2471528;-0.2506941;-0.2504456;-0.24937;-0.250299;-0.2504679;-0.2514466;-0.2532936;-0.2510561;-0.2489719;-0.2500237;-0.2493694;-0.2485915;-0.2514607;-0.2545866;-0.2532891;-0.2502278;-0.2495821;-0.2500374;-0.2499513;-0.2490379;-0.2482853;-0.2491548;-0.2515865;-0.2544028;-0.2547765;-0.2538515;-0.2551367;-0.2555206;-0.2525134;-0.2496407;-0.2495136;-0.2504264;-0.2495928;-0.2479749;-0.246973;-0.2468406;-0.2474365;-0.2462887;-0.2452775;-0.246097;-0.2456338;-0.2450045;-0.2452327;-0.2460155;-0.2471527;-0.2469734;-0.2462711;-0.2447191;-0.2438334;-0.2448095;-0.2442284;-0.2430098
18;5;1;-0.2449566;-0.2440133;-0.2449282;-0.2477232;-0.251024;-0.2517866;-0.2481568;-0.2453104;-0.2456729;-0.2458185;-0.2447891;-0.2431431;-0.2427734;-0.2431785;-0.2430323;-0.2430743;-0.2430158;-0.243089;-0.2430622;-0.2433569;-0.2452823;-0.2480907;-0.2490489;-0.2462814;-0.2432328;-0.2430127;-0.2448368;-0.2465853;-0.2459106;-0.2448459;-0.2433373;-0.2398714;-0.2400712;-0.2437067;-0.2449856;-0.2445956;-0.2441848;-0.2444447;-0.2441474;-0.2414961;-0.2395777;-0.2400392;-0.2406906;-0.2409004;-0.2436098;-0.2472514;-0.2460877;-0.2449305;-0.2464912;-0.2453646;-0.2437505;-0.2429222;-0.2425511;-0.243544;-0.2434994;-0.2458124;-0.2502343;-0.250399;-0.2485683;-0.2473207;-0.2460191;-0.2452612;-0.2443778;-0.2440624;-0.2446682;-0.2448909;-0.2456438;-0.2464897;-0.245569;-0.245544;-0.2459944;-0.2436924;-0.2425079;-0.2427893;-0.2412821;-0.2396376;-0.2390321;-0.2399881;-0.2431286;-0.2471188;-0.2465423;-0.2435173;-0.2450422;-0.2455432;-0.2461332;-0.2502754;-0.2514682;-0.2497387;-0.245563;-0.2433606;-0.2452216;-0.2460685;-0.2480111;-0.2480769;-0.2465366;-0.2462278;-0.24302;-0.2398682;-0.2382996;-0.2398395;-0.2434922;-0.244858;-0.2465409;-0.2458487;-0.2442566;-0.2453476;-0.2469041;-0.2504359;-0.2508331;-0.2490506;-0.2503134;-0.2491473;-0.2481465;-0.2498275;-0.2498349;-0.2481095;-0.2456507;-0.2451784;-0.2457419;-0.2454116;-0.2461862;-0.2464543;-0.247749;-0.2492606;-0.2455834;-0.2435225;-0.2470013;-0.2496736
22;5;1;-0.2410148;-0.2418705;-0.2448578;-0.2463824;-0.2483205;-0.250397;-0.2462286;-0.2409035;-0.2411662;-0.2422378;-0.2414161;-0.2416114;-0.2411549;-0.2379002;-0.2368993;-0.2446346;-0.2523957;-0.2452345;-0.2368059;-0.2408822;-0.2414526;-0.239137;-0.2433104;-0.2455289;-0.2469177;-0.2480313;-0.2465831;-0.2469166;-0.244703;-0.2418486;-0.2427895;-0.2416241;-0.2405456;-0.2454476;-0.2504006;-0.247205;-0.2439044;-0.2465968;-0.2461689;-0.2450448;-0.2466724;-0.246652;-0.2484232;-0.2502436;-0.2498103;-0.2498563;-0.2479573;-0.245668;-0.2455807;-0.2457399;-0.2450578;-0.2443691;-0.2461856;-0.2484061;-0.2486086;-0.2484481;-0.2467874;-0.2447518;-0.2449664;-0.2470785;-0.2501953;-0.2493684;-0.244679;-0.2428883;-0.2429379;-0.243503;-0.2460111;-0.2477874;-0.2479647;-0.2479983;-0.2480832;-0.2464944;-0.246467;-0.2493169;-0.2488678;-0.2492258;-0.2491258;-0.2443051;-0.2452082;-0.2469635;-0.244216;-0.2452503;-0.2463291;-0.2461952;-0.2487518;-0.2516327;-0.2515417;-0.2481402;-0.2464723;-0.2468751;-0.2456224;-0.2445957;-0.2478229;-0.2525687;-0.2516723;-0.2486682;-0.2459057;-0.2421825;-0.2463676;-0.2528633;-0.2514629;-0.2509892;-0.2524828;-0.2509435;-0.2496182;-0.2497072;-0.2503176;-0.2500093;-0.2490009;-0.2467514;-0.2426591;-0.2412643;-0.2405273;-0.2407103;-0.2482325;-0.2544247;-0.252008;-0.2477242;-0.2446754;-0.2426353;-0.2447797;-0.2498929;-0.2507732;-0.2487961;-0.2464945;-0.2423601;-0.2428518;-0.2473547
26;5;1;-0.2475216;-0.2446912;-0.2410582;-0.2386122;-0.2428538;-0.2481531;-0.2458225;-0.2447643;-0.2472347;-0.2483583;-0.2497032;-0.2471052;-0.2415185;-0.2428097;-0.2450936;-0.2432674;-0.241978;-0.2384673;-0.2369381;-0.2384886;-0.238335;-0.2418901;-0.2442341;-0.2416691;-0.2413334;-0.2421252;-0.2434927;-0.2446398;-0.2427473;-0.2405378;-0.2397188;-0.239059;-0.239397;-0.241994;-0.2430667;-0.2431206;-0.2453014;-0.246122;-0.2459397;-0.2452582;-0.2431171;-0.2420827;-0.2429476;-0.244675;-0.2444361;-0.2440191;-0.2440026;-0.2423666;-0.2430983;-0.2434494;-0.2423659;-0.2423667;-0.2403657;-0.2392525;-0.2379651;-0.2363509;-0.2421149;-0.2483702;-0.2462172;-0.2439917;-0.2450016;-0.2425894;-0.2420766;-0.2442949;-0.2424372;-0.2428468;-0.2437891;-0.2422763;-0.2435046;-0.2432516;-0.2435612;-0.2450656;-0.2428756;-0.24096;-0.2398333;-0.2401964;-0.2418885;-0.2422581;-0.2424466;-0.240046;-0.2368173;-0.2372216;-0.2430202;-0.2507422;-0.2493458;-0.2449206;-0.245998;-0.2439707;-0.2422295;-0.244454;-0.2440278;-0.2418227;-0.239437;-0.2399704;-0.2422817;-0.2422354;-0.2434355;-0.2437522;-0.2441802;-0.2465541;-0.2435628;-0.2392145;-0.2384547;-0.2390452;-0.2412531;-0.2429241;-0.2430493;-0.2410987;-0.2385387;-0.2387238;-0.2394183;-0.2405834;-0.2422691;-0.2418214;-0.2413074;-0.2416654;-0.2408347;-0.2401953;-0.2420773;-0.243809;-0.2427104;-0.2409383;-0.2401506;-0.2411152;-0.2429467;-0.2426499;-0.2418708;-0.2420571
28;4;1;0.1663663;0.1663854;0.1642254;0.1662132;0.1685361;0.1714601;0.1735642;0.1702727;0.1698808;0.1702874;0.1696609;0.1698826;0.1687815;0.1704601;0.1732397;0.175548;0.1759646;0.1735268;0.1734006;0.1714165;0.1702283;0.1724253;0.1695359;0.1682628;0.169808;0.1691205;0.1712745;0.1715394;0.1695818;0.1695187;0.1675584;0.167842;0.1706452;0.1709451;0.1702705;0.1672093;0.1645402;0.1678212;0.1708865;0.1693712;0.1688151;0.1696281;0.167379;0.1649565;0.165172;0.1655164;0.1661857;0.1669417;0.1667031;0.1665746;0.1666698;0.1667375;0.1666046;0.1673721;0.1703219;0.1730234;0.1718405;0.1697099;0.1709069;0.1698717;0.1658297;0.164778;0.1653181;0.1664;0.166638;0.164668;0.164198;0.1671884;0.1705382;0.1680478;0.1649925;0.1672646;0.1669884;0.1659913;0.1670507;0.1658955;0.1663505;0.1671542;0.1655795;0.1656826;0.1663635;0.1656404;0.1647995;0.1634389;0.1621406;0.1639559;0.1686362;0.1730909;0.1735924;0.1679667;0.1633205;0.1645499;0.1635922;0.1598397;0.1618079;0.1652998;0.1661691;0.1686593;0.1676862;0.1643842;0.1655563;0.1654344;0.1648347;0.1659567;0.1658329;0.1668228;0.1658945;0.163757;0.1648095;0.1657037;0.1662569;0.1668436;0.166702;0.1668403;0.1674627;0.1688079;0.1699024;0.1711001;0.1713031;0.1702998;0.1710129;0.1710289;0.1701122;0.1691702;0.16651;0.1660864;0.1671845;0.1664605
32;4;1;0.312793;0.3168016;0.316017;0.3112085;0.3064895;0.309223;0.3190357;0.3395819;0.3669774;0.3791091;0.3737003;0.3714193;0.3720978;0.3742176;0.3799343;0.3798774;0.3867132;0.4064802;0.4109999;0.3927716;0.3798555;0.393274;0.4178873;0.4353551;0.4448097;0.4383465;0.4273613;0.4264171;0.4290914;0.4476969;0.4702471;0.4684668;0.4591459;0.4518833;0.4400691;0.4350663;0.4424759;0.4455577;0.4347021;0.4248239;0.4216303;0.4204409;0.420699;0.4181841;0.4073277;0.3938289;0.3960163;0.4073738;0.4187588;0.4393619;0.4483995;0.4430271;0.4478855;0.4506872;0.4471832;0.4479425;0.4417789;0.4289609;0.4226084;0.4248481;0.4277785;0.4286223;0.4325222;0.4339003;0.4317013;0.4302747;0.4257271;0.4260828;0.4333574;0.4394988;0.4446132;0.4435844;0.4407974;0.4394943;0.4333764;0.4326064;0.4352777;0.4349374;0.4372828;0.4319163;0.4235446;0.4270189;0.4319386;0.4367984;0.4456201;0.4489616;0.4462084;0.44186;0.4374475;0.4356422;0.4331717;0.4275635;0.4267983;0.4319562;0.4347888;0.4367446;0.4378869;0.4344539;0.4320571;0.4315525;0.4308206;0.4331349;0.4366478;0.4369481;0.4357441;0.4351441;0.431838;0.4297252;0.4322279;0.4347175;0.438021;0.4360223;0.4310218;0.4347168;0.4357608;0.4326424;0.4337133;0.4328127;0.431393;0.430425;0.4298631;0.4316604;0.4320685;0.4336151;0.4340981;0.4324045;0.4336097;0.43259
36;4;1;0.438958;0.4366561;0.4344741;0.4327471;0.4317396;0.4313954;0.4303241;0.4322368;0.4341759;0.4320545;0.4306769;0.4319543;0.4349793;0.4380482;0.4378438;0.4364979;0.4350622;0.4325338;0.4328475;0.4341329;0.4325716;0.4314209;0.4304311;0.430121;0.4322154;0.4329937;0.4335599;0.4346201;0.4341722;0.4332577;0.4316704;0.4332771;0.4360859;0.4344048;0.4339605;0.434061;0.4338401;0.437734;0.4386265;0.436366;0.4366701;0.4345551;0.4302778;0.4290432;0.4314805;0.4346547;0.4335845;0.4325363;0.4349879;0.4348655;0.4342395;0.4342258;0.4327084;0.4339234;0.4363085;0.4374043;0.4354279;0.431769;0.4334579;0.4351266;0.4336137;0.4324894;0.4300531;0.4316937;0.4349594;0.4329041;0.432877;0.4343967;0.4346226;0.4367805;0.4363299;0.4344854;0.4349311;0.4340299;0.4319885;0.4303376;0.4317376;0.4345;0.4323457;0.431166;0.433484;0.4337879;0.4350551;0.4364107;0.43417;0.4316818;0.4320752;0.435006;0.4364713;0.4344853;0.4324361;0.4332008;0.4343134;0.4346378;0.4363534;0.4348511;0.4319357;0.4336406;0.4337647;0.4332617;0.4364284;0.4380289;0.4360849;0.4318741;0.4298097;0.4323634;0.4342538;0.4336837;0.4346594;0.4371998;0.4372023;0.4377985;0.4417308;0.4430884;0.4394254;0.4338607;0.4319304;0.433135;0.4348786;0.4384509;0.4363056;0.4318139;0.4338036;0.4336123;0.4326766;0.4339933;0.4329358;0.4333732
