;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
4;5;1;0.0808414;0.07912684;0.07829138;0.08406305;0.08944957;0.08930405;0.09046032;0.08898517;0.08799444;0.08816496;0.08428234;0.08217843;0.07869633;0.08222699;0.09207467;0.09071004;0.08943905;0.08990725;0.08475873;0.08210002;0.08282999;0.0833716;0.08116628;0.08155611;0.08296459;0.08172553;0.08590207;0.0888332;0.08674576;0.08469208;0.08264005;0.08415007;0.085247;0.0835779;0.08392508;0.08773506;0.09207862;0.09097123;0.08822138;0.08713036;0.08494207;0.08294387;0.07941934;0.07688773;0.08010541;0.08462501;0.08718603;0.08799834;0.08708227;0.08552785;0.08522969;0.08895445;0.09317888;0.09121262;0.08811196;0.08732186;0.08373844;0.0827008;0.08449026;0.08278491;0.08408426;0.08576054;0.08327454;0.08140418;0.07878516;0.08098401;0.08581952;0.08452033;0.08541258;0.08738365;0.08693078;0.08858837;0.08909786;0.09038661;0.09029783;0.08450735;0.08087192;0.08160151;0.08420486;0.08477148;0.08319102;0.08445544;0.08451391;0.08492865;0.08635853;0.08418038;0.08511177;0.08642056;0.08410816;0.08310888;0.08016301;0.07662198;0.07827945;0.08425404;0.08564798;0.08148957;0.08467484;0.08821116;0.08647065;0.08750284;0.08295305;0.07912545;0.08473824;0.08717847;0.08536979;0.08491139;0.09015359;0.09338777;0.08302154;0.07459499;0.07991183;0.08517682;0.08289455;0.08407489;0.08564776;0.08209955;0.08619578;0.08971486;0.08802763;0.09031209;0.08871301;0.08695664;0.08652167;0.08163972;0.07965219;0.08132876;0.08539719;0.08881566
8;5;1;0.07640137;0.08244215;0.08154024;0.07784658;0.07426736;0.07120461;0.07120263;0.07117411;0.07209255;0.0701243;0.0662862;0.06874041;0.07043117;0.07076005;0.0725077;0.07223797;0.074205;0.07570737;0.0744166;0.07326648;0.07214635;0.07546475;0.08050477;0.07926054;0.07362213;0.07024209;0.06950133;0.06909397;0.07103561;0.0709672;0.06943003;0.07357591;0.07683562;0.07768339;0.07817467;0.0744613;0.07268436;0.07372939;0.07269446;0.07196462;0.07226021;0.07384044;0.07656938;0.07849786;0.07797282;0.07602266;0.0755589;0.07478972;0.07463523;0.07555159;0.07483302;0.07587342;0.07679268;0.0752032;0.07481162;0.07491799;0.0751168;0.07467759;0.07302094;0.07191392;0.0722113;0.0740713;0.07404372;0.07339988;0.07531443;0.07591377;0.07628165;0.07840084;0.07822336;0.07710193;0.0780748;0.07796333;0.0762752;0.07278632;0.06787617;0.06953145;0.07267315;0.07091466;0.07499965;0.08015592;0.07845136;0.07907822;0.08171343;0.08189199;0.08069371;0.0769303;0.07326319;0.07414969;0.07760411;0.07882568;0.07775962;0.07433817;0.06925904;0.07073309;0.07424789;0.07139767;0.07120782;0.07188807;0.07307677;0.08239952;0.08334509;0.07430983;0.0717141;0.07186395;0.07255037;0.07331292;0.07236416;0.07251882;0.07255992;0.07579149;0.07857631;0.07407057;0.07032275;0.07074475;0.07086121;0.06960436;0.06810958;0.06692758;0.06663895;0.06861026;0.07039318;0.07057477;0.0693172;0.06728232;0.06874864;0.07307697;0.07599545;0.07555214
10;5;1;0.07453064;0.0770592;0.07864804;0.07744821;0.07773493;0.07581548;0.066876;0.05868553;0.06475687;0.07741084;0.07955869;0.07830124;0.07863913;0.07794198;0.081315;0.08158643;0.07882527;0.07772717;0.06802327;0.05999279;0.06736973;0.07404096;0.06965931;0.06816807;0.07350647;0.07419606;0.07341315;0.07488236;0.07485543;0.07574439;0.07660081;0.07756073;0.07547555;0.07006659;0.07026099;0.0703428;0.06778871;0.06800683;0.06800661;0.06812989;0.06880267;0.07252361;0.08102363;0.0866607;0.08526401;0.08194239;0.08228697;0.07945262;0.07117351;0.06686348;0.06527802;0.06882314;0.07764013;0.0790217;0.07820061;0.08335442;0.08763644;0.08666681;0.08378151;0.08386174;0.08255002;0.08064469;0.0818149;0.07943561;0.07647216;0.07494759;0.07478262;0.07738036;0.0744915;0.07242009;0.07533557;0.07500485;0.07463637;0.07332636;0.07157445;0.07326639;0.074542;0.07629319;0.07842383;0.07691976;0.07191602;0.07068122;0.07594786;0.07621983;0.07165972;0.07325624;0.07895482;0.08333156;0.08231072;0.07583797;0.07037875;0.06666255;0.06750148;0.07164508;0.07264928;0.07864934;0.08373059;0.07711028;0.07294119;0.07638229;0.08199794;0.08562372;0.0820606;0.07621583;0.07540304;0.07822254;0.08153674;0.08572749;0.084107;0.07821358;0.07547026;0.06937052;0.0691059;0.07632459;0.07853337;0.08445306;0.08714827;0.08268363;0.07943156;0.07091946;0.07103642;0.07633935;0.07062072;0.07309296;0.08119076;0.08289593;0.08223304;0.07891713
14;5;1;-0.01955044;-0.02290218;-0.02234659;-0.02075837;-0.01851741;-0.01325377;-0.01453128;-0.01373201;-0.009542921;-0.01200685;-0.01337777;-0.01106573;-0.01078505;-0.0113383;-0.01067476;-0.009293574;-0.007884664;-0.009072835;-0.01420178;-0.01788556;-0.01362507;-0.0006656307000000001;0.009428611;0.006221096999999999;0.001379697;0.001431479;-0.007305594;-0.01903975;-0.01749468;-0.01265866;-0.01077752;-0.005210555;-0.002816978;-0.00554377;-0.006414556;-0.007798156;-0.01242658;-0.0151532;-0.01290695;-0.01195967;-0.01474736;-0.01550944;-0.01341022;-0.01164494;-0.01146504;-0.01130427;-0.01069728;-0.01130155;-0.01107687;-0.009894689;-0.009726998;-0.009526865;-0.01017408;-0.01198907;-0.0145748;-0.01626585;-0.01428275;-0.01104237;-0.007335028;-0.005613019;-0.007837469;-0.00726597;-0.005303766999999999;-0.006881243;-0.01013614;-0.0111351;-0.008086015;-0.007619000999999999;-0.009524877;-0.01167545;-0.01433536;-0.0117177;-0.01181955;-0.01411745;-0.01287323;-0.01743347;-0.01700719;-0.009347925;-0.008724447;-0.01013783;-0.009943675;-0.00940547;-0.009724039;-0.01044439;-0.01099499;-0.0130643;-0.01087228;-0.008490266;-0.01105466;-0.01426585;-0.01728404;-0.01467814;-0.01055495;-0.01257684;-0.0121866;-0.0085943;-0.007006483000000001;-0.005893066;-0.01028228;-0.01918388;-0.02043117;-0.01586246;-0.01357748;-0.0136953;-0.01531674;-0.01638887;-0.01611704;-0.01330193;-0.009687028;-0.01070077;-0.01109133;-0.008819976;-0.01042524;-0.01379259;-0.01552857;-0.01376681;-0.009419686;-0.009493382;-0.01210232;-0.01268189;-0.0122717;-0.009535904;-0.0074644;-0.008172421;-0.0076775440000000006;-0.00693263;-0.008730182;-0.01128437
18;5;1;-0.01380698;-0.01830908;-0.01956439;-0.01591136;-0.007704593000000001;-0.00423016;-0.0112345;-0.01911593;-0.02169574;-0.02001759;-0.0169908;-0.01451748;-0.01462458;-0.01635584;-0.01583333;-0.01679787;-0.01847909;-0.0184816;-0.01957322;-0.0168883;-0.01348775;-0.01416216;-0.01403675;-0.01559627;-0.01773355;-0.01737484;-0.01851743;-0.02014548;-0.02106431;-0.02029169;-0.01633462;-0.0151368;-0.02076456;-0.02538793;-0.02200922;-0.01806011;-0.01611024;-0.01118727;-0.01153927;-0.01605513;-0.01505824;-0.0150698;-0.01570061;-0.01369635;-0.01403316;-0.01470224;-0.01816509;-0.02262443;-0.02074552;-0.0191337;-0.01957869;-0.01797616;-0.01601973;-0.01455584;-0.01425707;-0.01398803;-0.01372388;-0.01498691;-0.01559859;-0.01519026;-0.01489078;-0.0128203;-0.008714567;-0.007437463;-0.01060276;-0.01236118;-0.01230908;-0.01458849;-0.01767769;-0.02025467;-0.02017854;-0.01840324;-0.0195046;-0.01801622;-0.01536683;-0.017105;-0.01756499;-0.01980881;-0.02372947;-0.02237996;-0.02040478;-0.01734898;-0.0120604;-0.01244935;-0.01640504;-0.01949911;-0.02328522;-0.02134967;-0.01671788;-0.01750069;-0.01506367;-0.01379063;-0.01616707;-0.01226417;-0.01416413;-0.02010434;-0.0167416;-0.01457149;-0.01553917;-0.01443526;-0.01719073;-0.02107462;-0.01851184;-0.01494093;-0.01475598;-0.01589399;-0.01840108;-0.01996806;-0.0209135;-0.02176461;-0.02193852;-0.02077535;-0.01670131;-0.01400818;-0.01115117;-0.01013537;-0.01439589;-0.01592179;-0.01730868;-0.01942691;-0.0208552;-0.02323553;-0.02019267;-0.01825463;-0.01995639;-0.01796003;-0.01596515;-0.01479621
22;5;1;-0.02003797;-0.01826766;-0.009681075;-0.004097803;-0.009483259;-0.01726658;-0.01576275;-0.01384843;-0.01663423;-0.01616904;-0.01829896;-0.0202006;-0.01513641;-0.01336535;-0.01651061;-0.01921855;-0.01784096;-0.01436002;-0.01368098;-0.01254473;-0.01257529;-0.01366921;-0.01475843;-0.01980891;-0.02310887;-0.02046978;-0.01544302;-0.01462867;-0.01799369;-0.01915136;-0.01971608;-0.018573;-0.0173045;-0.01856348;-0.01802647;-0.01781623;-0.015692;-0.01404936;-0.01840311;-0.0184327;-0.01522533;-0.01496654;-0.01313055;-0.01366935;-0.01581164;-0.01473463;-0.01550424;-0.01524306;-0.01280675;-0.01348752;-0.01648909;-0.02083919;-0.01941013;-0.01643873;-0.02085162;-0.02173153;-0.02087737;-0.02251105;-0.02081145;-0.01791625;-0.01353254;-0.01450329;-0.01999748;-0.01948357;-0.02022653;-0.02200053;-0.02198387;-0.02413918;-0.02169225;-0.01742002;-0.01616022;-0.0148107;-0.01611163;-0.01770478;-0.01817567;-0.01996959;-0.0197701;-0.01858903;-0.01771502;-0.01530367;-0.01457186;-0.01611866;-0.01703376;-0.01760768;-0.01503173;-0.01079693;-0.01279957;-0.0162698;-0.01643628;-0.01630546;-0.01472331;-0.01546396;-0.01872086;-0.01948683;-0.01900719;-0.01870139;-0.02402001;-0.03008089;-0.02611319;-0.02316409;-0.0252634;-0.02249563;-0.01983289;-0.02270262;-0.02469764;-0.02335336;-0.02330247;-0.02384228;-0.0212411;-0.01568702;-0.01171441;-0.017132;-0.02394719;-0.02033597;-0.01667312;-0.01535942;-0.01312643;-0.01713109;-0.01691493;-0.01324421;-0.01993356;-0.02436271;-0.0248686;-0.02466572;-0.01577679;-0.01028695;-0.01261592;-0.01537067
26;5;1;-0.01513803;-0.01361889;-0.01649702;-0.01860787;-0.01442015;-0.01183144;-0.01688286;-0.02164405;-0.019336;-0.0186527;-0.02088103;-0.01900939;-0.01702976;-0.01612597;-0.01308835;-0.008908798;-0.0065044840000000005;-0.01045004;-0.01657328;-0.01762827;-0.01836022;-0.02138227;-0.02262022;-0.02141169;-0.01663414;-0.01266783;-0.01626901;-0.01948148;-0.01583829;-0.01316912;-0.01445182;-0.0159287;-0.01770395;-0.01788722;-0.01594318;-0.017442;-0.02165875;-0.02378412;-0.01969867;-0.01136773;-0.01113527;-0.01559521;-0.01552062;-0.02077184;-0.02774195;-0.02221149;-0.01365144;-0.01211727;-0.01374188;-0.01634536;-0.01586766;-0.01521459;-0.01870958;-0.01831847;-0.01738381;-0.01878991;-0.01719021;-0.01638545;-0.01482159;-0.01385539;-0.01506356;-0.0131484;-0.0120318;-0.01153982;-0.01111592;-0.01385544;-0.01708648;-0.01693376;-0.011084;-0.009271168;-0.01254341;-0.01078631;-0.01057859;-0.01210579;-0.01138753;-0.01332677;-0.01458223;-0.01486855;-0.01418542;-0.01207689;-0.01595516;-0.01990485;-0.01778738;-0.01731923;-0.01772166;-0.01600828;-0.01520445;-0.01346615;-0.01087401;-0.01188605;-0.01407329;-0.01365479;-0.01204526;-0.0105792;-0.01103331;-0.01179185;-0.009974889;-0.01075173;-0.01402222;-0.01231804;-0.00937346;-0.008346302;-0.005414703000000001;-0.008985736;-0.01700503;-0.01655363;-0.01719337;-0.01783221;-0.01260365;-0.01441505;-0.01513837;-0.009929834;-0.009842721;-0.01332165;-0.02028209;-0.02251888;-0.012849;-0.0062624;-0.01304436;-0.0204385;-0.01638862;-0.01280585;-0.01155879;-0.007612188000000001;-0.01007103;-0.009967432;-0.0076231369999999994;-0.01191711
28;4;1;0.3673494;0.3661213;0.3659201;0.3694279;0.3741724;0.3746963;0.3749847;0.380929;0.3844061;0.3825688;0.3770609;0.3727554;0.3762259;0.3785303;0.3774726;0.376443;0.3754154;0.3771789;0.3763745;0.3751896;0.3751134;0.372949;0.3739389;0.371297;0.3681149;0.371042;0.3693243;0.3699784;0.3728053;0.3703623;0.3753459;0.3797554;0.3752964;0.3742273;0.3755554;0.3768998;0.3779506;0.3758057;0.3734831;0.3730825;0.3740186;0.3736003;0.3738259;0.3770742;0.3797197;0.379162;0.3743174;0.3728761;0.377907;0.3793456;0.374811;0.3703847;0.3720209;0.3747947;0.3748726;0.3780571;0.3782595;0.375012;0.375049;0.3747205;0.3750754;0.375295;0.3744992;0.3755994;0.3757551;0.3764869;0.3765064;0.3740189;0.3739298;0.3761097;0.3790738;0.3800516;0.3801161;0.3812259;0.3781823;0.3727239;0.3676235;0.3674593;0.3727532;0.3718083;0.3720173;0.3770718;0.3749088;0.3740029;0.3760603;0.3746117;0.376782;0.3814954;0.3827477;0.3759411;0.3673391;0.3703281;0.3738935;0.3736911;0.3788402;0.3764511;0.3706504;0.374715;0.3747035;0.3712689;0.3711579;0.3710197;0.3766423;0.3811488;0.3787897;0.3774628;0.375984;0.3740491;0.3730597;0.3727098;0.3755263;0.3790392;0.3783373;0.3766689;0.378361;0.3780061;0.3770511;0.3781404;0.3752953;0.3723482;0.3710461;0.3702156;0.3718474;0.3733589;0.375658;0.3758513;0.3741789;0.3731155
32;4;1;0.5582344;0.5433772;0.5270588;0.5164714;0.5098177;0.5020078;0.4930241;0.4835022;0.4606745;0.4252274;0.396758;0.3965745;0.410415;0.4157925;0.4194044;0.4237474;0.4434993;0.4662764;0.4618227;0.4623546;0.4783233;0.4818265;0.4782662;0.4806975;0.4898882;0.4988518;0.5029171;0.5098299;0.523845;0.5353906;0.5406648;0.5396337;0.5319369;0.5286383;0.5246024;0.5156088;0.5116127;0.5035991;0.4817617;0.4553177;0.4555592;0.47513;0.4737064;0.4697565;0.4706005;0.468887;0.4818178;0.4906951;0.4915328;0.4913164;0.4857757;0.4854115;0.481776;0.4794017;0.4842649;0.484117;0.4784957;0.4642149;0.4555991;0.4600936;0.4602011;0.4553858;0.452541;0.4525878;0.4514316;0.452416;0.4583686;0.460745;0.4603593;0.4609524;0.4624048;0.4589;0.4512072;0.4503331;0.4509712;0.4499089;0.4518347;0.4533243;0.453591;0.4551633;0.4588126;0.4600752;0.4618188;0.4662367;0.46127;0.4547423;0.4578935;0.4585087;0.4554189;0.4543321;0.4525188;0.4529858;0.4550221;0.4531518;0.4525337;0.4561272;0.4585488;0.4587635;0.4580886;0.4581904;0.458508;0.4558952;0.4504901;0.4460809;0.4506843;0.4588788;0.4580734;0.4560527;0.4560461;0.4504063;0.4444582;0.4453668;0.4501101;0.4528185;0.4557337;0.4580744;0.4553013;0.4532284;0.4526325;0.4523159;0.4533558;0.4521347;0.4508795;0.4501899;0.4511497;0.4538408;0.4514864;0.4486745
36;4;1;0.4540537;0.453631;0.4511961;0.4469289;0.4446944;0.4442089;0.4458046;0.4517185;0.4566266;0.4510172;0.444669;0.4515203;0.4575424;0.4538375;0.450753;0.4490031;0.447326;0.4470303;0.447776;0.4511071;0.4533437;0.4513177;0.4492767;0.4516638;0.4540845;0.4519933;0.4507;0.4500216;0.4493023;0.450281;0.4480642;0.4467088;0.4495016;0.4515992;0.4525497;0.451885;0.4511574;0.4515485;0.4522638;0.4531888;0.4527235;0.4526276;0.4529754;0.452261;0.4510809;0.4494405;0.4495565;0.4496161;0.4478525;0.4476065;0.4473595;0.4471431;0.4491283;0.4498408;0.4492161;0.4500092;0.4505577;0.4504624;0.4507395;0.4496706;0.4480789;0.4484678;0.4489165;0.4488041;0.4502112;0.4513059;0.4502258;0.4488377;0.448373;0.4483564;0.4479018;0.4474091;0.449709;0.4524049;0.4504038;0.4481882;0.4487481;0.4489422;0.4504961;0.4529735;0.4527686;0.4507553;0.4494606;0.4499018;0.4499557;0.44803;0.4478993;0.4534074;0.4584175;0.453613;0.4470069;0.4485034;0.4493954;0.4474762;0.4468729;0.4438996;0.4444456;0.4505864;0.4525956;0.4515514;0.4530116;0.4556907;0.4553801;0.4533128;0.4518807;0.4490752;0.4491814;0.4506056;0.4490709;0.4503425;0.4505054;0.4494363;0.4526933;0.4545802;0.4569562;0.459491;0.457365;0.454216;0.4501417;0.4499189;0.4561171;0.4589563;0.4542398;0.4489465;0.4506951;0.4527022;0.4513297;0.4527529
39;4;1;0.3074025;0.3109614;0.316523;0.3176719;0.3147037;0.313312;0.312112;0.3123245;0.3141486;0.3146933;0.3160257;0.3172062;0.3181813;0.3186431;0.317848;0.3201392;0.3225754;0.3222503;0.3220749;0.3212447;0.3204063;0.3197446;0.3184973;0.3177358;0.3154083;0.3123315;0.3132822;0.3149353;0.3124686;0.3112963;0.3105401;0.3076106;0.3114309;0.3178464;0.3174264;0.3118859;0.3068006;0.3112681;0.3164888;0.3123038;0.3114357;0.3140524;0.3146938;0.3174457;0.3173256;0.3154833;0.3159696;0.3132941;0.3119202;0.3163806;0.3211037;0.3224684;0.317832;0.3135798;0.317106;0.3191524;0.3157136;0.3150497;0.3183922;0.3210684;0.320197;0.3165929;0.3113529;0.3054505;0.303977;0.3060776;0.3092165;0.3154876;0.3149926;0.3078507;0.3068617;0.3067714;0.3105924;0.3184641;0.315507;0.3138235;0.3186356;0.3180499;0.3177289;0.3173343;0.3150318;0.3152882;0.3146913;0.3125882;0.3102606;0.3096577;0.3106517;0.3109904;0.3130828;0.3136561;0.3144007;0.3189469;0.3186952;0.3159862;0.3131911;0.3068642;0.3062683;0.3080572;0.3055313;0.3071021;0.3098922;0.3110821;0.3150194;0.3162969;0.3143936;0.3134698;0.3122067;0.3124363;0.3147569;0.3144373;0.3090535;0.3035256;0.3060589;0.3137245;0.318155;0.3190822;0.3176914;0.3161122;0.3117211;0.3040972;0.3050968;0.308212;0.3075471;0.3117911;0.3087644;0.3026267;0.3078476;0.3106603
