;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
1;5;2;0.006122796999999999;0.009710357;0.01032192;0.01341607;0.01685763;0.01593049;0.01353088;0.0117392;0.0115503;0.01049437;0.007872243000000001;0.008399571;0.00848392;0.007177490999999999;0.005249930999999999;0.0031837190000000002;0.005777743;0.006040836999999999;0.006527122;0.009679867;0.004460567;0.001063257;0.004586615;0.006931871;0.0071989590000000004;0.003840993;0.003656627;0.007268424;0.008982496;0.01067894;0.009521739;0.007313028;0.006596726999999999;0.003339415;0.0008215767;0.0023259220000000002;0.004577473;0.00461956;0.003402756;0.002954428;0.002540035;0.002452076;0.0023737479999999997;0.001153177;-0.0006854830000000001;-0.005259755;-0.009021585;-0.006504263000000001;-0.00410332;-0.00399123;-0.004002698;-0.005715448000000001;-0.00393037;-0.00122575;-0.002877947;-0.0029453340000000004;-0.003434303;-0.005050563;-0.00498768;-0.0051657909999999994;-0.0012984819999999999;0.001909445;-7.982483e-05;-3.7718e-05;-0.000238341;-0.0004275982;0.000761135;-0.003025767;-0.00598819;-0.0030499459999999996;-0.0011567939999999998;-0.002648259;-0.00380607;-0.003979572;-0.007079904000000001;-0.01255675;-0.01619175;-0.01782415;-0.01974448;-0.02411394;-0.02875897;-0.03016049;-0.02911921;-0.02471796;-0.01617533;-0.008561859;-0.004781796;-0.009407094;-0.01993241;-0.0171096;-0.009112074;-0.01117432;-0.009510978;-0.01059464;-0.01835304;-0.01965788;-0.01968344;-0.01993941;-0.02236767;-0.02361459;-0.01565791;-0.01027518;-0.01086791;-0.01089597;-0.009381334;-0.01087366;-0.0173863;-0.02042611;-0.01788994;-0.01339324;-0.01348585;-0.01441123;-0.007153807;-0.0029877790000000003;-0.004341001;-0.005510325999999999;-0.008609702;-0.01246909;-0.013522;-0.009679535999999999;-0.01003361;-0.01233109;-0.01057604;-0.01063039;-0.008098137;-0.008694754;-0.01165249;-0.009440196999999999
5;5;2;0.005577377;0.005155942;0.0009489842999999999;-0.0005949478;0.005061965999999999;0.01216234;0.009037424;0.003781956;0.0032798690000000004;-0.0001028602;-0.002405344;-0.003579837;-0.005693897;-0.005884579;-0.007790285;-0.0068518;-0.003077834;-0.0006855852;0.003932562;0.006569513000000001;0.0063112509999999995;0.0057265580000000005;0.00442962;0.005392627;0.01079469;0.01744664;0.01653347;0.01377279;0.01430543;0.009461706;0.008412698;0.01433464;0.01565493;0.01301636;0.008911536999999999;0.008616129;0.01319447;0.01611117;0.01567606;0.01151008;0.01016189;0.009859228000000001;0.0002990359;-0.009437556;-0.01183287;-0.01511101;-0.02058165;-0.01830683;-0.01239785;-0.0139191;-0.01000595;-0.00317421;-0.009964275;-0.01340007;-0.005312117;-0.0011347010000000001;-0.00481264;-0.006486921;0.002018838;0.007382888000000001;-0.0005364669000000001;-0.005571703000000001;0.0034179370000000002;0.01079681;0.004111184;0.001004703;0.008076805;0.009099608;0.00202811;-0.004282905;-0.001859204;0.004274333;0.006764186;0.0117739;0.01464141;0.01251248;0.0125624;0.01194304;0.01145869;0.01310797;0.01271252;0.006720332;-0.0023311070000000002;-0.0036467559999999997;-0.000122333;0.0006355591;0.0027135059999999996;0.002386487;-0.0008944542;-0.0003021707;0.002348588;0.005650474;0.00544172;0.0002714724;-0.0005087605;0.001183367;0.0009055291;0.00223253;0.0034226240000000004;0.004626435;0.004967378;0.0029476420000000003;0.0030797140000000003;0.004263253;0.004952037;0.005094705;0.003742809;0.002651202;0.0005869626999999999;-0.000836625;-0.002054228;-0.006386714;-0.008077013000000001;-0.007041073;-0.0057693580000000005;-0.00255977;-0.001593042;-0.001200168;-0.0003119257;-0.003029422;-0.004803496;-0.004437788;-0.003766052;-0.00239946;-0.004302652;-0.01032725;-0.01468221;-0.01171324
9;5;2;0.01496756;0.009419482;0.006544515;0.0052271390000000004;0.00420605;0.001955286;-0.0005581371;-0.0018038129999999998;-0.002210574;-6.082892e-05;0.002060114;0.0027126840000000004;0.007471255;0.01308155;0.01040666;0.004211843;0.002836737;0.002765027;0.0049600420000000004;0.009093364;0.007965531999999999;0.006880239;0.006343572;0.004953895;0.0065280419999999995;0.003496865;0.001211069;0.004549582;0.003055308;0.00197193;0.0013265220000000001;-0.003572948;-0.002642061;-0.001156072;-0.0065721569999999995;-0.01296688;-0.01899799;-0.01755796;-0.008292663;0.0005356161;0.008865755999999999;0.009216937;0.006319824;0.007730468000000001;0.002018952;-0.002516936;-0.0029298740000000003;-0.008646128000000001;-0.009471778;-0.005783737;-0.0007927019;0.003650053;0.002104372;0.0027230320000000002;0.0032189420000000002;0.002019075;0.002561332;-0.0001976504;0.0002599164;0.004473163;0.006613676999999999;0.0026823759999999998;-0.01425158;-0.0309996;-0.03243686;-0.02676116;-0.02694071;-0.02629066;-0.01145644;0.008611489;0.02297385;0.03106761;0.03113045;0.0207642;0.004916794;-0.004939498;-0.01055117;-0.0109023;-0.008445425;-0.01681845;-0.02169092;-0.01626256;-0.0128954;-0.01034539;-0.009472793;-0.004959672;0.003855103;0.007928456;0.01604438;0.02821586;0.02785058;0.01841031;0.01481022;0.01742608;0.02056185;0.01972512;0.01655617;0.01168205;0.002986885;0.003925336;0.008089433;0.003795268;0.008047130999999999;0.01428903;0.01461238;0.0157077;0.01193905;0.008566311;0.002985732;-0.007321871999999999;-0.01143232;-0.01210268;-0.01017052;-0.006380945;-0.00277057;0.0028100390000000003;0.007499864;0.009796891;0.006426918;0.0007373503;-0.004149946;-0.00708934;-0.001770857;0.001444072;0.002143786;0.004250539;-0.0014258370000000001;-0.002730476
11;5;2;0.0016040879999999998;0.001817781;0.00325619;0.003239345;0.0027021;0.004302379;0.007385319;0.01255283;0.01376448;0.01182099;0.008592069;0.001980836;-0.003154652;-0.001273577;0.002954574;0.001023756;-0.0050419770000000004;-0.01030576;-0.009070096;-0.0008539753999999999;0.007756481;0.01458686;0.01205513;0.007886929;0.01031585;0.00129294;-0.008174103;-0.002444156;0.002021739;0.002894293;0.0041787809999999995;0.006061353;0.009420345;0.0068409690000000006;0.002235885;0.00415105;0.006843831;0.006112271999999999;0.006006346;0.0069238519999999994;0.00664083;0.004989197;0.002384868;0.0009367783;0.0004017914;0.0001023108;0.001404705;0.002350113;0.0031888479999999998;0.005186617;0.005899982;0.006509076;0.007168734;0.005266685;0.0018457010000000002;-0.003061318;-0.004763332;-0.001139937;-0.0011135160000000002;-0.002365029;-0.002238833;-0.005567113;-0.005993914;-0.0011257539999999999;0.002883959;0.002167184;0.0008140757000000001;0.0034782790000000004;0.002297208;-0.001239472;-0.001930876;-0.003493601;-0.003427148;-0.004031816;-0.004919757;-0.003561963;-0.005091511;-0.00507235;-0.00396626;-0.005860366999999999;-0.007194051999999999;-0.008145715;-0.007899126;-0.009822296;-0.01160135;-0.006851089;-0.004564293;-0.0035036620000000003;-0.0005912301;-0.00296234;-0.004699478;-0.004398394;-0.004268883;-0.002852192;-0.004047565;-0.003686423;-0.0027854909999999997;-0.004413849;-0.0035840259999999997;-0.004700877;-0.007423904;-0.008096932;-0.007741233;-0.005995369;-0.0066169259999999995;-0.0064676740000000005;-0.004922442;-0.005400039000000001;-0.00131315;0.002326185;-0.001370128;-0.00354455;-0.001136579;-0.0004654155;-0.002803995;-0.003435148;-0.00144148;0.0001232286;-0.0006501934;-0.002754755;-0.0034521929999999997;-0.003008148;-0.0006524919;0.0035864029999999997;0.00541547;0.002750837;-0.0013973870000000002;-0.000671735
15;5;2;0.09385273;0.09551107;0.09228726;0.08771608;0.09036579;0.09432451;0.09241593;0.09255743;0.09233914;0.09576825;0.09940157;0.09153817;0.08547554;0.08829528;0.08917329;0.08484656;0.08315882;0.08598333;0.08636756;0.08368298;0.08016832;0.07906119;0.07729781;0.06973005;0.06446826;0.06462212;0.06423462;0.06097563;0.06113274;0.06867285;0.07204107;0.06535485;0.05795356;0.05880207;0.06075162;0.05817764;0.06067273;0.06120929;0.05796551;0.0600267;0.05956688;0.05818704;0.05649986;0.05437514;0.05640632;0.05399183;0.05372252;0.05769576;0.05884654;0.06334485;0.0629348;0.05729933;0.05485276;0.05343783;0.05564194;0.05574778;0.05523304;0.05851763;0.05579983;0.05178085;0.04960959;0.04640822;0.04681158;0.04532233;0.04087497;0.04001887;0.04201069;0.04378801;0.04300586;0.04382491;0.04627664;0.04454501;0.04379931;0.04488225;0.04180711;0.03698467;0.0319553;0.02852447;0.03014953;0.03237573;0.03248831;0.03179221;0.02944037;0.02796362;0.02816519;0.02720391;0.02416802;0.01841888;0.01536451;0.01991005;0.02417412;0.02226019;0.01768919;0.01318423;0.01363356;0.02043899;0.0219614;0.01465608;0.009321795;0.01298676;0.02000756;0.01908699;0.01383152;0.0112808;0.01347246;0.02159618;0.02426166;0.02209958;0.02335986;0.02274724;0.01878048;0.0129534;0.01133903;0.01171809;0.007202916;0.00538516;0.005060319000000001;0.006680035;0.01200839;0.01266796;0.01444463;0.01720668;0.01348282;0.01118459;0.01243447;0.01321372;0.01411459;0.01502719
19;5;2;-0.005611756;-0.0038270759999999996;-0.005403328000000001;-0.008071625;-0.009937392;-0.01014403;-0.00906705;-0.008461558000000001;-0.007475145;-0.0075375680000000006;-0.008219292;-0.006637703000000001;-0.004857925;-0.0038011140000000004;-0.003700601;-0.00448356;-0.004435975;-0.004755504;-0.0041263509999999995;-0.003057873;-0.004810419;-0.007121528;-0.009342803;-0.009529084;-0.008153476;-0.009021018;-0.006333799;-0.002978025;-0.004920907;-0.0058951459999999995;-0.006437345;-0.00819594;-0.01076416;-0.01399862;-0.01217017;-0.007878635;-0.004600268;-0.0009904250999999999;-0.0022778670000000003;-0.00570426;-0.005510064;-0.005933159;-0.00609326;-0.0058074369999999995;-0.007069166;-0.007705804;-0.01026135;-0.01125214;-0.009298624;-0.009782081;-0.008610434;-0.007244115;-0.007971388000000001;-0.008141634;-0.009481011999999999;-0.00916966;-0.00757847;-0.006136381;-0.003351688;-0.001850106;-0.0016878120000000001;-0.002642897;-0.003046253;-0.0034610070000000003;-0.006389885;-0.007648912;-0.007645495;-0.007502629;-0.007064061999999999;-0.007629335;-0.007408656;-0.009166104;-0.01017049;-0.005472367;-0.001437554;-0.002399567;-0.0037533379999999997;-0.001375634;-0.001373048;-0.005052389;-0.006912842;-0.008765954;-0.009939199000000001;-0.009381781;-0.005478356;-0.0007779682;-0.0032272729999999997;-0.005261514;-0.0034773070000000002;-0.004163971;-0.004725064;-0.004418652;-0.003435512;-0.001471141;0.0005346397;0.0018632920000000001;-1.848476e-05;-0.001396971;0.00104757;0.002623742;0.001339315;0.0005736299;0.001041992;-0.0003655938;-0.002130418;-0.001577187;-0.001210243;-0.0008733497000000001;0.001584489;0.002031968;-0.0015319429999999998;-0.001165255;0.0028103629999999998;0.002719616;0.00301773;0.003797113;0.001277921;0.0009436809;0.0002200186;-0.002146671;-0.002478245;-0.0035197790000000002;-0.001053233;0.0038292079999999997;0.002600987;-0.0006601832;-0.00290323;-0.004149417
23;5;2;-0.0019919770000000002;-0.001307312;-0.002893282;-0.003203115;-0.003184087;-0.004237834;-0.002933587;-0.0009582853999999999;0.0015998260000000002;0.0027547440000000004;0.003325625;0.004562018;0.0004993981;-0.002531859;0.001364287;0.003831162;0.0027117879999999997;0.002898955;0.004584996;0.004054925;0.003312598;0.004546144;0.005684719;0.006323743000000001;0.002103226;-0.003071044;-0.000985281;0.00017870990000000002;-0.00170184;-0.0007524261;-0.0009338158999999999;-0.001997665;-0.0005383438;0.001988199;0.004662554;0.0051840259999999996;0.005219139;0.006050461;0.0013226070000000002;-0.003837042;-0.0030491259999999997;-0.002889043;-0.002304299;0.001015837;0.004708384;0.006360597;0.002727825;0.0003813335;0.0018164670000000002;0.004261808;0.007734328;0.005714922;0.0029750429999999997;0.004782674000000001;0.0029183909999999998;0.0007143882000000001;0.002024722;0.001978521;0.0013310420000000002;0.00250292;0.004448989;0.004226619;0.002939776;0.003359074;0.0033975359999999996;0.002217334;0.0005402636;0.0016276160000000001;0.0075832519999999995;0.007454935;8.971571e-05;-0.0028506509999999996;-0.003378535;0.001264019;0.009313939;0.006880736;0.00361034;0.004917013;0.004607333;0.005141012;0.0032027740000000002;0.004224479000000001;0.007919574;0.007346681;0.006933122;0.0006466385;-0.00460703;-0.0006528394;0.0015239070000000001;0.003449046;0.00402516;0.003734435;0.006492238000000001;0.005529648000000001;0.005052895;0.006931375;0.006462869;0.004453856;0.001864315;0.002393718;0.003448418;0.002119829;0.002630897;0.0038901229999999997;0.0052091970000000005;0.007885128;0.008150564;0.004579206;0.001854285;0.004114032;0.007835376;0.007134272;0.003747725;0.0012926230000000001;0.001980519;0.0042161640000000005;0.00397341;0.005547883000000001;0.006343615;0.00037007690000000003;-0.003360154;-0.001858804;-0.0009184177000000001;-0.002283156;-0.003650434;-0.002764891;-0.0030600059999999997;-0.002864085
29;4;2;-0.08078861;-0.07699499;-0.07691047;-0.07836188;-0.07723382;-0.07698127;-0.07301643;-0.07030691;-0.07528432;-0.07984003;-0.07846552;-0.07094911;-0.06507675;-0.06732429;-0.07111055;-0.07128981;-0.07012645;-0.06930092;-0.06803198;-0.06638762;-0.0632108;-0.06012528;-0.06097934;-0.06317749;-0.06335704;-0.06011951;-0.05616277;-0.05380083;-0.05103929;-0.05158453;-0.05351653;-0.05375503;-0.05757907;-0.05906456;-0.05568009;-0.0540832;-0.05195435;-0.051567;-0.05333017;-0.0521813;-0.05240788;-0.05192419;-0.04898746;-0.04846921;-0.04682879;-0.04540761;-0.04724247;-0.04908528;-0.04834061;-0.04368195;-0.0425088;-0.04623013;-0.04721433;-0.04736736;-0.04737702;-0.04651329;-0.0464006;-0.04551611;-0.04400698;-0.03876498;-0.03109279;-0.03048957;-0.03611222;-0.04091758;-0.03998181;-0.03405659;-0.03380593;-0.03716841;-0.03541621;-0.03653206;-0.03800548;-0.03563092;-0.0381339;-0.0378445;-0.03405271;-0.03318676;-0.03158229;-0.03388397;-0.03438584;-0.03213107;-0.03459826;-0.03243557;-0.02809918;-0.02585967;-0.02480984;-0.0282291;-0.02843761;-0.02828663;-0.03083762;-0.02886738;-0.02761604;-0.02786436;-0.02696569;-0.02737449;-0.02734423;-0.02711899;-0.02681116;-0.02636004;-0.02567173;-0.02331478;-0.02393666;-0.02726071;-0.02569524;-0.02328392;-0.02524248;-0.02407094;-0.0204716;-0.01839281;-0.01534156;-0.01912912;-0.02530523;-0.02209273;-0.01923897;-0.01855468;-0.01521618;-0.01520053;-0.01821256;-0.01923393;-0.01684889;-0.01496626;-0.01768471;-0.02132567;-0.02136638;-0.0194237;-0.01749116;-0.01559792;-0.01627931;-0.01789486
33;4;2;-0.1373512;-0.1223119;-0.09707434;-0.05814356;-0.04143468;-0.06343682;-0.0608617;-0.05501078;-0.05776612;-0.04333617;-0.04662931;-0.04791927;-0.03595584;-0.03809097;-0.0345062;-0.02752843;-0.0194365;-0.008979519;-0.02440209;-0.05196455;-0.05936603;-0.05204443;-0.04937649;-0.05228754;-0.05043146;-0.04458505;-0.03529621;-0.027802;-0.03269584;-0.04095143;-0.04737355;-0.05396206;-0.04604906;-0.03270206;-0.03538363;-0.04336191;-0.04957719;-0.0507407;-0.04552903;-0.04779823;-0.05255093;-0.05496316;-0.05668106;-0.05674636;-0.06372821;-0.06456893;-0.0539468;-0.04381109;-0.03182609;-0.02983985;-0.03568422;-0.03489348;-0.03485944;-0.0342482;-0.03348283;-0.03458763;-0.0338765;-0.03406856;-0.03173629;-0.03140402;-0.03556259;-0.03636782;-0.03576484;-0.03333171;-0.03148347;-0.0327692;-0.03224512;-0.03265328;-0.0343296;-0.0348684;-0.03389729;-0.03165205;-0.0322583;-0.0324443;-0.03013813;-0.02881407;-0.02900351;-0.03392863;-0.03721382;-0.03047762;-0.01875403;-0.01175375;-0.02396463;-0.04030338;-0.03227578;-0.02370648;-0.02698953;-0.02456759;-0.02622035;-0.02419715;-0.01598062;-0.0210726;-0.0269067;-0.03028159;-0.03129077;-0.02613098;-0.02859542;-0.02680631;-0.02182353;-0.02595291;-0.02515883;-0.02345228;-0.02181455;-0.01669772;-0.01803433;-0.02153821;-0.02311796;-0.02068456;-0.01637575;-0.01746959;-0.01959901;-0.02490064;-0.03057763;-0.02347729;-0.009381996;-0.002610486;-0.01290223;-0.02837912;-0.02538751;-0.01919408;-0.02088968;-0.01455162;-0.01173661;-0.01452369;-0.01376023;-0.0208637;-0.0258312;-0.01806061
37;4;2;0.0069546669999999994;0.0021470729999999998;0.006796005999999999;0.01149111;0.007264395999999999;0.0066567580000000005;0.007310929;0.004065663;0.0002609105;-0.006073065;-0.007774431;-0.002053548;0.0020135120000000003;0.003623854;0.003052579;0.0006431674;0.0003074791;0.00014221440000000002;-0.001435224;-0.0016751539999999999;0.003478925;0.01131342;0.01101842;0.006457841;0.0052866219999999995;0.004129112;0.006972862;0.01117857;0.01025267;0.01054266;0.008995396999999999;0.0040163;0.00376941;0.004253344;0.00313463;0.003598016;0.001448955;-0.002158432;8.146056e-06;0.0108277;0.02285444;0.02062952;0.008891486;0.004481405999999999;0.0044051820000000005;0.00402247;0.004061419;0.004543035999999999;0.008791628000000001;0.01063332;0.0038312159999999997;-0.005586267;-0.007086899;-0.000316596;0.002965104;0.003305898;0.00513665;0.005071079;0.003798748;0.001253708;-0.001443395;-0.0014138870000000002;-0.0002781593;-0.000798488;-0.0008891461999999999;0.00040989989999999995;-3.634103e-05;0.0003170172;0.001198733;0.00369916;0.006956087;0.001205167;-0.0038927690000000004;-0.001723074;-0.0008413036;0.00283087;0.005309111;0.001052018;-0.001297685;-0.002485638;-0.006166702;-0.0066450680000000005;-0.001269786;0.008333839000000001;0.01456971;0.002481165;-0.0146456;-0.01177543;-0.006921686999999999;-0.009340437;-0.002481254;0.002042111;-0.0009105594;-0.001150041;-0.004458837;-0.009689641;-0.008531883;-0.0009354274000000001;0.005343171;0.002874985;-0.0015259579999999998;-0.002410781;-0.00429482;-0.004431249;-0.0036463109999999997;-0.007088817;-0.007371243;-0.005035502;-0.004509699;-0.002673018;-0.00397922;-0.004740456;-0.001385639;-0.00010619120000000001;-0.0018420729999999998;-0.007980832;-0.01236997;-0.01054709;-0.007369369000000001;-0.001841661;0.0015972679999999998;-0.0061967640000000004;-0.01509844;-0.008273855;0.0001548183;-2.8252319999999997e-06;0.006151458;0.008372879
