;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
1;5;2;-0.123976;-0.1268078;-0.1277862;-0.1266547;-0.1236336;-0.1249187;-0.1243005;-0.1197982;-0.1192223;-0.120174;-0.1213162;-0.1222915;-0.1264941;-0.132631;-0.1286242;-0.122015;-0.1218544;-0.1212108;-0.120603;-0.1209479;-0.1212181;-0.1236811;-0.1255531;-0.1241987;-0.1221575;-0.1233974;-0.127263;-0.1302381;-0.1312862;-0.1299998;-0.1277708;-0.1239092;-0.1197379;-0.121468;-0.1260118;-0.1282198;-0.1263671;-0.1217475;-0.1218799;-0.1239658;-0.1242567;-0.1261499;-0.1276499;-0.1295878;-0.1303476;-0.1299795;-0.1321647;-0.12887;-0.124246;-0.1267462;-0.1270445;-0.1256371;-0.12678;-0.1258547;-0.1234932;-0.1219945;-0.1239103;-0.1279703;-0.1282954;-0.1270103;-0.1261848;-0.1240696;-0.1227451;-0.121326;-0.1200157;-0.1214994;-0.1228407;-0.1237173;-0.1238168;-0.1213038;-0.1212583;-0.125411;-0.1294583;-0.1298562;-0.1277827;-0.1256833;-0.121083;-0.1178711;-0.1181788;-0.1174953;-0.1174196;-0.1165236;-0.116636;-0.1209724;-0.1256922;-0.129232;-0.126144;-0.1194885;-0.1173506;-0.1177075;-0.1205666;-0.1216256;-0.120834;-0.1215108;-0.1205366;-0.1226586;-0.1250758;-0.12342;-0.1199092;-0.1130717;-0.1126833;-0.1187733;-0.1236332;-0.1286601;-0.1216789;-0.1085598;-0.1088185;-0.1119293;-0.1133349;-0.1183985;-0.1204352;-0.1191445;-0.1172693;-0.1156951;-0.1140429;-0.1116856;-0.1127778;-0.1157433;-0.1176716;-0.1198846;-0.1220551;-0.1229782;-0.1229688;-0.1273395;-0.1323291;-0.1290268;-0.1264244;-0.1305193
5;5;2;-0.1327355;-0.1326756;-0.131761;-0.1319502;-0.134115;-0.1344598;-0.1311532;-0.1281725;-0.1295836;-0.1317978;-0.1301619;-0.1301412;-0.1316379;-0.1317867;-0.1342005;-0.1346883;-0.1341317;-0.1347348;-0.1306302;-0.1270172;-0.1273701;-0.1273091;-0.1274314;-0.1296548;-0.1326851;-0.1330224;-0.132084;-0.128511;-0.1229166;-0.1249864;-0.1295362;-0.1303909;-0.1305909;-0.1260802;-0.1231668;-0.1262211;-0.1268935;-0.1277444;-0.1289315;-0.1284659;-0.1295346;-0.1277364;-0.1266287;-0.1288373;-0.1274818;-0.1284242;-0.1338588;-0.1368123;-0.1344476;-0.1276174;-0.1240074;-0.1232476;-0.122098;-0.1226953;-0.1218514;-0.1220874;-0.1233369;-0.124236;-0.1276007;-0.1267521;-0.1248237;-0.1245585;-0.1214556;-0.123494;-0.1260839;-0.1216043;-0.1188487;-0.1193653;-0.1197754;-0.1212244;-0.1254559;-0.1293792;-0.128045;-0.1262703;-0.1262819;-0.125463;-0.1278541;-0.1292022;-0.1262278;-0.1261381;-0.1248183;-0.1224034;-0.1244925;-0.1250943;-0.1249237;-0.1239843;-0.1209807;-0.1207328;-0.1211662;-0.123753;-0.1270086;-0.1264638;-0.1264944;-0.1272418;-0.1277077;-0.1262277;-0.1243435;-0.127305;-0.1304138;-0.1304232;-0.127181;-0.1217094;-0.1200573;-0.1227065;-0.1242503;-0.1215108;-0.118966;-0.1199858;-0.122183;-0.1243844;-0.1239865;-0.122905;-0.124012;-0.1236643;-0.1231035;-0.1230613;-0.1219493;-0.12298;-0.1239044;-0.1216302;-0.1203501;-0.1220635;-0.1245664;-0.1249478;-0.1222743;-0.1195249;-0.118807;-0.1181566
9;5;2;-0.1343615;-0.1368448;-0.1378271;-0.1364286;-0.1336307;-0.1329225;-0.1334015;-0.1329982;-0.1316229;-0.1307386;-0.1349475;-0.1389019;-0.1359318;-0.1332384;-0.1350833;-0.1352253;-0.1340301;-0.1351119;-0.135311;-0.1368622;-0.1392355;-0.1372785;-0.1366139;-0.1371326;-0.1346817;-0.1342002;-0.1354846;-0.1372655;-0.1424436;-0.1452771;-0.1399752;-0.1348094;-0.1343764;-0.1307789;-0.1272049;-0.1298506;-0.1328447;-0.1407934;-0.1520718;-0.1488794;-0.1401926;-0.1384521;-0.1360577;-0.1355849;-0.1352365;-0.1337373;-0.1379883;-0.1407599;-0.1420509;-0.1436789;-0.14311;-0.1440494;-0.1382577;-0.1311455;-0.1341974;-0.136168;-0.1360271;-0.1379848;-0.1386169;-0.1406263;-0.1434727;-0.140222;-0.1352114;-0.137993;-0.1416741;-0.1458623;-0.1511128;-0.1417079;-0.1296369;-0.1333071;-0.1428482;-0.1490614;-0.1436716;-0.1290586;-0.1219308;-0.1231212;-0.1256091;-0.1282016;-0.1331546;-0.1385105;-0.1370421;-0.1358616;-0.1389018;-0.1387655;-0.1383109;-0.1343107;-0.1248722;-0.1191788;-0.1184379;-0.1198457;-0.1187403;-0.1191027;-0.1284056;-0.13571;-0.1316126;-0.1274859;-0.1349903;-0.1397203;-0.1329384;-0.1308424;-0.1344606;-0.1368473;-0.1366205;-0.1337244;-0.1318295;-0.1280978;-0.1259594;-0.1260074;-0.1225498;-0.1233867;-0.1268501;-0.1286992;-0.1337923;-0.1371924;-0.136862;-0.1343127;-0.1294664;-0.125784;-0.1212887;-0.1189347;-0.1223993;-0.1241663;-0.1280073;-0.1367354;-0.1397633;-0.1361446;-0.1301731;-0.1273727
11;5;2;-0.1273855;-0.1257962;-0.1287001;-0.1320567;-0.1318489;-0.1329653;-0.1343542;-0.1376889;-0.1374183;-0.1338175;-0.1344246;-0.1321616;-0.1293866;-0.1306764;-0.1308048;-0.1304382;-0.1304634;-0.1310555;-0.1323134;-0.1337431;-0.1337798;-0.1330652;-0.1350545;-0.1346623;-0.1306264;-0.1290735;-0.1298015;-0.1302645;-0.1301608;-0.1324492;-0.1353246;-0.1345892;-0.1325213;-0.1279284;-0.1238283;-0.1283634;-0.1337142;-0.1322808;-0.1329406;-0.1360193;-0.1348214;-0.135025;-0.1370054;-0.135731;-0.1349648;-0.1348126;-0.1343617;-0.1350083;-0.1346809;-0.1340223;-0.1322737;-0.1297478;-0.1311699;-0.1323793;-0.1289342;-0.1267465;-0.1278463;-0.1288429;-0.1310908;-0.1342545;-0.1328444;-0.1296054;-0.1297571;-0.1292091;-0.128588;-0.1297452;-0.1289535;-0.1289702;-0.1301224;-0.1314521;-0.1339839;-0.1317532;-0.1280682;-0.1283875;-0.1277255;-0.1282768;-0.1326668;-0.1358853;-0.1361044;-0.1383272;-0.143184;-0.1410773;-0.1362393;-0.1386434;-0.1402069;-0.1386392;-0.1385253;-0.1381882;-0.1381525;-0.1381434;-0.1378805;-0.1366731;-0.1357242;-0.1378201;-0.1379673;-0.1359966;-0.1361808;-0.1370737;-0.1375604;-0.136549;-0.1349165;-0.1355113;-0.1374136;-0.1373614;-0.1346326;-0.1330291;-0.136326;-0.1415457;-0.1425236;-0.1410715;-0.1407864;-0.1401391;-0.1400525;-0.1398322;-0.1365817;-0.1339544;-0.1361905;-0.1387788;-0.1369906;-0.135144;-0.1349841;-0.1356502;-0.1393672;-0.1409854;-0.1378172;-0.1354204;-0.1362768;-0.1399288
15;5;2;-0.2528722;-0.2513164;-0.2514933;-0.2513984;-0.2519909;-0.2513408;-0.2492376;-0.2488043;-0.24828;-0.2456279;-0.2442394;-0.2471528;-0.2506941;-0.2504456;-0.24937;-0.250299;-0.2504679;-0.2514466;-0.2532936;-0.2510561;-0.2489719;-0.2500237;-0.2493694;-0.2485915;-0.2514607;-0.2545866;-0.2532891;-0.2502278;-0.2495821;-0.2500374;-0.2499513;-0.2490379;-0.2482853;-0.2491548;-0.2515865;-0.2544028;-0.2547765;-0.2538515;-0.2551367;-0.2555206;-0.2525134;-0.2496407;-0.2495136;-0.2504264;-0.2495928;-0.2479749;-0.246973;-0.2468406;-0.2474365;-0.2462887;-0.2452775;-0.246097;-0.2456338;-0.2450045;-0.2452327;-0.2460155;-0.2471527;-0.2469734;-0.2462711;-0.2447191;-0.2438334;-0.2448095;-0.2442284;-0.2430098;-0.2414333;-0.2403087;-0.2420263;-0.2421209;-0.2410907;-0.2419508;-0.2422579;-0.2437517;-0.2450963;-0.2427218;-0.2421869;-0.2438958;-0.2428491;-0.2426985;-0.2435931;-0.2423349;-0.2407705;-0.237645;-0.2365285;-0.2397909;-0.2396196;-0.2386947;-0.2403605;-0.2398085;-0.2407869;-0.2429104;-0.2421897;-0.2430557;-0.2436846;-0.24244;-0.2434542;-0.2439642;-0.2437789;-0.2455735;-0.2485831;-0.2512721;-0.2500682;-0.2491681;-0.2507836;-0.2497156;-0.2499429;-0.251225;-0.2502865;-0.2499006;-0.2486602;-0.2474963;-0.2474624;-0.2490616;-0.2527451;-0.2536886;-0.2542541;-0.2563933;-0.2565976;-0.256865;-0.257226;-0.2565978;-0.2555016;-0.2527026;-0.2502161;-0.2501924;-0.2494273;-0.247809;-0.2492657;-0.2516812
19;5;2;-0.2446682;-0.2448909;-0.2456438;-0.2464897;-0.245569;-0.245544;-0.2459944;-0.2436924;-0.2425079;-0.2427893;-0.2412821;-0.2396376;-0.2390321;-0.2399881;-0.2431286;-0.2471188;-0.2465423;-0.2435173;-0.2450422;-0.2455432;-0.2461332;-0.2502754;-0.2514682;-0.2497387;-0.245563;-0.2433606;-0.2452216;-0.2460685;-0.2480111;-0.2480769;-0.2465366;-0.2462278;-0.24302;-0.2398682;-0.2382996;-0.2398395;-0.2434922;-0.244858;-0.2465409;-0.2458487;-0.2442566;-0.2453476;-0.2469041;-0.2504359;-0.2508331;-0.2490506;-0.2503134;-0.2491473;-0.2481465;-0.2498275;-0.2498349;-0.2481095;-0.2456507;-0.2451784;-0.2457419;-0.2454116;-0.2461862;-0.2464543;-0.247749;-0.2492606;-0.2455834;-0.2435225;-0.2470013;-0.2496736;-0.2505096;-0.2499909;-0.2493235;-0.2485501;-0.2465167;-0.2467772;-0.246937;-0.2451379;-0.2457921;-0.2464188;-0.2463481;-0.2476522;-0.2473907;-0.2468407;-0.2473124;-0.2462861;-0.2454322;-0.2457269;-0.2450225;-0.2440956;-0.2441782;-0.2437756;-0.242309;-0.2411136;-0.2400816;-0.2405466;-0.2442727;-0.2468797;-0.2459798;-0.2453621;-0.2456698;-0.2440167;-0.2413521;-0.2413307;-0.2423843;-0.2432608;-0.2448374;-0.2436651;-0.2413548;-0.2419582;-0.243567;-0.2448815;-0.2447479;-0.2437961;-0.2435856;-0.2420031;-0.2408272;-0.2409429;-0.239129;-0.2393549;-0.2447808;-0.2496979;-0.2492305;-0.2461964;-0.244382;-0.2414595;-0.2399159;-0.2417707;-0.2419926;-0.2433647;-0.245141;-0.2429646;-0.2407197;-0.2389054
23;5;2;-0.2429379;-0.243503;-0.2460111;-0.2477874;-0.2479647;-0.2479983;-0.2480832;-0.2464944;-0.246467;-0.2493169;-0.2488678;-0.2492258;-0.2491258;-0.2443051;-0.2452082;-0.2469635;-0.244216;-0.2452503;-0.2463291;-0.2461952;-0.2487518;-0.2516327;-0.2515417;-0.2481402;-0.2464723;-0.2468751;-0.2456224;-0.2445957;-0.2478229;-0.2525687;-0.2516723;-0.2486682;-0.2459057;-0.2421825;-0.2463676;-0.2528633;-0.2514629;-0.2509892;-0.2524828;-0.2509435;-0.2496182;-0.2497072;-0.2503176;-0.2500093;-0.2490009;-0.2467514;-0.2426591;-0.2412643;-0.2405273;-0.2407103;-0.2482325;-0.2544247;-0.252008;-0.2477242;-0.2446754;-0.2426353;-0.2447797;-0.2498929;-0.2507732;-0.2487961;-0.2464945;-0.2423601;-0.2428518;-0.2473547;-0.2511435;-0.2538186;-0.2510822;-0.248606;-0.2499954;-0.2474954;-0.2447695;-0.2472751;-0.2506825;-0.2514044;-0.2488452;-0.2459233;-0.2461067;-0.2463173;-0.2452136;-0.2463943;-0.2480725;-0.2495646;-0.2506863;-0.2483511;-0.2467124;-0.2471323;-0.2472248;-0.2478379;-0.2488925;-0.2518679;-0.2529934;-0.2498988;-0.2473193;-0.2453407;-0.2435741;-0.243345;-0.2457369;-0.2467607;-0.2450132;-0.2461279;-0.2460915;-0.245606;-0.248214;-0.2488084;-0.2488216;-0.2479596;-0.2449891;-0.2405146;-0.2375907;-0.2419268;-0.2441971;-0.2406876;-0.2407589;-0.2456334;-0.2505142;-0.2487645;-0.2454349;-0.2462171;-0.2457482;-0.2465769;-0.2474443;-0.2441351;-0.2424792;-0.2437935;-0.2443622;-0.2409213;-0.2373135;-0.2392872
29;4;2;0.166638;0.164668;0.164198;0.1671884;0.1705382;0.1680478;0.1649925;0.1672646;0.1669884;0.1659913;0.1670507;0.1658955;0.1663505;0.1671542;0.1655795;0.1656826;0.1663635;0.1656404;0.1647995;0.1634389;0.1621406;0.1639559;0.1686362;0.1730909;0.1735924;0.1679667;0.1633205;0.1645499;0.1635922;0.1598397;0.1618079;0.1652998;0.1661691;0.1686593;0.1676862;0.1643842;0.1655563;0.1654344;0.1648347;0.1659567;0.1658329;0.1668228;0.1658945;0.163757;0.1648095;0.1657037;0.1662569;0.1668436;0.166702;0.1668403;0.1674627;0.1688079;0.1699024;0.1711001;0.1713031;0.1702998;0.1710129;0.1710289;0.1701122;0.1691702;0.16651;0.1660864;0.1671845;0.1664605;0.1666038;0.1670337;0.1677341;0.1702179;0.1716544;0.1716765;0.1722598;0.1717983;0.1684348;0.165736;0.1678435;0.1716617;0.1722728;0.1695487;0.1674013;0.1697733;0.1729741;0.1722827;0.1716658;0.1717135;0.1703439;0.1707265;0.1712064;0.1705059;0.1709716;0.1707023;0.1697875;0.1689796;0.1674401;0.1663605;0.166745;0.1689314;0.1708713;0.1710844;0.1708041;0.170505;0.1700784;0.1693449;0.1701047;0.1714875;0.1707142;0.1706016;0.1713151;0.1717071;0.1734312;0.1737105;0.1712402;0.1685077;0.1673795;0.1681841;0.1682957;0.1683096;0.1708688;0.1732546;0.1733086;0.1728494;0.171284;0.1685286;0.1691175;0.1712403;0.1709798;0.1725911;0.1744584;0.1734183
33;4;2;0.4317013;0.4302747;0.4257271;0.4260828;0.4333574;0.4394988;0.4446132;0.4435844;0.4407974;0.4394943;0.4333764;0.4326064;0.4352777;0.4349374;0.4372828;0.4319163;0.4235446;0.4270189;0.4319386;0.4367984;0.4456201;0.4489616;0.4462084;0.44186;0.4374475;0.4356422;0.4331717;0.4275635;0.4267983;0.4319562;0.4347888;0.4367446;0.4378869;0.4344539;0.4320571;0.4315525;0.4308206;0.4331349;0.4366478;0.4369481;0.4357441;0.4351441;0.431838;0.4297252;0.4322279;0.4347175;0.438021;0.4360223;0.4310218;0.4347168;0.4357608;0.4326424;0.4337133;0.4328127;0.431393;0.430425;0.4298631;0.4316604;0.4320685;0.4336151;0.4340981;0.4324045;0.4336097;0.43259;0.4311469;0.4323949;0.4320012;0.4327458;0.4338076;0.4333923;0.4342008;0.4344711;0.4321758;0.4295134;0.4302987;0.431671;0.4325231;0.4375056;0.4394293;0.4331381;0.4289251;0.4321362;0.4347501;0.4318174;0.4304391;0.4318573;0.4319879;0.433261;0.4344866;0.4346405;0.4341275;0.4326703;0.4335841;0.4345612;0.4345621;0.4349555;0.4335368;0.4330489;0.4334898;0.4332019;0.4334753;0.4332318;0.4329788;0.4316531;0.4298423;0.431031;0.4335746;0.4351335;0.4341711;0.4328908;0.4357618;0.4396901;0.4409072;0.4391267;0.4336623;0.4288348;0.4302556;0.433558;0.4333658;0.4328469;0.4320233;0.4305714;0.4321677;0.4325626;0.4316008;0.4340683;0.4353505;0.434428
37;4;2;0.4349594;0.4329041;0.432877;0.4343967;0.4346226;0.4367805;0.4363299;0.4344854;0.4349311;0.4340299;0.4319885;0.4303376;0.4317376;0.4345;0.4323457;0.431166;0.433484;0.4337879;0.4350551;0.4364107;0.43417;0.4316818;0.4320752;0.435006;0.4364713;0.4344853;0.4324361;0.4332008;0.4343134;0.4346378;0.4363534;0.4348511;0.4319357;0.4336406;0.4337647;0.4332617;0.4364284;0.4380289;0.4360849;0.4318741;0.4298097;0.4323634;0.4342538;0.4336837;0.4346594;0.4371998;0.4372023;0.4377985;0.4417308;0.4430884;0.4394254;0.4338607;0.4319304;0.433135;0.4348786;0.4384509;0.4363056;0.4318139;0.4338036;0.4336123;0.4326766;0.4339933;0.4329358;0.4333732;0.4332301;0.4316951;0.4326793;0.4337123;0.43391;0.4345686;0.4365993;0.4382797;0.4399058;0.44123;0.4391745;0.4371505;0.4337114;0.4298443;0.4299498;0.4296449;0.433311;0.4382037;0.4359841;0.4358887;0.4394553;0.4408648;0.4399706;0.4369714;0.4346129;0.4340525;0.4338977;0.4324968;0.43265;0.4366635;0.4384648;0.4373312;0.4369327;0.4353323;0.4315319;0.4300984;0.4346852;0.4394173;0.4391822;0.43763;0.4370868;0.4362882;0.4341253;0.4325988;0.4337312;0.4356015;0.4372912;0.4380445;0.4372926;0.4373543;0.4372353;0.4346346;0.4325307;0.4333106;0.4346904;0.4347994;0.4345086;0.433902;0.4333227;0.4350605;0.4369046;0.4357588;0.4341588;0.4337637
