;Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
1;5;2;0.09792958;0.09935086;0.09811381;0.09751712;0.0974719;0.09657678;0.09774064;0.09730921;0.09815882;0.1011657;0.1016211;0.1015734;0.1011669;0.1013595;0.1011384;0.09923839;0.1005806;0.1025034;0.1001684;0.09859667;0.1007798;0.1003598;0.09920002;0.1017142;0.101472;0.1012259;0.1026532;0.1016078;0.1006335;0.09614245;0.09032558;0.0899055;0.0931167;0.09574084;0.09424991;0.09448054;0.09775536;0.09900205;0.09852306;0.09542946;0.0942117;0.09773522;0.1021875;0.1034573;0.09961019;0.09758879;0.09861568;0.09788232;0.09687653;0.09700962;0.09758221;0.09707332;0.09742485;0.0993411;0.1000578;0.09856404;0.09317716;0.08874205;0.09050464;0.09484291;0.09835045;0.1003852;0.09987355;0.09498741;0.09111667;0.0926756;0.09606378;0.09989713;0.0976265;0.08829054;0.08224058;0.08109954;0.08129546;0.08192691;0.08754584;0.09374196;0.09105401;0.08817375;0.08861402;0.09200702;0.09805868;0.09542812;0.09248751;0.0956355;0.09434238;0.09421302;0.09695504;0.09729701;0.09752661;0.09736884;0.09889255;0.1005364;0.09808253;0.0973082;0.1017617;0.1057878;0.1045294;0.1014726;0.09628423;0.08711603;0.08820557;0.09679566;0.09681245;0.09896355;0.1045728;0.1034254;0.1007337;0.097965;0.09971603;0.1044111;0.1033368;0.1036703;0.1030473;0.09924684;0.1006844;0.1009733;0.09797125;0.09568395;0.09453667;0.09875904;0.1019772;0.09536033;0.0894662;0.09512551;0.09949626;0.0935352;0.08903516;0.09061235
5;5;2;0.07878516;0.08098401;0.08581952;0.08452033;0.08541258;0.08738365;0.08693078;0.08858837;0.08909786;0.09038661;0.09029783;0.08450735;0.08087192;0.08160151;0.08420486;0.08477148;0.08319102;0.08445544;0.08451391;0.08492865;0.08635853;0.08418038;0.08511177;0.08642056;0.08410816;0.08310888;0.08016301;0.07662198;0.07827945;0.08425404;0.08564798;0.08148957;0.08467484;0.08821116;0.08647065;0.08750284;0.08295305;0.07912545;0.08473824;0.08717847;0.08536979;0.08491139;0.09015359;0.09338777;0.08302154;0.07459499;0.07991183;0.08517682;0.08289455;0.08407489;0.08564776;0.08209955;0.08619578;0.08971486;0.08802763;0.09031209;0.08871301;0.08695664;0.08652167;0.08163972;0.07965219;0.08132876;0.08539719;0.08881566;0.08734129;0.08477703;0.08260607;0.08173948;0.08398118;0.08740009;0.0881028;0.08714885;0.0868901;0.08377249;0.08005285;0.07997915;0.07905167;0.07723353;0.08217728;0.09058179;0.09380889;0.09314177;0.08993386;0.08793666;0.08813772;0.08795653;0.09043269;0.09057128;0.09116625;0.09240398;0.08586243;0.08320327;0.08329193;0.08107823;0.08268112;0.0835521;0.08525853;0.08611201;0.08824243;0.09293447;0.08740894;0.08250078;0.08716869;0.09013824;0.09086485;0.09084389;0.08779013;0.08679176;0.09207658;0.09525821;0.09411021;0.09242473;0.08634736;0.08175773;0.08471664;0.08768471;0.08610855;0.08618254;0.08887408;0.08810863;0.08868306;0.08923717;0.08536501;0.08460996;0.0863954;0.08812156;0.08816615;0.08748509
9;5;2;0.07531443;0.07591377;0.07628165;0.07840084;0.07822336;0.07710193;0.0780748;0.07796333;0.0762752;0.07278632;0.06787617;0.06953145;0.07267315;0.07091466;0.07499965;0.08015592;0.07845136;0.07907822;0.08171343;0.08189199;0.08069371;0.0769303;0.07326319;0.07414969;0.07760411;0.07882568;0.07775962;0.07433817;0.06925904;0.07073309;0.07424789;0.07139767;0.07120782;0.07188807;0.07307677;0.08239952;0.08334509;0.07430983;0.0717141;0.07186395;0.07255037;0.07331292;0.07236416;0.07251882;0.07255992;0.07579149;0.07857631;0.07407057;0.07032275;0.07074475;0.07086121;0.06960436;0.06810958;0.06692758;0.06663895;0.06861026;0.07039318;0.07057477;0.0693172;0.06728232;0.06874864;0.07307697;0.07599545;0.07555214;0.07453064;0.0770592;0.07864804;0.07744821;0.07773493;0.07581548;0.066876;0.05868553;0.06475687;0.07741084;0.07955869;0.07830124;0.07863913;0.07794198;0.081315;0.08158643;0.07882527;0.07772717;0.06802327;0.05999279;0.06736973;0.07404096;0.06965931;0.06816807;0.07350647;0.07419606;0.07341315;0.07488236;0.07485543;0.07574439;0.07660081;0.07756073;0.07547555;0.07006659;0.07026099;0.0703428;0.06778871;0.06800683;0.06800661;0.06812989;0.06880267;0.07252361;0.08102363;0.0866607;0.08526401;0.08194239;0.08228697;0.07945262;0.07117351;0.06686348;0.06527802;0.06882314;0.07764013;0.0790217;0.07820061;0.08335442;0.08763644;0.08666681;0.08378151;0.08386174;0.08255002;0.08064469;0.0818149;0.07943561
11;5;2;0.07647216;0.07494759;0.07478262;0.07738036;0.0744915;0.07242009;0.07533557;0.07500485;0.07463637;0.07332636;0.07157445;0.07326639;0.074542;0.07629319;0.07842383;0.07691976;0.07191602;0.07068122;0.07594786;0.07621983;0.07165972;0.07325624;0.07895482;0.08333156;0.08231072;0.07583797;0.07037875;0.06666255;0.06750148;0.07164508;0.07264928;0.07864934;0.08373059;0.07711028;0.07294119;0.07638229;0.08199794;0.08562372;0.0820606;0.07621583;0.07540304;0.07822254;0.08153674;0.08572749;0.084107;0.07821358;0.07547026;0.06937052;0.0691059;0.07632459;0.07853337;0.08445306;0.08714827;0.08268363;0.07943156;0.07091946;0.07103642;0.07633935;0.07062072;0.07309296;0.08119076;0.08289593;0.08223304;0.07891713;0.07872325;0.07702548;0.07528321;0.07929707;0.08005674;0.08192308;0.08234582;0.07672755;0.07502708;0.07542078;0.07597652;0.07813399;0.07778649;0.07364507;0.07154289;0.07524243;0.07818954;0.07724826;0.07570106;0.07631878;0.07602683;0.07139458;0.06830497;0.06976069;0.07404458;0.07776549;0.07828847;0.07705832;0.07510434;0.0771238;0.08079301;0.07749559;0.07241957;0.07187804;0.07151321;0.07118779;0.07354219;0.07584141;0.07808265;0.07692424;0.07326719;0.07546478;0.07735917;0.07923219;0.08345993;0.07881542;0.07043108;0.06751884;0.07166811;0.07717135;0.07234155;0.06902327;0.07465254;0.07570352;0.07376241;0.07359349;0.07428854;0.07566325;0.07521919;0.07653249;0.07870532;0.07697594;0.07390996;0.07175283
15;5;2;-0.01013614;-0.0111351;-0.008086015;-0.007619000999999999;-0.009524877;-0.01167545;-0.01433536;-0.0117177;-0.01181955;-0.01411745;-0.01287323;-0.01743347;-0.01700719;-0.009347925;-0.008724447;-0.01013783;-0.009943675;-0.00940547;-0.009724039;-0.01044439;-0.01099499;-0.0130643;-0.01087228;-0.008490266;-0.01105466;-0.01426585;-0.01728404;-0.01467814;-0.01055495;-0.01257684;-0.0121866;-0.0085943;-0.007006483000000001;-0.005893066;-0.01028228;-0.01918388;-0.02043117;-0.01586246;-0.01357748;-0.0136953;-0.01531674;-0.01638887;-0.01611704;-0.01330193;-0.009687028;-0.01070077;-0.01109133;-0.008819976;-0.01042524;-0.01379259;-0.01552857;-0.01376681;-0.009419686;-0.009493382;-0.01210232;-0.01268189;-0.0122717;-0.009535904;-0.0074644;-0.008172421;-0.0076775440000000006;-0.00693263;-0.008730182;-0.01128437;-0.01043167;-0.008080581;-0.008412775;-0.009475985;-0.01119331;-0.01390376;-0.0167044;-0.01820806;-0.01621144;-0.01406347;-0.0103382;-0.0052841;-0.008137885;-0.0119554;-0.00985769;-0.01131762;-0.01334493;-0.01139513;-0.0115706;-0.01120786;-0.007709485;-0.0062614409999999995;-0.009767652;-0.01279603;-0.01157786;-0.01240656;-0.01323288;-0.01178568;-0.01192964;-0.008144076;-0.00435058;-0.008118185;-0.01129879;-0.009957613;-0.01079869;-0.01459921;-0.01702529;-0.02006027;-0.02124921;-0.02093209;-0.02571587;-0.02548063;-0.01989761;-0.01924344;-0.01973249;-0.02321434;-0.02506436;-0.01752939;-0.01150624;-0.01326156;-0.01612729;-0.0171193;-0.02183448;-0.02429567;-0.02067914;-0.02283015;-0.02481964;-0.0243433;-0.02615563;-0.02426661;-0.02452993;-0.02417474;-0.02160812;-0.02433908
19;5;2;-0.01060276;-0.01236118;-0.01230908;-0.01458849;-0.01767769;-0.02025467;-0.02017854;-0.01840324;-0.0195046;-0.01801622;-0.01536683;-0.017105;-0.01756499;-0.01980881;-0.02372947;-0.02237996;-0.02040478;-0.01734898;-0.0120604;-0.01244935;-0.01640504;-0.01949911;-0.02328522;-0.02134967;-0.01671788;-0.01750069;-0.01506367;-0.01379063;-0.01616707;-0.01226417;-0.01416413;-0.02010434;-0.0167416;-0.01457149;-0.01553917;-0.01443526;-0.01719073;-0.02107462;-0.01851184;-0.01494093;-0.01475598;-0.01589399;-0.01840108;-0.01996806;-0.0209135;-0.02176461;-0.02193852;-0.02077535;-0.01670131;-0.01400818;-0.01115117;-0.01013537;-0.01439589;-0.01592179;-0.01730868;-0.01942691;-0.0208552;-0.02323553;-0.02019267;-0.01825463;-0.01995639;-0.01796003;-0.01596515;-0.01479621;-0.01556701;-0.01869955;-0.02053607;-0.02065583;-0.0186432;-0.01823535;-0.01850484;-0.01737894;-0.01894917;-0.02086971;-0.02257932;-0.02267809;-0.01916989;-0.01741027;-0.01716462;-0.02066016;-0.02557545;-0.02240304;-0.01909151;-0.01974439;-0.01926548;-0.02082472;-0.02306519;-0.02339245;-0.02123817;-0.01817738;-0.01860386;-0.01663542;-0.01252314;-0.01542238;-0.01808489;-0.01502726;-0.01346884;-0.01264813;-0.01293213;-0.0190663;-0.02374123;-0.02168477;-0.01895377;-0.01771816;-0.01761121;-0.01852024;-0.01710384;-0.01329322;-0.01012489;-0.01089431;-0.01533716;-0.01847666;-0.02029782;-0.0209672;-0.02114652;-0.02291835;-0.02064736;-0.01701742;-0.01754641;-0.01678411;-0.01365392;-0.01229494;-0.0142246;-0.01515268;-0.01810052;-0.02337658;-0.02012168;-0.01765146
23;5;2;-0.02022653;-0.02200053;-0.02198387;-0.02413918;-0.02169225;-0.01742002;-0.01616022;-0.0148107;-0.01611163;-0.01770478;-0.01817567;-0.01996959;-0.0197701;-0.01858903;-0.01771502;-0.01530367;-0.01457186;-0.01611866;-0.01703376;-0.01760768;-0.01503173;-0.01079693;-0.01279957;-0.0162698;-0.01643628;-0.01630546;-0.01472331;-0.01546396;-0.01872086;-0.01948683;-0.01900719;-0.01870139;-0.02402001;-0.03008089;-0.02611319;-0.02316409;-0.0252634;-0.02249563;-0.01983289;-0.02270262;-0.02469764;-0.02335336;-0.02330247;-0.02384228;-0.0212411;-0.01568702;-0.01171441;-0.017132;-0.02394719;-0.02033597;-0.01667312;-0.01535942;-0.01312643;-0.01713109;-0.01691493;-0.01324421;-0.01993356;-0.02436271;-0.0248686;-0.02466572;-0.01577679;-0.01028695;-0.01261592;-0.01537067;-0.01850821;-0.02259876;-0.02704317;-0.02532589;-0.02169923;-0.02012689;-0.01798993;-0.02013162;-0.01950376;-0.01660374;-0.01731129;-0.01685463;-0.01824148;-0.01605199;-0.01015918;-0.01015946;-0.01421704;-0.02091059;-0.02419557;-0.02471052;-0.02600447;-0.02328316;-0.02304898;-0.02343621;-0.02155651;-0.02438254;-0.02499458;-0.02118783;-0.0184403;-0.01867158;-0.01943071;-0.01615969;-0.01517965;-0.01562462;-0.01366586;-0.01406636;-0.01381189;-0.01403549;-0.01718924;-0.02212016;-0.0258451;-0.01902632;-0.01256799;-0.01828109;-0.02055259;-0.01418918;-0.01086542;-0.01257686;-0.01349137;-0.01397337;-0.01694836;-0.0181275;-0.01699271;-0.01684958;-0.01499955;-0.01256391;-0.0123394;-0.01170668;-0.01145082;-0.01237339;-0.01255956;-0.01404387;-0.01785777;-0.02226602
29;4;2;0.3757551;0.3764869;0.3765064;0.3740189;0.3739298;0.3761097;0.3790738;0.3800516;0.3801161;0.3812259;0.3781823;0.3727239;0.3676235;0.3674593;0.3727532;0.3718083;0.3720173;0.3770718;0.3749088;0.3740029;0.3760603;0.3746117;0.376782;0.3814954;0.3827477;0.3759411;0.3673391;0.3703281;0.3738935;0.3736911;0.3788402;0.3764511;0.3706504;0.374715;0.3747035;0.3712689;0.3711579;0.3710197;0.3766423;0.3811488;0.3787897;0.3774628;0.375984;0.3740491;0.3730597;0.3727098;0.3755263;0.3790392;0.3783373;0.3766689;0.378361;0.3780061;0.3770511;0.3781404;0.3752953;0.3723482;0.3710461;0.3702156;0.3718474;0.3733589;0.375658;0.3758513;0.3741789;0.3731155;0.3670588;0.3638358;0.3668865;0.368645;0.3721309;0.3744815;0.3747162;0.3769904;0.3769983;0.3768609;0.3768159;0.3753345;0.3755074;0.3721566;0.3701985;0.3758822;0.378877;0.3761856;0.3737516;0.3754099;0.3775481;0.3764302;0.3730037;0.3682919;0.37275;0.3815802;0.3805102;0.3774511;0.3732371;0.3692832;0.3741585;0.3788218;0.3800488;0.3805886;0.3798332;0.3819756;0.3824072;0.3769831;0.3724114;0.370698;0.3702603;0.3703022;0.3690997;0.3696608;0.3728421;0.3751405;0.3770465;0.3790741;0.3812296;0.3815276;0.3814142;0.3829037;0.3766117;0.3690117;0.3721808;0.3736641;0.3710861;0.3728173;0.3753236;0.3794403;0.3829644;0.3776154;0.3728931;0.3771551
33;4;2;0.4514316;0.452416;0.4583686;0.460745;0.4603593;0.4609524;0.4624048;0.4589;0.4512072;0.4503331;0.4509712;0.4499089;0.4518347;0.4533243;0.453591;0.4551633;0.4588126;0.4600752;0.4618188;0.4662367;0.46127;0.4547423;0.4578935;0.4585087;0.4554189;0.4543321;0.4525188;0.4529858;0.4550221;0.4531518;0.4525337;0.4561272;0.4585488;0.4587635;0.4580886;0.4581904;0.458508;0.4558952;0.4504901;0.4460809;0.4506843;0.4588788;0.4580734;0.4560527;0.4560461;0.4504063;0.4444582;0.4453668;0.4501101;0.4528185;0.4557337;0.4580744;0.4553013;0.4532284;0.4526325;0.4523159;0.4533558;0.4521347;0.4508795;0.4501899;0.4511497;0.4538408;0.4514864;0.4486745;0.4488391;0.4491236;0.4505731;0.4501278;0.4496761;0.4513623;0.4514567;0.4515939;0.4523248;0.4525286;0.4513071;0.4487506;0.4486397;0.4499376;0.4522042;0.4558753;0.4573319;0.4569724;0.454925;0.4528245;0.4517899;0.4494008;0.4503715;0.4527177;0.4516717;0.4521498;0.4525481;0.4523644;0.4528323;0.4498495;0.4477831;0.4499522;0.4523251;0.453258;0.452762;0.4525736;0.4529564;0.4523571;0.4506054;0.4477322;0.4464079;0.447809;0.4492179;0.450246;0.4505576;0.4504929;0.4517386;0.4517176;0.4508711;0.4516886;0.4523219;0.4555808;0.4605442;0.4613617;0.4613826;0.4584879;0.4508796;0.4501115;0.4539291;0.4540215;0.4541547;0.4528311;0.4517192;0.4536832
37;4;2;0.4502112;0.4513059;0.4502258;0.4488377;0.448373;0.4483564;0.4479018;0.4474091;0.449709;0.4524049;0.4504038;0.4481882;0.4487481;0.4489422;0.4504961;0.4529735;0.4527686;0.4507553;0.4494606;0.4499018;0.4499557;0.44803;0.4478993;0.4534074;0.4584175;0.453613;0.4470069;0.4485034;0.4493954;0.4474762;0.4468729;0.4438996;0.4444456;0.4505864;0.4525956;0.4515514;0.4530116;0.4556907;0.4553801;0.4533128;0.4518807;0.4490752;0.4491814;0.4506056;0.4490709;0.4503425;0.4505054;0.4494363;0.4526933;0.4545802;0.4569562;0.459491;0.457365;0.454216;0.4501417;0.4499189;0.4561171;0.4589563;0.4542398;0.4489465;0.4506951;0.4527022;0.4513297;0.4527529;0.452876;0.4524834;0.4532986;0.452629;0.4549609;0.4571633;0.4569872;0.4571222;0.4564525;0.4559037;0.4533599;0.4507808;0.4505773;0.4496562;0.4504742;0.4529423;0.4543589;0.4528775;0.4499791;0.450554;0.450364;0.4492209;0.4508919;0.4517527;0.4529744;0.453444;0.4516936;0.4509;0.4479086;0.4461493;0.4487516;0.4489158;0.4485057;0.4506193;0.4545685;0.4577987;0.4535225;0.4483666;0.4498286;0.449778;0.4479167;0.4497896;0.4513333;0.4513748;0.4542951;0.4581227;0.456949;0.4521603;0.4499297;0.4500508;0.4495696;0.449282;0.450474;0.4501615;0.4455955;0.4440288;0.4483407;0.4510856;0.4495196;0.4443881;0.4401622;0.4397985;0.4414523;0.4434581
