Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
5;3;1.0231270000000001;1.021882;1.0191780000000001;1.0158610000000001;1.012893;1.016451;1.0203309999999999;1.020266;1.021759;1.018649;1.013117;1.016167;1.018977;1.016653;1.017782;1.020528;1.0218770000000001;1.022096;1.020731;1.020761;1.020405;1.0202129999999998;1.021675;1.019989;1.017997;1.017391;1.017994;1.0216610000000002;1.022348;1.0203360000000001;1.019066;1.018882;1.0200129999999998;1.018262;1.017474;1.0189540000000001;1.019628;1.022794;1.024238;1.022783;1.0204870000000001;1.018146;1.019779;1.019922;1.018709;1.0199799999999999;1.019301;1.0192430000000001;1.020169;1.020892;1.0227709999999999;1.0215530000000002;1.019811;1.020246;1.019291;1.019258;1.020736;1.02095;1.020491;1.018685;1.01566;1.014788;1.016499;1.017849;1.017682;1.018149;1.019854;1.01988;1.019121;1.0204790000000001;1.0205950000000001;1.01634;1.0106110000000001;1.009013;1.015016;1.024026;1.027664;1.022425;1.015007;1.014774;1.017851;1.019387;1.021093;1.022092;1.024232;1.025311;1.022033;1.020125;1.02158;1.022957;1.022148;1.021799;1.022725;1.02178;1.0209030000000001;1.019081;1.017221;1.019547;1.02177;1.022134;1.020713;1.0184870000000001;1.0203309999999999;1.024399;1.0267680000000001;1.0237040000000002;1.016694;1.0148549999999998;1.0175450000000001;1.022063;1.026897;1.0252569999999999;1.022442;1.022451;1.0201040000000001;1.02014;1.020892;1.018699;1.020304;1.021516;1.019417;1.019312;1.019448;1.019434;1.019916;1.021041;1.022935;1.022019
5;3;1.016458;1.016084;1.0188469999999998;1.023973;1.019743;1.016427;1.021919;1.025077;1.025249;1.0247110000000001;1.0229409999999999;1.021915;1.021757;1.021835;1.0212379999999999;1.0209030000000001;1.019398;1.0169;1.018283;1.019588;1.01885;1.018999;1.017655;1.017879;1.019592;1.019244;1.019651;1.019465;1.0191729999999999;1.019809;1.019181;1.019495;1.019778;1.020253;1.022243;1.0222959999999999;1.021207;1.020592;1.0206879999999998;1.021118;1.020648;1.020834;1.0207959999999998;1.0199340000000001;1.020202;1.0211350000000001;1.021995;1.022282;1.02229;1.0222360000000001;1.022095;1.022009;1.0203799999999998;1.0186549999999999;1.018125;1.016268;1.014853;1.016995;1.019053;1.018119;1.0185389999999999;1.020341;1.020415;1.021908;1.023996;1.024485;1.02512;1.023884;1.021244;1.019876;1.018095;1.016068;1.016961;1.020785;1.0231709999999998;1.0218610000000001;1.019083;1.017954;1.020559;1.023772;1.024165;1.024125;1.022127;1.017759;1.0181639999999998;1.019983;1.018756;1.0197559999999999;1.0197559999999999;1.018933;1.021144;1.021757;1.0223959999999999;1.022788;1.022324;1.023615;1.0226959999999998;1.022405;1.021916;1.016982;1.014804;1.017978;1.02257;1.023087;1.020983;1.020867;1.019158;1.019881;1.0229190000000001;1.021859;1.020885;1.0190569999999999;1.01704;1.01835;1.0182360000000001;1.017752;1.018462;1.01938;1.022407;1.024753;1.024566;1.024441;1.023631;1.0215040000000002;1.021849;1.023488;1.0244540000000002;1.027167
5;3;1.0194;1.019465;1.020643;1.022011;1.0224959999999998;1.022227;1.0220790000000002;1.022326;1.022229;1.022135;1.022319;1.022175;1.022559;1.0240770000000001;1.025468;1.024908;1.0227899999999999;1.021849;1.022145;1.022178;1.021354;1.0207700000000002;1.022645;1.024348;1.02344;1.022417;1.022147;1.02213;1.022294;1.022241;1.0219790000000002;1.021549;1.021469;1.02233;1.02242;1.0208110000000001;1.019889;1.020347;1.0218209999999999;1.022886;1.021973;1.022052;1.022217;1.02014;1.01901;1.019309;1.01967;1.01926;1.018701;1.019819;1.021144;1.021024;1.0194290000000001;1.017873;1.016584;1.016271;1.018988;1.020634;1.021252;1.022075;1.019258;1.017782;1.018658;1.0186979999999999;1.0207700000000002;1.0215610000000002;1.021268;1.022727;1.022307;1.021894;1.022508;1.0217370000000001;1.020421;1.0195239999999999;1.021811;1.024737;1.022451;1.0194459999999999;1.019363;1.019323;1.019683;1.020637;1.021779;1.0225959999999998;1.021199;1.020342;1.021051;1.0208139999999999;1.0207760000000001;1.020728;1.019867;1.019596;1.021074;1.022817;1.02146;1.02023;1.0220049999999998;1.02263;1.022053;1.022225;1.022259;1.0222069999999999;1.022394;1.022944;1.022642;1.020247;1.018788;1.020597;1.022175;1.021183;1.01968;1.0188959999999998;1.018581;1.017991;1.018265;1.0210290000000002;1.0230059999999999;1.022349;1.0215020000000001;1.020571;1.019036;1.019362;1.021775;1.022605;1.0221879999999999;1.0222209999999998;1.0221200000000001;1.0221799999999999
5;3;1.011267;1.010825;1.0103280000000001;1.008956;1.00673;1.005199;1.004961;1.00616;1.0060129999999998;1.008191;1.0128629999999998;1.013026;1.011736;1.010701;1.00806;1.0067959999999998;1.006071;1.005347;1.007133;1.010999;1.013556;1.012707;1.011888;1.012471;1.0108139999999999;1.0088549999999998;1.009779;1.010074;1.00938;1.00969;1.008874;1.0084540000000002;1.011049;1.013264;1.011659;1.00932;1.0097040000000002;1.009901;1.009482;1.009925;1.0096379999999998;1.009668;1.009694;1.008661;1.008173;1.008385;1.009725;1.011436;1.011393;1.010258;1.01075;1.0116889999999998;1.009702;1.0083030000000002;1.008329;1.0070780000000001;1.00691;1.007258;1.008626;1.010538;1.009652;1.009439;1.010011;1.009558;1.009773;1.009734;1.009686;1.009592;1.008416;1.006333;1.00539;1.008254;1.010685;1.008865;1.007701;1.010044;1.012866;1.013932;1.011383;1.0076370000000001;1.00884;1.0114370000000001;1.012901;1.015896;1.0142520000000002;1.010633;1.01197;1.011235;1.009155;1.00906;1.006928;1.007157;1.011009;1.012928;1.011218;1.008465;1.009687;1.010537;1.008371;1.007385;1.005467;1.0074040000000002;1.011863;1.010334;1.010621;1.012312;1.01126;1.01292;1.0127620000000002;1.010714;1.0104440000000001;1.009241;1.009603;1.010174;1.009295;1.0099129999999998;1.009794;1.009488;1.010333;1.011348;1.012889;1.0115610000000002;1.008481;1.008204;1.0092290000000002;1.010069;1.009859;1.0093809999999999
5;3;1.011234;1.013388;1.0122799999999998;1.0102879999999999;1.0105469999999999;1.0110780000000001;1.010864;1.008368;1.006599;1.010537;1.014014;1.012577;1.011781;1.012791;1.011664;1.010269;1.010499;1.009509;1.009378;1.010194;1.009435;1.0100930000000001;1.011696;1.0124360000000001;1.011126;1.00868;1.009673;1.010519;1.010218;1.0125030000000002;1.013005;1.012094;1.0123280000000001;1.010351;1.007295;1.006666;1.008831;1.010534;1.009647;1.009416;1.0101930000000001;1.010509;1.011325;1.011344;1.010802;1.0110700000000001;1.010286;1.0092780000000001;1.009766;1.009876;1.009572;1.009786;1.009737;1.009673;1.009767;1.009523;1.0088270000000001;1.008074;1.00839;1.0094450000000001;1.00989;1.009786;1.009634;1.0098989999999999;1.010692;1.011483;1.012139;1.0120639999999999;1.009603;1.005803;1.005542;1.007932;1.008129;1.008973;1.010907;1.01126;1.01281;1.0127620000000002;1.0099850000000001;1.009305;1.008789;1.008232;1.009303;1.0099479999999998;1.009888;1.010031;1.01244;1.01488;1.0137770000000002;1.011838;1.008941;1.005741;1.00729;1.011382;1.01311;1.012812;1.01213;1.012472;1.0126549999999999;1.0111;1.0100360000000002;1.009876;1.011297;1.013421;1.012473;1.011701;1.0111620000000001;1.009305;1.011287;1.013614;1.0123229999999999;1.012141;1.012879;1.012362;1.0124;1.012701;1.011808;1.0098559999999999;1.007596;1.008765;1.013549;1.015918;1.013882;1.011341;1.0123959999999999;1.013301;1.011795;1.012324
5;3;1.010692;1.011483;1.012139;1.0120639999999999;1.009603;1.005803;1.005542;1.007932;1.008129;1.008973;1.010907;1.01126;1.01281;1.0127620000000002;1.0099850000000001;1.009305;1.008789;1.008232;1.009303;1.0099479999999998;1.009888;1.010031;1.01244;1.01488;1.0137770000000002;1.011838;1.008941;1.005741;1.00729;1.011382;1.01311;1.012812;1.01213;1.012472;1.0126549999999999;1.0111;1.0100360000000002;1.009876;1.011297;1.013421;1.012473;1.011701;1.0111620000000001;1.009305;1.011287;1.013614;1.0123229999999999;1.012141;1.012879;1.012362;1.0124;1.012701;1.011808;1.0098559999999999;1.007596;1.008765;1.013549;1.015918;1.013882;1.011341;1.0123959999999999;1.013301;1.011795;1.012324;1.011041;1.008621;1.010326;1.01176;1.0126870000000001;1.012625;1.009627;1.006729;1.00465;1.005868;1.0089620000000001;1.009808;1.0092510000000001;1.007711;1.008484;1.010584;1.0105709999999999;1.0116100000000001;1.01275;1.0127059999999999;1.0120850000000001;1.010471;1.009871;1.011126;1.0131729999999999;1.0119340000000001;1.0103469999999999;1.01344;1.014173;1.01167;1.0096;1.0082;1.0090649999999999;1.010839;1.013255;1.0127709999999999;1.0097049999999999;1.009926;1.010673;1.012157;1.013279;1.011586;1.010869;1.00937;1.009486;1.0123010000000001;1.012432;1.011584;1.009915;1.0091;1.010203;1.0095379999999998;1.0098129999999998;1.0108700000000002;1.011095;1.011249;1.0099420000000001;1.009836;1.011606;1.0126030000000001;1.011053;1.008648;1.009742;1.0103010000000001
4;3;0.9293461;0.9315546;0.9304854;0.9289204;0.9285483;0.9281632;0.9281222;0.927213;0.9254334;0.9266514;0.9267545;0.9261471;0.9286369;0.9276121;0.9193808;0.90814;0.8991767;0.8915449;0.8900645;0.8938406;0.8830987;0.8745633;0.8895147;0.9041706;0.9178303;0.9523555;0.9907662;0.9899707;0.9698239;0.9713756;0.9518923;0.9231002;0.9476637;1.008766;1.069117;1.068734;1.031107;1.024973;0.9846557;0.9539213;1.0095290000000001;1.03683;1.006967;0.9711366;0.9248494;0.887129;0.8782788;0.8874284;0.8879131;0.898795;0.9172977;0.8890845;0.8334353;0.7805059;0.7611046;0.7915521;0.8032852;0.7882579;0.7815199;0.7588909;0.7186269;0.6960658;0.70179;0.7297977;0.791946;0.8516093;0.8441189;0.803984;0.7901217;0.8057328;0.8343014;0.8524711;0.863091;0.8571776;0.8260138;0.8164652;0.8339383;0.8574377;0.874014;0.8487889;0.8056898;0.7878997;0.8023935;0.8261406;0.8177763;0.7906339;0.7608973;0.747371;0.7666948;0.7713694;0.7676095;0.7636279;0.7335827;0.7132586;0.705209;0.7075164;0.7219236;0.7181341;0.7264331;0.7415759;0.7374748;0.7490573;0.7671012;0.7719264;0.7634516;0.7521111;0.7643231;0.7801468;0.7866777;0.7873457;0.768578;0.7515247;0.7504976;0.7523516;0.7533446;0.7566473;0.761096;0.7536572;0.7409619;0.7389059;0.7508273;0.7756605;0.7878979;0.7787361;0.7720674;0.7723684;0.7735264;0.7771575
4;3;0.7785759;0.7796643;0.7811115;0.7820473;0.7815055;0.779717;0.7803343;0.7791219;0.7767724;0.7782209;0.7802828;0.7825454;0.7831547;0.7778195;0.7739295;0.7791959;0.7842158;0.7807225;0.7782908;0.7798248;0.7789306;0.7789432;0.7792812;0.7769513;0.7765642;0.778952;0.7813302;0.7800865;0.7787009;0.783201;0.7851748;0.7800973;0.776109;0.7775893;0.7798026;0.7787437;0.779149;0.7798127;0.7794386;0.7814291;0.7811685;0.7798954;0.7793183;0.7785516;0.7806371;0.7808669;0.7794224;0.7774132;0.7735995;0.7753623;0.7795769;0.7805541;0.7791848;0.7757661;0.7764542;0.7798359;0.7806381;0.7799531;0.7775848;0.7769728;0.7765542;0.774403;0.7768752;0.7796105;0.7778759;0.7756545;0.7745566;0.7760563;0.777901;0.7778388;0.7779824;0.778797;0.7801571;0.7801023;0.7787034;0.778671;0.7780593;0.7777916;0.7812776;0.7827161;0.7785417;0.7758356;0.7763418;0.7766487;0.7776654;0.7797722;0.7808611;0.7786712;0.7759036;0.7762505;0.776633;0.7763904;0.7773692;0.7780299;0.777509;0.7758227;0.7746883;0.7757641;0.7769319;0.7767595;0.7778613;0.779093;0.7748562;0.7706567;0.7738998;0.7766785;0.7752276;0.7756068;0.7764795;0.7768748;0.7783065;0.7769588;0.7755532;0.7768431;0.7765386;0.7770384;0.7785585;0.7785141;0.7793449;0.7794241;0.7788389;0.7793473;0.778981;0.7783601;0.7785035;0.7792646;0.7795026;0.7788668
4;3;0.9613664;0.9618085;0.9605023;0.9607481;0.9586052;0.9561993;0.9586122;0.9604903;0.9577583;0.9559919;0.9573568;0.9582464;0.9590171;0.9593706;0.9577904;0.9565838;0.9544606;0.9514308;0.9517158;0.9518703;0.9510541;0.9536744;0.9557751;0.9561381;0.9583312;0.9598321;0.9563809;0.9488244;0.9459184;0.9505668;0.9544719;0.9545849;0.9538772;0.9541742;0.9545237;0.9546662;0.9552496;0.9548873;0.9554065;0.9559558;0.9542486;0.9544479;0.957015;0.9588413;0.9578753;0.955983;0.9571289;0.9573664;0.9563719;0.9571299;0.9562042;0.9555783;0.9558359;0.9545722;0.9553888;0.9558733;0.9533174;0.9522384;0.9533774;0.9559347;0.95948;0.9605615;0.959555;0.9604686;0.9615226;0.959569;0.9565882;0.9555696;0.9588896;0.9616561;0.9559066;0.9502087;0.9528535;0.95391;0.9518047;0.9535593;0.9565342;0.960772;0.9630642;0.9559729;0.9497846;0.9510948;0.9506453;0.9504354;0.9548521;0.9566545;0.9551499;0.9554647;0.9558007;0.9553524;0.9558358;0.9567959;0.9589523;0.9604557;0.9596464;0.9594672;0.9595907;0.9575262;0.9543519;0.9524466;0.9515789;0.9504839;0.9506856;0.9526276;0.9532893;0.952704;0.953629;0.9546184;0.9539332;0.9531314;0.9528187;0.9535166;0.9549791;0.9563632;0.9586383;0.9589156;0.956156;0.9564123;0.9578026;0.9559456;0.9541725;0.952389;0.9523686;0.9554212;0.9558353;0.9554099;0.9559503;0.956148
4;3;0.957807;0.9588124;0.9598615;0.9599995;0.9572769;0.9566172;0.9566205;0.9547458;0.9520437;0.9503671;0.9519205;0.9525427;0.9525452;0.953307;0.9523966;0.9527981;0.9530591;0.9523951;0.9532432;0.9535858;0.954328;0.9543189;0.9528399;0.9527465;0.9532313;0.9549253;0.9548659;0.9502891;0.9490162;0.9524821;0.953455;0.9526546;0.9540394;0.9563243;0.9574894;0.9570327;0.9565822;0.9572014;0.9569374;0.95676;0.9571766;0.9564344;0.955176;0.95372;0.9530878;0.9511409;0.9476106;0.9500443;0.9539754;0.9521916;0.9506637;0.9499614;0.9495665;0.951457;0.9519104;0.9529636;0.9551569;0.9550274;0.9555301;0.9559298;0.9552268;0.9553108;0.9538411;0.9524447;0.9544707;0.9564641;0.9555567;0.9547387;0.9541667;0.9521346;0.952929;0.9561478;0.9573438;0.9576062;0.9584169;0.9589657;0.9540275;0.9480277;0.9533594;0.959195;0.9564083;0.9564283;0.9577266;0.9564058;0.9570775;0.9571295;0.9566338;0.9572034;0.9570122;0.9577947;0.9587444;0.9582877;0.9580483;0.9575215;0.9566627;0.9568083;0.9568155;0.9550674;0.953544;0.954461;0.9562553;0.9573013;0.9575085;0.9584305;0.9603653;0.9598739;0.9582197;0.9583991;0.9582948;0.9582244;0.958732;0.9590289;0.9593466;0.9563443;0.9530443;0.9558026;0.9580957;0.9555373;0.9538417;0.9532122;0.9514579;0.9510563;0.9515914;0.9514982;0.9528114;0.9559537;0.9586974;0.958967
