Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
5;0;-0.1232167;-0.1268756;-0.1240037;-0.1249279;-0.1257667;-0.124462;-0.1273606;-0.1278912;-0.1258682;-0.1243682;-0.1231382;-0.1213345;-0.1183578;-0.120062;-0.1221186;-0.12008;-0.1209017;-0.1213949;-0.1215677;-0.1246812;-0.1254896;-0.1249345;-0.1249063;-0.1249926;-0.1251552;-0.1247985;-0.1254793;-0.1268068;-0.1272888;-0.123713;-0.1192631;-0.1226967;-0.1271224;-0.126278;-0.1261419;-0.1251686;-0.121594;-0.1190558;-0.1179128;-0.1174034;-0.1172102;-0.1181487;-0.1185709;-0.1179084;-0.1205067;-0.1243031;-0.1256299;-0.1246896;-0.1218014;-0.1202801;-0.1206562;-0.1210648;-0.1216185;-0.1241114;-0.1280997;-0.1280257;-0.126537;-0.1274474;-0.1273523;-0.1264597;-0.1247455;-0.1236691;-0.1229069;-0.1215528;-0.123976;-0.1268078;-0.1277862;-0.1266547;-0.1236336;-0.1249187;-0.1243005;-0.1197982;-0.1192223;-0.120174;-0.1213162;-0.1222915;-0.1264941;-0.132631;-0.1286242;-0.122015;-0.1218544;-0.1212108;-0.120603;-0.1209479;-0.1212181;-0.1236811;-0.1255531;-0.1241987;-0.1221575;-0.1233974;-0.127263;-0.1302381;-0.1312862;-0.1299998;-0.1277708;-0.1239092;-0.1197379;-0.121468;-0.1260118;-0.1282198;-0.1263671;-0.1217475;-0.1218799;-0.1239658;-0.1242567;-0.1261499;-0.1276499;-0.1295878;-0.1303476;-0.1299795;-0.1321647;-0.12887;-0.124246;-0.1267462;-0.1270445;-0.1256371;-0.12678;-0.1258547;-0.1234932;-0.1219945;-0.1239103;-0.1279703;-0.1282954;-0.1270103;-0.1261848;-0.1240696;-0.1227451;-0.121326
5;0;-0.1334039;-0.1343639;-0.1352028;-0.134048;-0.130632;-0.1237461;-0.1187719;-0.1228884;-0.1271927;-0.1263233;-0.1272799;-0.1282842;-0.1268202;-0.1237509;-0.1184518;-0.1167494;-0.1195661;-0.122615;-0.127409;-0.1329988;-0.1371418;-0.1370559;-0.1326478;-0.1313045;-0.1313929;-0.1304528;-0.1311713;-0.129933;-0.12945;-0.1298041;-0.1291798;-0.1314214;-0.1307161;-0.1297491;-0.1314277;-0.1300428;-0.12967;-0.1264872;-0.1216853;-0.1237275;-0.1256856;-0.1266484;-0.1295852;-0.1305618;-0.1307506;-0.132542;-0.1333249;-0.1305165;-0.1272591;-0.1272733;-0.1283251;-0.1283409;-0.1312988;-0.1355125;-0.1344378;-0.1330899;-0.1343694;-0.1330156;-0.1309374;-0.1304731;-0.1303047;-0.1308757;-0.1312099;-0.1301826;-0.1287306;-0.1278461;-0.12823;-0.1298541;-0.1327524;-0.1339906;-0.1311592;-0.1299701;-0.1318892;-0.1332979;-0.1345662;-0.1345454;-0.1327403;-0.1305122;-0.1299787;-0.1310084;-0.1304504;-0.1309109;-0.1335309;-0.134933;-0.1333701;-0.1308107;-0.1317208;-0.1317594;-0.1295996;-0.1307231;-0.1309249;-0.130051;-0.1323367;-0.1376059;-0.1435455;-0.1415072;-0.1359702;-0.1356582;-0.1323452;-0.1286947;-0.129707;-0.1296935;-0.1313971;-0.1338985;-0.1356536;-0.1372654;-0.1353187;-0.1344627;-0.1325045;-0.1288813;-0.1308347;-0.1311539;-0.1297853;-0.1308924;-0.1293406;-0.1280308;-0.1283974;-0.1283714;-0.1278936;-0.1276289;-0.1298882;-0.1308192;-0.1284513;-0.126481;-0.1275068;-0.1319863;-0.1345073;-0.1333157
5;0;-0.1174678;-0.1183863;-0.1182194;-0.1179613;-0.1202422;-0.1217883;-0.1246265;-0.1310968;-0.1348248;-0.1316228;-0.1279894;-0.1294266;-0.1291929;-0.1267318;-0.1265624;-0.1270419;-0.1297363;-0.1324101;-0.1333738;-0.1329774;-0.1293422;-0.1267334;-0.1251868;-0.127554;-0.1326878;-0.1296181;-0.1278359;-0.1322964;-0.1357794;-0.1391595;-0.1334205;-0.1245207;-0.1268266;-0.1275599;-0.125181;-0.1279452;-0.1282375;-0.1272308;-0.1278494;-0.1257885;-0.1249446;-0.1278697;-0.1310137;-0.1311566;-0.1298859;-0.1308096;-0.1307489;-0.1310253;-0.1357661;-0.1404726;-0.1412901;-0.1404002;-0.1436743;-0.1464588;-0.1399941;-0.132902;-0.131462;-0.1306973;-0.1310493;-0.1343655;-0.1386746;-0.1430795;-0.1459939;-0.1475441;-0.1508084;-0.1495573;-0.1441922;-0.1439265;-0.1420675;-0.1371993;-0.1368006;-0.1427302;-0.1495131;-0.1440441;-0.1375944;-0.1411849;-0.1406597;-0.1393835;-0.1410746;-0.1398758;-0.1402652;-0.1402023;-0.138135;-0.1375858;-0.1389575;-0.1411977;-0.1404289;-0.1397909;-0.1420907;-0.1435559;-0.1449044;-0.1455204;-0.147395;-0.150936;-0.1475942;-0.1429756;-0.144636;-0.1448829;-0.1439115;-0.1447761;-0.1440279;-0.1419849;-0.1382919;-0.1345144;-0.1346973;-0.1374591;-0.1415534;-0.144364;-0.1430633;-0.1411873;-0.1372998;-0.1318656;-0.1352211;-0.1407973;-0.1371371;-0.1337564;-0.1336311;-0.1334434;-0.1355881;-0.1347079;-0.1332084;-0.1344091;-0.1327017;-0.1316008;-0.1324194;-0.1345625;-0.1370743;-0.1351569
5;0;-0.1413055;-0.1393785;-0.1384885;-0.1372284;-0.1369975;-0.1386217;-0.1399437;-0.1418027;-0.1396399;-0.1357663;-0.1376034;-0.1383164;-0.1366676;-0.1378623;-0.1371069;-0.1344021;-0.1331073;-0.1342205;-0.1382776;-0.138634;-0.1332653;-0.1289392;-0.1300645;-0.1334673;-0.1351731;-0.1383479;-0.1385958;-0.135806;-0.1373503;-0.1359659;-0.134338;-0.1365228;-0.1356535;-0.1354139;-0.131979;-0.127627;-0.1320125;-0.1346621;-0.1321328;-0.1316653;-0.1339426;-0.135691;-0.1354208;-0.1366021;-0.1378496;-0.1378153;-0.1383197;-0.1386354;-0.137476;-0.1348521;-0.1344946;-0.1349296;-0.1343956;-0.1350649;-0.1345654;-0.1345932;-0.1350684;-0.1343373;-0.1349666;-0.1343548;-0.132734;-0.1317043;-0.1311004;-0.1307122;-0.1284483;-0.1285248;-0.1291424;-0.1274467;-0.1306013;-0.1345559;-0.1351415;-0.1364532;-0.1362483;-0.1348074;-0.1346305;-0.134852;-0.1358472;-0.1372883;-0.1374678;-0.1354843;-0.1333397;-0.1342239;-0.1370461;-0.1381195;-0.1364995;-0.1328523;-0.1291936;-0.1290735;-0.1298816;-0.1289877;-0.1310823;-0.1338591;-0.1334883;-0.133978;-0.1343868;-0.1337303;-0.1341324;-0.1340737;-0.1337455;-0.1334064;-0.1330249;-0.133321;-0.1325058;-0.13149;-0.1319856;-0.1322951;-0.1326692;-0.1338484;-0.1345502;-0.1355934;-0.1366714;-0.1358382;-0.1344463;-0.1320618;-0.1296471;-0.132034;-0.1364494;-0.138186;-0.137822;-0.1369949;-0.1376234;-0.1377829;-0.1367284;-0.1359787;-0.1336504;-0.1315948;-0.1304616;-0.12998
5;0;-0.2414333;-0.2403087;-0.2420263;-0.2421209;-0.2410907;-0.2419508;-0.2422579;-0.2437517;-0.2450963;-0.2427218;-0.2421869;-0.2438958;-0.2428491;-0.2426985;-0.2435931;-0.2423349;-0.2407705;-0.237645;-0.2365285;-0.2397909;-0.2396196;-0.2386947;-0.2403605;-0.2398085;-0.2407869;-0.2429104;-0.2421897;-0.2430557;-0.2436846;-0.24244;-0.2434542;-0.2439642;-0.2437789;-0.2455735;-0.2485831;-0.2512721;-0.2500682;-0.2491681;-0.2507836;-0.2497156;-0.2499429;-0.251225;-0.2502865;-0.2499006;-0.2486602;-0.2474963;-0.2474624;-0.2490616;-0.2527451;-0.2536886;-0.2542541;-0.2563933;-0.2565976;-0.256865;-0.257226;-0.2565978;-0.2555016;-0.2527026;-0.2502161;-0.2501924;-0.2494273;-0.247809;-0.2492657;-0.2516812;-0.2523859;-0.2498233;-0.2455082;-0.2468728;-0.2488382;-0.2480207;-0.2507607;-0.2510147;-0.2506757;-0.2537182;-0.2503907;-0.2450542;-0.2439337;-0.2442365;-0.2457158;-0.2452346;-0.2448663;-0.2462956;-0.2458597;-0.2454863;-0.2443559;-0.2410584;-0.2398966;-0.2412641;-0.2409665;-0.2407947;-0.2427304;-0.2415081;-0.2409318;-0.2426495;-0.241074;-0.2416025;-0.24225;-0.2403949;-0.2395109;-0.2365705;-0.2370709;-0.2398795;-0.2405124;-0.2444361;-0.2462472;-0.2454525;-0.2460502;-0.2436298;-0.2388017;-0.2347644;-0.2368059;-0.242025;-0.2427193;-0.2436234;-0.2448154;-0.244331;-0.2450036;-0.2461657;-0.249096;-0.2507172;-0.2498205;-0.249539;-0.2471938;-0.2447322;-0.2443619;-0.2455428;-0.2478367;-0.2472712
5;0;-0.2523859;-0.2498233;-0.2455082;-0.2468728;-0.2488382;-0.2480207;-0.2507607;-0.2510147;-0.2506757;-0.2537182;-0.2503907;-0.2450542;-0.2439337;-0.2442365;-0.2457158;-0.2452346;-0.2448663;-0.2462956;-0.2458597;-0.2454863;-0.2443559;-0.2410584;-0.2398966;-0.2412641;-0.2409665;-0.2407947;-0.2427304;-0.2415081;-0.2409318;-0.2426495;-0.241074;-0.2416025;-0.24225;-0.2403949;-0.2395109;-0.2365705;-0.2370709;-0.2398795;-0.2405124;-0.2444361;-0.2462472;-0.2454525;-0.2460502;-0.2436298;-0.2388017;-0.2347644;-0.2368059;-0.242025;-0.2427193;-0.2436234;-0.2448154;-0.244331;-0.2450036;-0.2461657;-0.249096;-0.2507172;-0.2498205;-0.249539;-0.2471938;-0.2447322;-0.2443619;-0.2455428;-0.2478367;-0.2472712;-0.2449566;-0.2440133;-0.2449282;-0.2477232;-0.251024;-0.2517866;-0.2481568;-0.2453104;-0.2456729;-0.2458185;-0.2447891;-0.2431431;-0.2427734;-0.2431785;-0.2430323;-0.2430743;-0.2430158;-0.243089;-0.2430622;-0.2433569;-0.2452823;-0.2480907;-0.2490489;-0.2462814;-0.2432328;-0.2430127;-0.2448368;-0.2465853;-0.2459106;-0.2448459;-0.2433373;-0.2398714;-0.2400712;-0.2437067;-0.2449856;-0.2445956;-0.2441848;-0.2444447;-0.2441474;-0.2414961;-0.2395777;-0.2400392;-0.2406906;-0.2409004;-0.2436098;-0.2472514;-0.2460877;-0.2449305;-0.2464912;-0.2453646;-0.2437505;-0.2429222;-0.2425511;-0.243544;-0.2434994;-0.2458124;-0.2502343;-0.250399;-0.2485683;-0.2473207;-0.2460191;-0.2452612;-0.2443778;-0.2440624
5;0;-0.2384424;-0.2399668;-0.2422873;-0.2457276;-0.2458594;-0.2451236;-0.2465078;-0.2453133;-0.2437356;-0.2424512;-0.2398194;-0.2390924;-0.2412093;-0.2445058;-0.2453103;-0.2453368;-0.2467192;-0.2454518;-0.2451287;-0.2446117;-0.2409688;-0.2415833;-0.2431107;-0.2429903;-0.2445696;-0.2452971;-0.2456768;-0.2431535;-0.2392835;-0.2392438;-0.2391213;-0.2396497;-0.2422534;-0.2446116;-0.24564;-0.241655;-0.2373351;-0.2404094;-0.2435295;-0.2419836;-0.2429339;-0.2437178;-0.2415887;-0.2423406;-0.2431373;-0.2433448;-0.2443502;-0.2426885;-0.242563;-0.2437298;-0.242676;-0.2430329;-0.2431572;-0.2422007;-0.2430181;-0.2437928;-0.2446421;-0.2459569;-0.2442483;-0.2411053;-0.2411694;-0.2412887;-0.2396568;-0.2402332;-0.2410148;-0.2418705;-0.2448578;-0.2463824;-0.2483205;-0.250397;-0.2462286;-0.2409035;-0.2411662;-0.2422378;-0.2414161;-0.2416114;-0.2411549;-0.2379002;-0.2368993;-0.2446346;-0.2523957;-0.2452345;-0.2368059;-0.2408822;-0.2414526;-0.239137;-0.2433104;-0.2455289;-0.2469177;-0.2480313;-0.2465831;-0.2469166;-0.244703;-0.2418486;-0.2427895;-0.2416241;-0.2405456;-0.2454476;-0.2504006;-0.247205;-0.2439044;-0.2465968;-0.2461689;-0.2450448;-0.2466724;-0.246652;-0.2484232;-0.2502436;-0.2498103;-0.2498563;-0.2479573;-0.245668;-0.2455807;-0.2457399;-0.2450578;-0.2443691;-0.2461856;-0.2484061;-0.2486086;-0.2484481;-0.2467874;-0.2447518;-0.2449664;-0.2470785;-0.2501953;-0.2493684;-0.244679;-0.2428883
4;0;0.1398434;0.1457557;0.1568323;0.1726378;0.1871752;0.1813439;0.1746552;0.1703493;0.1590283;0.1591201;0.1670747;0.1729364;0.1801623;0.1841138;0.1836095;0.1805105;0.1771331;0.1765211;0.178802;0.1835121;0.1860534;0.1867428;0.1832801;0.1712041;0.1587991;0.1488634;0.1472482;0.1527423;0.1503245;0.1508197;0.1559801;0.158556;0.1675341;0.1702354;0.1667213;0.1695732;0.1693577;0.1674085;0.1669651;0.1692596;0.1751526;0.1753352;0.1726282;0.1702506;0.1673247;0.1677321;0.1686595;0.1669562;0.1648822;0.165075;0.1647103;0.165226;0.1667548;0.1644653;0.1672988;0.1715659;0.1702178;0.1715988;0.1714447;0.1710736;0.1710268;0.1670264;0.1665288;0.1664671;0.1663663;0.1663854;0.1642254;0.1662132;0.1685361;0.1714601;0.1735642;0.1702727;0.1698808;0.1702874;0.1696609;0.1698826;0.1687815;0.1704601;0.1732397;0.175548;0.1759646;0.1735268;0.1734006;0.1714165;0.1702283;0.1724253;0.1695359;0.1682628;0.169808;0.1691205;0.1712745;0.1715394;0.1695818;0.1695187;0.1675584;0.167842;0.1706452;0.1709451;0.1702705;0.1672093;0.1645402;0.1678212;0.1708865;0.1693712;0.1688151;0.1696281;0.167379;0.1649565;0.165172;0.1655164;0.1661857;0.1669417;0.1667031;0.1665746;0.1666698;0.1667375;0.1666046;0.1673721;0.1703219;0.1730234;0.1718405;0.1697099;0.1709069;0.1698717;0.1658297;0.164778;0.1653181;0.1664
4;0;0.1666038;0.1670337;0.1677341;0.1702179;0.1716544;0.1716765;0.1722598;0.1717983;0.1684348;0.165736;0.1678435;0.1716617;0.1722728;0.1695487;0.1674013;0.1697733;0.1729741;0.1722827;0.1716658;0.1717135;0.1703439;0.1707265;0.1712064;0.1705059;0.1709716;0.1707023;0.1697875;0.1689796;0.1674401;0.1663605;0.166745;0.1689314;0.1708713;0.1710844;0.1708041;0.170505;0.1700784;0.1693449;0.1701047;0.1714875;0.1707142;0.1706016;0.1713151;0.1717071;0.1734312;0.1737105;0.1712402;0.1685077;0.1673795;0.1681841;0.1682957;0.1683096;0.1708688;0.1732546;0.1733086;0.1728494;0.171284;0.1685286;0.1691175;0.1712403;0.1709798;0.1725911;0.1744584;0.1734183;0.1732998;0.1728963;0.1719978;0.1730974;0.1740253;0.1736572;0.1733617;0.1737798;0.1732812;0.1714697;0.1692427;0.1668682;0.1649983;0.1607994;0.1531122;0.1492517;0.1581886;0.172824;0.1784005;0.1858981;0.2030721;0.2066322;0.1932937;0.1869954;0.1850246;0.1626353;0.1384194;0.1572092;0.197965;0.2350114;0.2969471;0.3354184;0.2894111;0.2255603;0.1938411;0.1890499;0.2189493;0.2586564;0.290901;0.3134726;0.3219045;0.3320277;0.3308825;0.3195589;0.3152873;0.304884;0.3060605;0.3121658;0.2956303;0.2618023;0.2050242;0.1778421;0.2047672;0.2164556;0.2174129;0.2126109;0.1853882;0.1836065;0.1997547;0.2234329;0.2716343;0.2865743;0.2718429;0.2891296
4;0;0.4337649;0.4330505;0.4333335;0.433437;0.4332413;0.4333933;0.4332887;0.4333718;0.4333094;0.4333287;0.4333714;0.4332728;0.4333941;0.4329388;0.4315481;0.4304001;0.4320756;0.4343463;0.4333112;0.432836;0.4336178;0.4322787;0.431724;0.4333425;0.4350278;0.4353133;0.4347757;0.4369973;0.4386926;0.4368989;0.4373247;0.4368302;0.4307167;0.4267952;0.4307312;0.4355555;0.4335502;0.4330984;0.4372828;0.4369943;0.4372287;0.4381675;0.4358022;0.4361759;0.4362063;0.4357781;0.4364071;0.4348139;0.4349625;0.4365398;0.4373767;0.4351336;0.4309019;0.4320864;0.4343699;0.4347129;0.4350326;0.4334095;0.4334561;0.4353138;0.4360954;0.434735;0.4327924;0.4359845;0.438958;0.4366561;0.4344741;0.4327471;0.4317396;0.4313954;0.4303241;0.4322368;0.4341759;0.4320545;0.4306769;0.4319543;0.4349793;0.4380482;0.4378438;0.4364979;0.4350622;0.4325338;0.4328475;0.4341329;0.4325716;0.4314209;0.4304311;0.430121;0.4322154;0.4329937;0.4335599;0.4346201;0.4341722;0.4332577;0.4316704;0.4332771;0.4360859;0.4344048;0.4339605;0.434061;0.4338401;0.437734;0.4386265;0.436366;0.4366701;0.4345551;0.4302778;0.4290432;0.4314805;0.4346547;0.4335845;0.4325363;0.4349879;0.4348655;0.4342395;0.4342258;0.4327084;0.4339234;0.4363085;0.4374043;0.4354279;0.431769;0.4334579;0.4351266;0.4336137;0.4324894;0.4300531;0.4316937
