Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
5;3;-0.1200157;-0.1214994;-0.1228407;-0.1237173;-0.1238168;-0.1213038;-0.1212583;-0.125411;-0.1294583;-0.1298562;-0.1277827;-0.1256833;-0.121083;-0.1178711;-0.1181788;-0.1174953;-0.1174196;-0.1165236;-0.116636;-0.1209724;-0.1256922;-0.129232;-0.126144;-0.1194885;-0.1173506;-0.1177075;-0.1205666;-0.1216256;-0.120834;-0.1215108;-0.1205366;-0.1226586;-0.1250758;-0.12342;-0.1199092;-0.1130717;-0.1126833;-0.1187733;-0.1236332;-0.1286601;-0.1216789;-0.1085598;-0.1088185;-0.1119293;-0.1133349;-0.1183985;-0.1204352;-0.1191445;-0.1172693;-0.1156951;-0.1140429;-0.1116856;-0.1127778;-0.1157433;-0.1176716;-0.1198846;-0.1220551;-0.1229782;-0.1229688;-0.1273395;-0.1323291;-0.1290268;-0.1264244;-0.1305193;-0.1334039;-0.1343639;-0.1352028;-0.134048;-0.130632;-0.1237461;-0.1187719;-0.1228884;-0.1271927;-0.1263233;-0.1272799;-0.1282842;-0.1268202;-0.1237509;-0.1184518;-0.1167494;-0.1195661;-0.122615;-0.127409;-0.1329988;-0.1371418;-0.1370559;-0.1326478;-0.1313045;-0.1313929;-0.1304528;-0.1311713;-0.129933;-0.12945;-0.1298041;-0.1291798;-0.1314214;-0.1307161;-0.1297491;-0.1314277;-0.1300428;-0.12967;-0.1264872;-0.1216853;-0.1237275;-0.1256856;-0.1266484;-0.1295852;-0.1305618;-0.1307506;-0.132542;-0.1333249;-0.1305165;-0.1272591;-0.1272733;-0.1283251;-0.1283409;-0.1312988;-0.1355125;-0.1344378;-0.1330899;-0.1343694;-0.1330156;-0.1309374;-0.1304731;-0.1303047;-0.1308757;-0.1312099;-0.1301826
5;3;-0.1260839;-0.1216043;-0.1188487;-0.1193653;-0.1197754;-0.1212244;-0.1254559;-0.1293792;-0.128045;-0.1262703;-0.1262819;-0.125463;-0.1278541;-0.1292022;-0.1262278;-0.1261381;-0.1248183;-0.1224034;-0.1244925;-0.1250943;-0.1249237;-0.1239843;-0.1209807;-0.1207328;-0.1211662;-0.123753;-0.1270086;-0.1264638;-0.1264944;-0.1272418;-0.1277077;-0.1262277;-0.1243435;-0.127305;-0.1304138;-0.1304232;-0.127181;-0.1217094;-0.1200573;-0.1227065;-0.1242503;-0.1215108;-0.118966;-0.1199858;-0.122183;-0.1243844;-0.1239865;-0.122905;-0.124012;-0.1236643;-0.1231035;-0.1230613;-0.1219493;-0.12298;-0.1239044;-0.1216302;-0.1203501;-0.1220635;-0.1245664;-0.1249478;-0.1222743;-0.1195249;-0.118807;-0.1181566;-0.1174678;-0.1183863;-0.1182194;-0.1179613;-0.1202422;-0.1217883;-0.1246265;-0.1310968;-0.1348248;-0.1316228;-0.1279894;-0.1294266;-0.1291929;-0.1267318;-0.1265624;-0.1270419;-0.1297363;-0.1324101;-0.1333738;-0.1329774;-0.1293422;-0.1267334;-0.1251868;-0.127554;-0.1326878;-0.1296181;-0.1278359;-0.1322964;-0.1357794;-0.1391595;-0.1334205;-0.1245207;-0.1268266;-0.1275599;-0.125181;-0.1279452;-0.1282375;-0.1272308;-0.1278494;-0.1257885;-0.1249446;-0.1278697;-0.1310137;-0.1311566;-0.1298859;-0.1308096;-0.1307489;-0.1310253;-0.1357661;-0.1404726;-0.1412901;-0.1404002;-0.1436743;-0.1464588;-0.1399941;-0.132902;-0.131462;-0.1306973;-0.1310493;-0.1343655;-0.1386746;-0.1430795;-0.1459939;-0.1475441
5;3;-0.128588;-0.1297452;-0.1289535;-0.1289702;-0.1301224;-0.1314521;-0.1339839;-0.1317532;-0.1280682;-0.1283875;-0.1277255;-0.1282768;-0.1326668;-0.1358853;-0.1361044;-0.1383272;-0.143184;-0.1410773;-0.1362393;-0.1386434;-0.1402069;-0.1386392;-0.1385253;-0.1381882;-0.1381525;-0.1381434;-0.1378805;-0.1366731;-0.1357242;-0.1378201;-0.1379673;-0.1359966;-0.1361808;-0.1370737;-0.1375604;-0.136549;-0.1349165;-0.1355113;-0.1374136;-0.1373614;-0.1346326;-0.1330291;-0.136326;-0.1415457;-0.1425236;-0.1410715;-0.1407864;-0.1401391;-0.1400525;-0.1398322;-0.1365817;-0.1339544;-0.1361905;-0.1387788;-0.1369906;-0.135144;-0.1349841;-0.1356502;-0.1393672;-0.1409854;-0.1378172;-0.1354204;-0.1362768;-0.1399288;-0.1413055;-0.1393785;-0.1384885;-0.1372284;-0.1369975;-0.1386217;-0.1399437;-0.1418027;-0.1396399;-0.1357663;-0.1376034;-0.1383164;-0.1366676;-0.1378623;-0.1371069;-0.1344021;-0.1331073;-0.1342205;-0.1382776;-0.138634;-0.1332653;-0.1289392;-0.1300645;-0.1334673;-0.1351731;-0.1383479;-0.1385958;-0.135806;-0.1373503;-0.1359659;-0.134338;-0.1365228;-0.1356535;-0.1354139;-0.131979;-0.127627;-0.1320125;-0.1346621;-0.1321328;-0.1316653;-0.1339426;-0.135691;-0.1354208;-0.1366021;-0.1378496;-0.1378153;-0.1383197;-0.1386354;-0.137476;-0.1348521;-0.1344946;-0.1349296;-0.1343956;-0.1350649;-0.1345654;-0.1345932;-0.1350684;-0.1343373;-0.1349666;-0.1343548;-0.132734;-0.1317043;-0.1311004;-0.1307122
5;3;-0.2505096;-0.2499909;-0.2493235;-0.2485501;-0.2465167;-0.2467772;-0.246937;-0.2451379;-0.2457921;-0.2464188;-0.2463481;-0.2476522;-0.2473907;-0.2468407;-0.2473124;-0.2462861;-0.2454322;-0.2457269;-0.2450225;-0.2440956;-0.2441782;-0.2437756;-0.242309;-0.2411136;-0.2400816;-0.2405466;-0.2442727;-0.2468797;-0.2459798;-0.2453621;-0.2456698;-0.2440167;-0.2413521;-0.2413307;-0.2423843;-0.2432608;-0.2448374;-0.2436651;-0.2413548;-0.2419582;-0.243567;-0.2448815;-0.2447479;-0.2437961;-0.2435856;-0.2420031;-0.2408272;-0.2409429;-0.239129;-0.2393549;-0.2447808;-0.2496979;-0.2492305;-0.2461964;-0.244382;-0.2414595;-0.2399159;-0.2417707;-0.2419926;-0.2433647;-0.245141;-0.2429646;-0.2407197;-0.2389054;-0.2384424;-0.2399668;-0.2422873;-0.2457276;-0.2458594;-0.2451236;-0.2465078;-0.2453133;-0.2437356;-0.2424512;-0.2398194;-0.2390924;-0.2412093;-0.2445058;-0.2453103;-0.2453368;-0.2467192;-0.2454518;-0.2451287;-0.2446117;-0.2409688;-0.2415833;-0.2431107;-0.2429903;-0.2445696;-0.2452971;-0.2456768;-0.2431535;-0.2392835;-0.2392438;-0.2391213;-0.2396497;-0.2422534;-0.2446116;-0.24564;-0.241655;-0.2373351;-0.2404094;-0.2435295;-0.2419836;-0.2429339;-0.2437178;-0.2415887;-0.2423406;-0.2431373;-0.2433448;-0.2443502;-0.2426885;-0.242563;-0.2437298;-0.242676;-0.2430329;-0.2431572;-0.2422007;-0.2430181;-0.2437928;-0.2446421;-0.2459569;-0.2442483;-0.2411053;-0.2411694;-0.2412887;-0.2396568;-0.2402332
5;3;-0.2511435;-0.2538186;-0.2510822;-0.248606;-0.2499954;-0.2474954;-0.2447695;-0.2472751;-0.2506825;-0.2514044;-0.2488452;-0.2459233;-0.2461067;-0.2463173;-0.2452136;-0.2463943;-0.2480725;-0.2495646;-0.2506863;-0.2483511;-0.2467124;-0.2471323;-0.2472248;-0.2478379;-0.2488925;-0.2518679;-0.2529934;-0.2498988;-0.2473193;-0.2453407;-0.2435741;-0.243345;-0.2457369;-0.2467607;-0.2450132;-0.2461279;-0.2460915;-0.245606;-0.248214;-0.2488084;-0.2488216;-0.2479596;-0.2449891;-0.2405146;-0.2375907;-0.2419268;-0.2441971;-0.2406876;-0.2407589;-0.2456334;-0.2505142;-0.2487645;-0.2454349;-0.2462171;-0.2457482;-0.2465769;-0.2474443;-0.2441351;-0.2424792;-0.2437935;-0.2443622;-0.2409213;-0.2373135;-0.2392872;-0.2413438;-0.2419812;-0.2438733;-0.2446822;-0.2444611;-0.2433928;-0.2425158;-0.2419504;-0.2399444;-0.239993;-0.2422637;-0.2426524;-0.2435858;-0.2459392;-0.2447211;-0.2435186;-0.2461036;-0.2450515;-0.2399905;-0.2363493;-0.2372653;-0.2423444;-0.2432332;-0.2401935;-0.2375408;-0.2346416;-0.2331843;-0.2338073;-0.2400007;-0.2453829;-0.2429096;-0.2416278;-0.240031;-0.2369756;-0.240589;-0.2442922;-0.2395834;-0.2354614;-0.2390789;-0.2407204;-0.2404394;-0.2443668;-0.24633;-0.2440153;-0.2400447;-0.2386548;-0.239254;-0.2388038;-0.2410836;-0.2432229;-0.2431629;-0.2431784;-0.2424115;-0.2416671;-0.2406272;-0.2420395;-0.2451906;-0.2454368;-0.243598;-0.2402232;-0.2393342;-0.2395051;-0.2387725;-0.2438231
5;3;-0.2413438;-0.2419812;-0.2438733;-0.2446822;-0.2444611;-0.2433928;-0.2425158;-0.2419504;-0.2399444;-0.239993;-0.2422637;-0.2426524;-0.2435858;-0.2459392;-0.2447211;-0.2435186;-0.2461036;-0.2450515;-0.2399905;-0.2363493;-0.2372653;-0.2423444;-0.2432332;-0.2401935;-0.2375408;-0.2346416;-0.2331843;-0.2338073;-0.2400007;-0.2453829;-0.2429096;-0.2416278;-0.240031;-0.2369756;-0.240589;-0.2442922;-0.2395834;-0.2354614;-0.2390789;-0.2407204;-0.2404394;-0.2443668;-0.24633;-0.2440153;-0.2400447;-0.2386548;-0.239254;-0.2388038;-0.2410836;-0.2432229;-0.2431629;-0.2431784;-0.2424115;-0.2416671;-0.2406272;-0.2420395;-0.2451906;-0.2454368;-0.243598;-0.2402232;-0.2393342;-0.2395051;-0.2387725;-0.2438231;-0.2475216;-0.2446912;-0.2410582;-0.2386122;-0.2428538;-0.2481531;-0.2458225;-0.2447643;-0.2472347;-0.2483583;-0.2497032;-0.2471052;-0.2415185;-0.2428097;-0.2450936;-0.2432674;-0.241978;-0.2384673;-0.2369381;-0.2384886;-0.238335;-0.2418901;-0.2442341;-0.2416691;-0.2413334;-0.2421252;-0.2434927;-0.2446398;-0.2427473;-0.2405378;-0.2397188;-0.239059;-0.239397;-0.241994;-0.2430667;-0.2431206;-0.2453014;-0.246122;-0.2459397;-0.2452582;-0.2431171;-0.2420827;-0.2429476;-0.244675;-0.2444361;-0.2440191;-0.2440026;-0.2423666;-0.2430983;-0.2434494;-0.2423659;-0.2423667;-0.2403657;-0.2392525;-0.2379651;-0.2363509;-0.2421149;-0.2483702;-0.2462172;-0.2439917;-0.2450016;-0.2425894;-0.2420766;-0.2442949
4;3;0.1732998;0.1728963;0.1719978;0.1730974;0.1740253;0.1736572;0.1733617;0.1737798;0.1732812;0.1714697;0.1692427;0.1668682;0.1649983;0.1607994;0.1531122;0.1492517;0.1581886;0.172824;0.1784005;0.1858981;0.2030721;0.2066322;0.1932937;0.1869954;0.1850246;0.1626353;0.1384194;0.1572092;0.197965;0.2350114;0.2969471;0.3354184;0.2894111;0.2255603;0.1938411;0.1890499;0.2189493;0.2586564;0.290901;0.3134726;0.3219045;0.3320277;0.3308825;0.3195589;0.3152873;0.304884;0.3060605;0.3121658;0.2956303;0.2618023;0.2050242;0.1778421;0.2047672;0.2164556;0.2174129;0.2126109;0.1853882;0.1836065;0.1997547;0.2234329;0.2716343;0.2865743;0.2718429;0.2891296;0.312793;0.3168016;0.316017;0.3112085;0.3064895;0.309223;0.3190357;0.3395819;0.3669774;0.3791091;0.3737003;0.3714193;0.3720978;0.3742176;0.3799343;0.3798774;0.3867132;0.4064802;0.4109999;0.3927716;0.3798555;0.393274;0.4178873;0.4353551;0.4448097;0.4383465;0.4273613;0.4264171;0.4290914;0.4476969;0.4702471;0.4684668;0.4591459;0.4518833;0.4400691;0.4350663;0.4424759;0.4455577;0.4347021;0.4248239;0.4216303;0.4204409;0.420699;0.4181841;0.4073277;0.3938289;0.3960163;0.4073738;0.4187588;0.4393619;0.4483995;0.4430271;0.4478855;0.4506872;0.4471832;0.4479425;0.4417789;0.4289609;0.4226084;0.4248481;0.4277785;0.4286223;0.4325222;0.4339003
4;3;0.4311469;0.4323949;0.4320012;0.4327458;0.4338076;0.4333923;0.4342008;0.4344711;0.4321758;0.4295134;0.4302987;0.431671;0.4325231;0.4375056;0.4394293;0.4331381;0.4289251;0.4321362;0.4347501;0.4318174;0.4304391;0.4318573;0.4319879;0.433261;0.4344866;0.4346405;0.4341275;0.4326703;0.4335841;0.4345612;0.4345621;0.4349555;0.4335368;0.4330489;0.4334898;0.4332019;0.4334753;0.4332318;0.4329788;0.4316531;0.4298423;0.431031;0.4335746;0.4351335;0.4341711;0.4328908;0.4357618;0.4396901;0.4409072;0.4391267;0.4336623;0.4288348;0.4302556;0.433558;0.4333658;0.4328469;0.4320233;0.4305714;0.4321677;0.4325626;0.4316008;0.4340683;0.4353505;0.434428;0.4337649;0.4330505;0.4333335;0.433437;0.4332413;0.4333933;0.4332887;0.4333718;0.4333094;0.4333287;0.4333714;0.4332728;0.4333941;0.4329388;0.4315481;0.4304001;0.4320756;0.4343463;0.4333112;0.432836;0.4336178;0.4322787;0.431724;0.4333425;0.4350278;0.4353133;0.4347757;0.4369973;0.4386926;0.4368989;0.4373247;0.4368302;0.4307167;0.4267952;0.4307312;0.4355555;0.4335502;0.4330984;0.4372828;0.4369943;0.4372287;0.4381675;0.4358022;0.4361759;0.4362063;0.4357781;0.4364071;0.4348139;0.4349625;0.4365398;0.4373767;0.4351336;0.4309019;0.4320864;0.4343699;0.4347129;0.4350326;0.4334095;0.4334561;0.4353138;0.4360954;0.434735;0.4327924;0.4359845
4;3;0.1598744;0.1590504;0.1550728;0.1518912;0.1541157;0.1581028;0.1570742;0.1572863;0.1589105;0.1562309;0.1548557;0.1556921;0.1558197;0.1564382;0.157282;0.1584367;0.1597835;0.159638;0.1562177;0.1545543;0.1579843;0.1585058;0.1553021;0.1534741;0.1537815;0.154828;0.1545972;0.1575115;0.1606038;0.1557703;0.1506311;0.1513177;0.1536308;0.1547761;0.155457;0.1574587;0.1588447;0.1569915;0.1535892;0.1524627;0.1545047;0.1561874;0.1547917;0.1533499;0.1542669;0.1534863;0.1519164;0.1524696;0.152814;0.1536862;0.1541892;0.1547606;0.1572514;0.1570464;0.1554405;0.1547595;0.153069;0.1520865;0.1519867;0.1535569;0.1544303;0.1520978;0.1507318;0.1479362;0.1465973;0.1515645;0.154015;0.1538126;0.1551142;0.1551617;0.1522148;0.1484763;0.1501477;0.1529531;0.1533871;0.1549279;0.15408;0.1537092;0.1547703;0.1537529;0.15425;0.1545458;0.1547278;0.1561262;0.1553311;0.1544341;0.1545018;0.1556936;0.1577391;0.1570894;0.1564235;0.1573269;0.1570602;0.1576607;0.1583102;0.1556039;0.1531581;0.154576;0.1573819;0.1588257;0.1580707;0.1552993;0.1533969;0.1540651;0.1548872;0.155761;0.1578007;0.1590979;0.1597362;0.1601542;0.1594578;0.1592483;0.1582755;0.1561052;0.1569835;0.1585856;0.1590281;0.1598935;0.1579749;0.1560207;0.1580102;0.1619912;0.1664388;0.165355;0.1589531;0.1577883;0.1623364;0.1651159
4;3;0.1637186;0.1612092;0.1600987;0.1595095;0.1608655;0.1635817;0.1641845;0.1639774;0.1637698;0.1636313;0.163237;0.1625284;0.165155;0.1677999;0.1666582;0.1660508;0.1660696;0.1648331;0.1640962;0.1639859;0.1641876;0.1666301;0.1685108;0.1650789;0.1608294;0.1605654;0.1621875;0.1646735;0.167204;0.1649859;0.1602602;0.1617482;0.1650949;0.1640167;0.1633827;0.1639711;0.1628808;0.1611474;0.1608356;0.161444;0.1626658;0.1663558;0.1692677;0.1678756;0.1656076;0.1651091;0.1651642;0.1655027;0.1668348;0.1694336;0.170955;0.1665514;0.1618191;0.1638911;0.1648426;0.1630923;0.163738;0.1623718;0.1601487;0.1611849;0.1613013;0.15933;0.1569044;0.1557678;0.1606464;0.1661824;0.1634146;0.1588491;0.1572927;0.1561343;0.1571646;0.157385;0.156638;0.1593433;0.1609794;0.1603538;0.1592527;0.157121;0.1550957;0.1530991;0.1532141;0.1531697;0.1521729;0.1541809;0.1548376;0.1555924;0.158393;0.159551;0.1610814;0.1590735;0.155309;0.157007;0.1576831;0.1562652;0.1569936;0.1562321;0.1547637;0.1548152;0.1543975;0.155624;0.158392;0.1596862;0.1608936;0.1588082;0.1536014;0.1534721;0.1551048;0.155006;0.1579979;0.1609978;0.161007;0.1594505;0.1575387;0.1584036;0.1595704;0.1588477;0.1591877;0.1598206;0.1593526;0.1568053;0.1537028;0.1543252;0.1572326;0.1590208;0.1584136;0.1565652;0.1551414;0.1536172
