Y;FOLD;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127
5;3;0.09111667;0.0926756;0.09606378;0.09989713;0.0976265;0.08829054;0.08224058;0.08109954;0.08129546;0.08192691;0.08754584;0.09374196;0.09105401;0.08817375;0.08861402;0.09200702;0.09805868;0.09542812;0.09248751;0.0956355;0.09434238;0.09421302;0.09695504;0.09729701;0.09752661;0.09736884;0.09889255;0.1005364;0.09808253;0.0973082;0.1017617;0.1057878;0.1045294;0.1014726;0.09628423;0.08711603;0.08820557;0.09679566;0.09681245;0.09896355;0.1045728;0.1034254;0.1007337;0.097965;0.09971603;0.1044111;0.1033368;0.1036703;0.1030473;0.09924684;0.1006844;0.1009733;0.09797125;0.09568395;0.09453667;0.09875904;0.1019772;0.09536033;0.0894662;0.09512551;0.09949626;0.0935352;0.08903516;0.09061235;0.0951518;0.09541539;0.08827355;0.08632477;0.08841135;0.08892948;0.09169096;0.09336454;0.09647738;0.09873661;0.09565399;0.09367285;0.09123625;0.09207211;0.09727551;0.09721817;0.09511668;0.09318756;0.09117061;0.08834874;0.08291186;0.08417797;0.08893409;0.09058986;0.09359861;0.08988711;0.08314939;0.08544598;0.08920975;0.09270112;0.09538713;0.09300598;0.08966654;0.0850963;0.08486652;0.09020624;0.09193836;0.09482185;0.09602326;0.09321579;0.09616013;0.09626289;0.0936784;0.09637986;0.09372395;0.08767998;0.08567856;0.08656764;0.09069055;0.09289061;0.0938754;0.09409445;0.08774074;0.08286672;0.08534326;0.08715508;0.08454642;0.08216647;0.08197219;0.08141334;0.08193577;0.08301135;0.08233391;0.08148748
5;3;0.08734129;0.08477703;0.08260607;0.08173948;0.08398118;0.08740009;0.0881028;0.08714885;0.0868901;0.08377249;0.08005285;0.07997915;0.07905167;0.07723353;0.08217728;0.09058179;0.09380889;0.09314177;0.08993386;0.08793666;0.08813772;0.08795653;0.09043269;0.09057128;0.09116625;0.09240398;0.08586243;0.08320327;0.08329193;0.08107823;0.08268112;0.0835521;0.08525853;0.08611201;0.08824243;0.09293447;0.08740894;0.08250078;0.08716869;0.09013824;0.09086485;0.09084389;0.08779013;0.08679176;0.09207658;0.09525821;0.09411021;0.09242473;0.08634736;0.08175773;0.08471664;0.08768471;0.08610855;0.08618254;0.08887408;0.08810863;0.08868306;0.08923717;0.08536501;0.08460996;0.0863954;0.08812156;0.08816615;0.08748509;0.08833936;0.08184867;0.07650382;0.08660638;0.09842158;0.09839518;0.09210567;0.08445234;0.0776377;0.08516029;0.09973782;0.09984689;0.09571305;0.09043149;0.08151422;0.08438227;0.08961326;0.08828405;0.08947643;0.08938337;0.08784779;0.0883145;0.08865366;0.08864789;0.08730715;0.0863843;0.08504438;0.08262065;0.08175314;0.08068004;0.08366568;0.08772072;0.08411364;0.08259914;0.08656909;0.08815594;0.08656321;0.08371628;0.08108275;0.07861166;0.08028532;0.08337648;0.08071335;0.07988247;0.08213536;0.08191352;0.0816655;0.08016942;0.07846077;0.07901254;0.07778195;0.07325466;0.06887585;0.07012072;0.07591562;0.07957953;0.08095504;0.08122584;0.08093684;0.08226968;0.08238871;0.08043603;0.07778891;0.07410929
5;3;0.07872325;0.07702548;0.07528321;0.07929707;0.08005674;0.08192308;0.08234582;0.07672755;0.07502708;0.07542078;0.07597652;0.07813399;0.07778649;0.07364507;0.07154289;0.07524243;0.07818954;0.07724826;0.07570106;0.07631878;0.07602683;0.07139458;0.06830497;0.06976069;0.07404458;0.07776549;0.07828847;0.07705832;0.07510434;0.0771238;0.08079301;0.07749559;0.07241957;0.07187804;0.07151321;0.07118779;0.07354219;0.07584141;0.07808265;0.07692424;0.07326719;0.07546478;0.07735917;0.07923219;0.08345993;0.07881542;0.07043108;0.06751884;0.07166811;0.07717135;0.07234155;0.06902327;0.07465254;0.07570352;0.07376241;0.07359349;0.07428854;0.07566325;0.07521919;0.07653249;0.07870532;0.07697594;0.07390996;0.07175283;0.07348688;0.0763496;0.07449944;0.07208269;0.06963762;0.06709502;0.07000403;0.07302011;0.07200233;0.07217219;0.07259087;0.07377165;0.07908044;0.08461387;0.08494946;0.07975146;0.07530902;0.07292888;0.06832657;0.06709058;0.07154154;0.07321356;0.07189052;0.0725062;0.07417073;0.0757851;0.07706321;0.07841091;0.0803531;0.07993776;0.07722035;0.07382737;0.06887172;0.06682038;0.07028309;0.07247085;0.07313492;0.07668345;0.07662064;0.07189831;0.07099247;0.07505602;0.07827211;0.07207976;0.06542775;0.07237392;0.07883415;0.07760605;0.07694617;0.07335209;0.0694672;0.07144846;0.07331747;0.07209015;0.07327981;0.07711129;0.0776757;0.07426284;0.07092604;0.0717761;0.07365069;0.07333959;0.07547599;0.07633473
5;3;-0.01556701;-0.01869955;-0.02053607;-0.02065583;-0.0186432;-0.01823535;-0.01850484;-0.01737894;-0.01894917;-0.02086971;-0.02257932;-0.02267809;-0.01916989;-0.01741027;-0.01716462;-0.02066016;-0.02557545;-0.02240304;-0.01909151;-0.01974439;-0.01926548;-0.02082472;-0.02306519;-0.02339245;-0.02123817;-0.01817738;-0.01860386;-0.01663542;-0.01252314;-0.01542238;-0.01808489;-0.01502726;-0.01346884;-0.01264813;-0.01293213;-0.0190663;-0.02374123;-0.02168477;-0.01895377;-0.01771816;-0.01761121;-0.01852024;-0.01710384;-0.01329322;-0.01012489;-0.01089431;-0.01533716;-0.01847666;-0.02029782;-0.0209672;-0.02114652;-0.02291835;-0.02064736;-0.01701742;-0.01754641;-0.01678411;-0.01365392;-0.01229494;-0.0142246;-0.01515268;-0.01810052;-0.02337658;-0.02012168;-0.01765146;-0.01784095;-0.01335079;-0.01399525;-0.01567692;-0.01756355;-0.02114835;-0.01845516;-0.01636581;-0.0149645;-0.01364369;-0.01548845;-0.01522507;-0.01641705;-0.01829883;-0.01862722;-0.01938135;-0.01882069;-0.02122039;-0.02237914;-0.01640463;-0.01336874;-0.01982741;-0.02508287;-0.01670811;-0.008976204;-0.01532503;-0.02025847;-0.02079907;-0.02311464;-0.02135732;-0.01988615;-0.02069955;-0.0171453;-0.0129244;-0.009782595;-0.006262775999999999;-0.008312708;-0.01424929;-0.01607348;-0.01762171;-0.02014913;-0.01629634;-0.01162634;-0.01328322;-0.01613357;-0.01582478;-0.01504064;-0.01819538;-0.0206138;-0.01917866;-0.01925061;-0.02003937;-0.02109051;-0.02283576;-0.02185182;-0.01845885;-0.01384459;-0.01168321;-0.015218;-0.01793452;-0.01558107;-0.01444726;-0.01630558;-0.01791109
5;3;-0.01850821;-0.02259876;-0.02704317;-0.02532589;-0.02169923;-0.02012689;-0.01798993;-0.02013162;-0.01950376;-0.01660374;-0.01731129;-0.01685463;-0.01824148;-0.01605199;-0.01015918;-0.01015946;-0.01421704;-0.02091059;-0.02419557;-0.02471052;-0.02600447;-0.02328316;-0.02304898;-0.02343621;-0.02155651;-0.02438254;-0.02499458;-0.02118783;-0.0184403;-0.01867158;-0.01943071;-0.01615969;-0.01517965;-0.01562462;-0.01366586;-0.01406636;-0.01381189;-0.01403549;-0.01718924;-0.02212016;-0.0258451;-0.01902632;-0.01256799;-0.01828109;-0.02055259;-0.01418918;-0.01086542;-0.01257686;-0.01349137;-0.01397337;-0.01694836;-0.0181275;-0.01699271;-0.01684958;-0.01499955;-0.01256391;-0.0123394;-0.01170668;-0.01145082;-0.01237339;-0.01255956;-0.01404387;-0.01785777;-0.02226602;-0.02225092;-0.0170208;-0.01809167;-0.02177537;-0.01838138;-0.01887581;-0.02081923;-0.01828046;-0.01981287;-0.01987977;-0.01823529;-0.0184413;-0.01610451;-0.01811614;-0.0207054;-0.01798893;-0.01770016;-0.01826452;-0.01725757;-0.01456419;-0.01253025;-0.01846332;-0.02345484;-0.01539784;-0.007415751;-0.01199623;-0.01637207;-0.01600405;-0.01672673;-0.01463928;-0.01503326;-0.0182034;-0.01773292;-0.01773865;-0.01451719;-0.01122889;-0.0151145;-0.01829512;-0.01744892;-0.01437682;-0.01336895;-0.01382849;-0.01160172;-0.01275751;-0.0149977;-0.01472185;-0.01374373;-0.009793682;-0.008822439;-0.009539979;-0.00492463;-0.002676076;-0.008684156;-0.01464579;-0.01030196;-0.006593464;-0.01398084;-0.01802492;-0.01637489;-0.01665623;-0.01660846;-0.01678197;-0.01663689;-0.01617449
5;3;-0.02225092;-0.0170208;-0.01809167;-0.02177537;-0.01838138;-0.01887581;-0.02081923;-0.01828046;-0.01981287;-0.01987977;-0.01823529;-0.0184413;-0.01610451;-0.01811614;-0.0207054;-0.01798893;-0.01770016;-0.01826452;-0.01725757;-0.01456419;-0.01253025;-0.01846332;-0.02345484;-0.01539784;-0.007415751;-0.01199623;-0.01637207;-0.01600405;-0.01672673;-0.01463928;-0.01503326;-0.0182034;-0.01773292;-0.01773865;-0.01451719;-0.01122889;-0.0151145;-0.01829512;-0.01744892;-0.01437682;-0.01336895;-0.01382849;-0.01160172;-0.01275751;-0.0149977;-0.01472185;-0.01374373;-0.009793682;-0.008822439;-0.009539979;-0.00492463;-0.002676076;-0.008684156;-0.01464579;-0.01030196;-0.006593464;-0.01398084;-0.01802492;-0.01637489;-0.01665623;-0.01660846;-0.01678197;-0.01663689;-0.01617449;-0.01513803;-0.01361889;-0.01649702;-0.01860787;-0.01442015;-0.01183144;-0.01688286;-0.02164405;-0.019336;-0.0186527;-0.02088103;-0.01900939;-0.01702976;-0.01612597;-0.01308835;-0.008908798;-0.0065044840000000005;-0.01045004;-0.01657328;-0.01762827;-0.01836022;-0.02138227;-0.02262022;-0.02141169;-0.01663414;-0.01266783;-0.01626901;-0.01948148;-0.01583829;-0.01316912;-0.01445182;-0.0159287;-0.01770395;-0.01788722;-0.01594318;-0.017442;-0.02165875;-0.02378412;-0.01969867;-0.01136773;-0.01113527;-0.01559521;-0.01552062;-0.02077184;-0.02774195;-0.02221149;-0.01365144;-0.01211727;-0.01374188;-0.01634536;-0.01586766;-0.01521459;-0.01870958;-0.01831847;-0.01738381;-0.01878991;-0.01719021;-0.01638545;-0.01482159;-0.01385539;-0.01506356;-0.0131484;-0.0120318;-0.01153982
4;3;0.3791556;0.3770916;0.3781179;0.379889;0.3802694;0.3782131;0.3750123;0.3752696;0.3755328;0.3743125;0.3749125;0.3734425;0.3706716;0.3679362;0.3585966;0.34987;0.3469748;0.3350754;0.3234636;0.3341459;0.3452597;0.3435779;0.3583019;0.3847768;0.3919623;0.3827805;0.3769652;0.3732466;0.3551092;0.3260407;0.29025;0.2524577;0.2319797;0.202478;0.1615828;0.1649377;0.1815654;0.1811138;0.2083677;0.2232182;0.1885507;0.1646428;0.1711098;0.1999512;0.2487924;0.2930129;0.3266491;0.356113;0.3901812;0.4280365;0.4473821;0.4461751;0.4470781;0.4547553;0.4569547;0.4698276;0.4981404;0.522301;0.5435126;0.5475842;0.5439551;0.5577871;0.5639844;0.5612482;0.5582344;0.5433772;0.5270588;0.5164714;0.5098177;0.5020078;0.4930241;0.4835022;0.4606745;0.4252274;0.396758;0.3965745;0.410415;0.4157925;0.4194044;0.4237474;0.4434993;0.4662764;0.4618227;0.4623546;0.4783233;0.4818265;0.4782662;0.4806975;0.4898882;0.4988518;0.5029171;0.5098299;0.523845;0.5353906;0.5406648;0.5396337;0.5319369;0.5286383;0.5246024;0.5156088;0.5116127;0.5035991;0.4817617;0.4553177;0.4555592;0.47513;0.4737064;0.4697565;0.4706005;0.468887;0.4818178;0.4906951;0.4915328;0.4913164;0.4857757;0.4854115;0.481776;0.4794017;0.4842649;0.484117;0.4784957;0.4642149;0.4555991;0.4600936;0.4602011;0.4553858;0.452541;0.4525878
4;3;0.4488391;0.4491236;0.4505731;0.4501278;0.4496761;0.4513623;0.4514567;0.4515939;0.4523248;0.4525286;0.4513071;0.4487506;0.4486397;0.4499376;0.4522042;0.4558753;0.4573319;0.4569724;0.454925;0.4528245;0.4517899;0.4494008;0.4503715;0.4527177;0.4516717;0.4521498;0.4525481;0.4523644;0.4528323;0.4498495;0.4477831;0.4499522;0.4523251;0.453258;0.452762;0.4525736;0.4529564;0.4523571;0.4506054;0.4477322;0.4464079;0.447809;0.4492179;0.450246;0.4505576;0.4504929;0.4517386;0.4517176;0.4508711;0.4516886;0.4523219;0.4555808;0.4605442;0.4613617;0.4613826;0.4584879;0.4508796;0.4501115;0.4539291;0.4540215;0.4541547;0.4528311;0.4517192;0.4536832;0.4529741;0.4540624;0.4570135;0.4561246;0.4569242;0.4576994;0.4570743;0.4567552;0.4505551;0.4449522;0.4481164;0.4509905;0.4506342;0.4550591;0.4595384;0.4565003;0.4538168;0.4536806;0.4521007;0.452875;0.4540264;0.4524999;0.4499535;0.4467192;0.4466245;0.4477967;0.4462873;0.4465802;0.4463557;0.4446757;0.4475167;0.449413;0.44788;0.4494886;0.4525913;0.4546674;0.4547909;0.4524528;0.4525971;0.4541313;0.4567145;0.4610676;0.4581225;0.4527123;0.4516969;0.4497571;0.4521179;0.4559692;0.4542024;0.4553888;0.45798;0.4552031;0.4514507;0.4501316;0.4512786;0.4519489;0.4498694;0.4487146;0.448689;0.4486428;0.4508333;0.4530148;0.4539103;0.4544497
4;3;0.3106134;0.3112524;0.3093337;0.3133217;0.3170556;0.3147236;0.3127976;0.3089711;0.3084575;0.3160995;0.317375;0.310839;0.3095421;0.3088542;0.3088862;0.3136503;0.3120033;0.3108617;0.3149056;0.314622;0.3154409;0.3153578;0.3136828;0.3173837;0.3220887;0.3236515;0.321523;0.3218058;0.3228682;0.3190238;0.3159892;0.3118776;0.3095358;0.3120609;0.3137659;0.314905;0.3109624;0.3086712;0.3121213;0.3095175;0.3103672;0.3144709;0.3104471;0.3086843;0.3085846;0.3076534;0.3099984;0.3101163;0.3114752;0.3145135;0.3148165;0.3153777;0.3133685;0.3080205;0.304615;0.308485;0.3164386;0.3185934;0.3172959;0.314242;0.3084373;0.3045765;0.3019302;0.3026357;0.3073337;0.3117811;0.3146597;0.3095067;0.2997796;0.2983559;0.3058003;0.3152057;0.3171958;0.3140884;0.3154006;0.3154388;0.3128432;0.3123949;0.3121721;0.3127544;0.3120594;0.3094483;0.3086346;0.3115403;0.3162793;0.3148449;0.3113819;0.3120161;0.3108226;0.3108798;0.3123074;0.3106682;0.3103232;0.3123825;0.3176577;0.3223294;0.3195237;0.3164266;0.3183448;0.3187;0.3169586;0.3169209;0.3162103;0.3153801;0.3139825;0.3099508;0.3103271;0.3138431;0.3130237;0.31037;0.309446;0.3102687;0.311923;0.3134367;0.3123459;0.312589;0.316206;0.3143466;0.3080199;0.3042378;0.3054037;0.3078004;0.3108403;0.3175426;0.3160328;0.3114124;0.314367;0.3137909
4;3;0.3135488;0.3142866;0.311266;0.3110957;0.3110522;0.3119989;0.3131887;0.3123479;0.3145571;0.3145634;0.309012;0.3041355;0.3075001;0.3132075;0.3112651;0.3121263;0.3134651;0.3098584;0.3131633;0.3143131;0.3103972;0.3122429;0.3114646;0.3098817;0.3121692;0.3108048;0.3106904;0.3118648;0.3113641;0.3158246;0.319775;0.3188659;0.3184235;0.3191888;0.3205236;0.3209703;0.3194379;0.3158053;0.3117021;0.3105029;0.3125253;0.3153379;0.3151417;0.3139084;0.3131834;0.3072759;0.3025535;0.309469;0.3156206;0.3115191;0.309191;0.307747;0.3038113;0.306016;0.3078702;0.3064719;0.3080803;0.3109377;0.3139605;0.3136385;0.3130901;0.3138645;0.3080342;0.3038397;0.3070612;0.3104252;0.311797;0.3115862;0.3135591;0.3163376;0.3157935;0.3154601;0.3145816;0.3134141;0.3169181;0.3184659;0.3151751;0.3167473;0.3161181;0.3076872;0.3047825;0.309661;0.3150557;0.3145307;0.3131779;0.3152954;0.3130165;0.3135858;0.3150766;0.3118627;0.310897;0.3064184;0.3055023;0.3100882;0.3134575;0.3220539;0.3216459;0.3122394;0.3103159;0.31077;0.3116083;0.3089233;0.3052584;0.3089432;0.3088302;0.3041484;0.3024309;0.3027833;0.3070428;0.3108469;0.3112515;0.3110797;0.3090582;0.3071808;0.3062978;0.305223;0.3043016;0.3000889;0.2954419;0.2948953;0.2971788;0.303253;0.3060383;0.3032149;0.3046806;0.3074044;0.3084973;0.3091114
